Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CE,4370,001,,5,4,6,4,5,,,,,,,,,33,2,1,"Carrion Schaefer, Benjamin","Zhu, Zhiqi","Wang, Zi","Zeng, Xiaoming",,
CE,4388,001,1,17,,3,,,,,,,,,,,,,0,"Tacca, Marco","Ramanathan, Shunmugapriya",,,,
CE,4389,001,,12,,2,,,,,,,,,,,,,0,"Skinner, Neal G","Chitale, Akshay A",,,,
CE,4389,002,,6,,2,1,3,,,,,,,,,3,,0,"Hansen, John","Chandra Shekar, Ram Charan M",,,,
CE,4389,003,,10,,2,1,,,,,,,,,,4,,0,"Tacca, Marco","Nguyen, Van Thuan",,,,
CE,4389,004,,6,,,1,,,,,,,,,,5,,0,"Skinner, Neal G","Du, Lixiong","Chitale, Akshay A",,,
CE,4390,001,2,1,2,,1,1,1,,,,,,1,,3,2,1,"Le, Khiem V","Gour, Riti",,,,
CE,4390,502,,5,1,2,6,1,,2,1,,,,,,12,1,0,"Gupta, Neeraj K","Li, Shuo","Patel, Vatsalkumar R","Patel, Dhruvkumar R",,
CE,6301,001,,12,,,,,,,,,,,,,,,0,"Swartz, William P","Huang, Qiongdan",,,,
CE,6304,001,,10,,1,1,,,,,,,,,,,,0,"Hu, Yang","Wang, Jianda",,,,
CE,6325,001,,1,3,3,,,,,,,,,,4,,,0,"Friedman, Joseph S","Hassan, Naimul","Hu, Xuan",,,
CGS,2301,HN1,13,6,3,,,,,,,,,,,,2,,1,"O'Toole, Alice J",,,,,
CGS,3361,501,7,5,,1,1,,,,,,,,,,,,0,"Roark, Dana A","Han, Liang",,,,
CHEM,1111,101,3,4,1,1,,2,,,,,,,,,1,1,0,"Huang, Yu","Alberto, Kevin A",,,,
CHEM,1111,102,,9,2,3,4,2,1,3,,,,,2,,,3,1,"Huang, Yu","Khan, Amber",,,,
CHEM,1111,103,,6,9,2,4,,2,,,,,,,,5,,2,"Huang, Yu","Khan, Amber",,,,
CHEM,1111,104,4,10,,1,1,,,,,,,,,,3,,2,"Gunawardhana, Kahawatte Gedara","Parsaee, Faeze",,,,
CHEM,1111,106,5,5,1,1,1,2,1,1,,,,,2,,2,4,2,"Qin, Yanping","Ahrari, Samira",,,,
CHEM,1111,107,1,3,3,2,1,2,,,1,,1,1,1,,3,2,1,"Qin, Yanping","Ahrari, Samira",,,,
CHEM,1111,109,2,5,1,,2,,,2,,,,,1,,,1,0,"Dissanayake, Dushanthi S","Nguyen, Trang",,,,
CHEM,1112,101,19,5,1,1,1,1,,,,,,,,,,,2,"Anka, Fadwa H","Alexander, Shevon",,,,
CHEM,1112,102,10,8,2,1,2,,1,,,,,,1,,,3,2,"Taghavi Nasrabadi, Amir","Arche, Phillip Damien E",,,,
CHEM,1112,103,7,15,2,1,,,1,,,,,,,,2,1,1,"Gunawardhana, Kahawatte Gedara","Cortes Guzman, Karen P","Taslimy, Somayeh",,,
CHEM,1112,104,13,13,2,,,,,,,,,,,,,1,0,"Hashami, Zohreh","Yan, Qing",,,,
CHEM,1112,105,11,10,3,3,,1,,,,,,,,,2,,0,"Anka, Fadwa H","Ortega, Juan L","Graham, Robert L",,,
CHEM,1112,106,13,10,4,1,1,1,,,,,,,,,,,0,"Karunaweera, Chamaal","Alexander, Shevon",,,,
CHEM,1112,107,22,4,1,,1,1,,,,,,,,,,,0,"Abeykoon, Nimali C","Curtis, Rose M","Kannangara, Dona Prashansa B",,,
CHEM,1112,108,21,7,1,,,,,,,,,,,,1,,0,"Anka, Fadwa H","Olaluwoye, Oladimeji S",,,,
CHEM,1112,109,9,16,4,,,,,,,,,,1,,,,0,"Karunaweera, Chamaal","Nguyen, Trang",,,,
CHEM,1112,110,17,7,,1,1,2,,,1,,,,,,,1,0,"Jaggi, Neelam","Tripathi, Kiran",,,,
CHEM,1112,111,24,5,,,,,,,,,,,,,,,1,"Dissanayake, Dushanthi S","Faisal, Tahmid",,,,
CHEM,1112,112,19,7,1,1,2,,,,,,,,,,,,0,"Jaggi, Neelam","Graham, Robert L","Beck, Erling",,,
CHEM,1112,113,5,6,6,2,,,1,,,,,,,,1,1,2,"Hashami, Zohreh","Hagge, Laurel M",,,,
CHEM,1112,114,9,4,2,3,2,1,,1,1,,,1,,,1,1,2,"Abeykoon, Nimali C","Olaluwoye, Oladimeji S",,,,
CHEM,1112,116,15,7,,1,1,,,,,,,,1,,2,1,1,"Panangala, Samitha D","Rifat, Samia",,,,
CHEM,1112,117,11,8,2,,2,,1,,,,,,2,,,3,0,"Taghavi Nasrabadi, Amir","Parsaee, Faeze",,,,
CHEM,1112,118,15,7,2,,,,,1,,,,,,,3,,1,"Gunawardhana, Kahawatte Gedara","Cortes Guzman, Karen P",,,,
CHEM,1112,119,19,4,2,,,2,1,1,,,,,,,,,1,"Hashami, Zohreh","Yan, Qing",,,,
CHEM,1112,120,18,5,2,1,,2,1,,,,,,,,,,0,"Taghavi Nasrabadi, Amir","Rifat, Samia",,,,
CHEM,1112,121,15,7,2,,,,,,,,,,,,3,,1,"Karunaweera, Chamaal","Sheybani, Simin",,,,
CHEM,1112,122,18,9,2,,,,,,,,,,,,,,1,"Taghavi Nasrabadi, Amir","Curtis, Rose M",,,,
CHEM,1112,123,10,5,5,2,1,,,1,,,,,,,4,,1,"Karunaweera, Chamaal","Shaffer, Joy",,,,
CHEM,1112,124,19,7,3,1,,,,,,,,,,,,,0,"Hashami, Zohreh","Firouzi, Hamid Reza",,,,
CHEM,1112,125,18,7,2,,,,,1,1,,,,,,,1,0,"Jaggi, Neelam","Shaffer, Joy",,,,
CHEM,1112,126,22,3,2,,,,,,,,,,,,1,,1,"Hashami, Zohreh","Firouzi, Hamid Reza",,,,
CHEM,1112,127,7,5,,2,3,1,1,,,1,,,1,,3,3,2,"Jaggi, Neelam","Graham, Robert L",,,,
CHEM,1112,128,7,4,1,2,1,,1,1,,,,,,,2,,3,"Hashami, Zohreh","Perez Medina, Luciano","Taslimy, Somayeh",,,
CHEM,1112,129,6,7,,1,1,2,1,,1,,,,2,,1,1,0,"Abeykoon, Nimali C","Parker, Dynasty M","Shafie, Arefeh",,,
CHEM,1112,130,20,2,,3,2,1,,,,,,,,,1,,0,"Dissanayake, Dushanthi S","Ortega, Juan L","Beck, Erling",,,
CHEM,1112,131,26,2,,1,1,,,,,,,,,,,,0,"Anka, Fadwa H","Kannangara, Dona Prashansa B",,,,
CHEM,1112,132,22,3,3,,,,,,,,,,1,,,1,0,"Taghavi Nasrabadi, Amir","Shafie, Arefeh",,,,
CHEM,1112,133,18,3,2,,1,,1,2,,,,,,,,,1,"Karunaweera, Chamaal","Tripathi, Kiran",,,,
CHEM,1112,134,13,12,2,,1,1,,,,,,,,,1,,0,"Hashami, Zohreh","Kannangara, Dona Prashansa B","Curtis, Rose M",,,
CHEM,1112,135,18,4,1,,1,,,1,,,,,,,2,1,1,"Jaggi, Neelam","Pope, Mitchell A",,,,
CHEM,1112,136,12,6,2,3,1,,,,,,1,,,,1,3,1,"Jaggi, Neelam","Perez Medina, Luciano",,,,
CHEM,1112,137,12,7,1,1,1,,1,1,1,,,,1,,1,2,1,"Dissanayake, Dushanthi S","Pope, Mitchell A",,,,
CHEM,1112,138,1,4,2,1,,2,,,,,,,,,2,,1,"Hashami, Zohreh","Arche, Phillip Damien E",,,,
CHEM,1112,141,22,2,1,2,,,,,,,,,,,,,1,"Dissanayake, Dushanthi S","Faisal, Tahmid",,,,
CHEM,1116,HN1,,28,,,,,,,1,,,,,,1,,0,"Sibert, John W",,,,,
CHEM,1311,001,17,26,31,40,33,24,18,8,8,,1,1,6,,21,9,7,"Sra, Amandeep K","Alberto, Kevin A",,,,
CHEM,1312,001,16,24,9,7,10,7,11,6,6,1,1,1,2,,8,14,12,"Gavva, Sandhya R",,,,,
CHEM,1312,002,12,33,17,9,16,9,5,10,12,5,1,2,12,,21,9,8,"Gavva, Sandhya R",,,,,
CHEM,1312,003,33,67,20,17,18,15,3,5,4,4,2,2,7,,16,4,3,"Dieckmann, Gregg",,,,,
CHEM,1312,004,38,53,21,26,11,6,7,6,8,1,1,2,7,,21,9,3,"Dieckmann, Gregg",,,,,
CHEM,1312,005,34,55,22,17,14,14,7,7,5,3,5,2,4,,13,11,6,"Huang, Yu",,,,,
CHEM,1312,006,13,23,18,16,16,12,11,14,12,1,2,,17,,13,18,6,"Abeykoon, Nimali C",,,,,
CHEM,1316,HN1,9,11,2,4,,2,,,,,,,,,2,,0,"Sibert, John W",,,,,
CHEM,2123,101,21,6,1,1,,,,,,,,,,,,,0,"Panangala, Samitha D","Abbas, Muhammad",,,,
CHEM,2123,102,21,6,1,,,,,,,,,,,,,,1,"Panangala, Samitha D","Abbas, Muhammad",,,,
CHEM,2123,103,18,7,1,1,,,,,,,,,,,1,,2,"Karunaweera, Chamaal","Ma, Ziyuan",,,,
CHEM,2123,104,15,12,1,,1,,,,,,,,,,1,,0,"Ma, Ziyuan","Senarathna, Milinda Chathuranga",,,,
CHEM,2123,105,17,3,,,,,,,,,,,,,1,,1,"Gunawardhana, Kahawatte Gedara","Tajik Asl, Masoumeh",,,,
CHEM,2123,106,19,8,1,,1,,,,,,,,,,1,,0,"Gunawardhana, Kahawatte Gedara","Thanabalasingam, Kulatheepan","Wijesundara, Yalini H",,,
CHEM,2123,601,18,5,1,,,,,,,,,,,,,,0,"Taghavi Nasrabadi, Amir","Senarathna, Milinda Chathuranga",,,,
CHEM,2125,101,26,3,,,,,,,,,,,,,,,1,"Wijenayake, Sumudu N","Tajik Asl, Masoumeh",,,,
CHEM,2125,102,19,8,,,,1,,,,,,,,,1,,1,"Tran, Daniel N","Parra, Aaron",,,,
CHEM,2125,103,27,3,,,,,,,,,,,,,,,0,"Tran, Daniel N","Boardman, Samuel",,,,
CHEM,2125,104,22,6,2,,,,,,,,,,,,,,0,"Taghavi Nasrabadi, Amir","Shekarnoush, Mahsa",,,,
CHEM,2125,105,15,13,,,,,,,,,,,,,2,,0,"Gunawardhana, Kahawatte Gedara","Bhadran, Abhi",,,,
CHEM,2125,106,25,3,,,,2,,,,,,,,,,,0,"Hashami, Zohreh","Hernandez, Jayoh A",,,,
CHEM,2125,107,25,3,,,,,,,,,,,,,1,,1,"Panangala, Samitha D","Haque, Syed Fahad Bin",,,,
CHEM,2125,108,21,8,,,,,,,,,,,,,,,0,"Hashami, Zohreh","Hernandez, Jayoh A",,,,
CHEM,2125,109,22,8,,,,,,,,,,,,,,,0,"Wijenayake, Sumudu N","Parra, Aaron",,,,
CHEM,2125,110,20,8,1,,,,,,,,,,,,1,,0,"Panangala, Samitha D","Thanabalasingam, Kulatheepan",,,,
CHEM,2125,111,19,7,3,,,,,,,,,,,,,,1,"Panapitiya, Nimanka P","Iziumchenko, Valeriia",,,,
CHEM,2125,112,22,7,1,,,,,,,,,,,,,,0,"Taghavi Nasrabadi, Amir","Lumata, Jenica",,,,
CHEM,2125,113,25,4,,,,1,,,,,,,,,,,0,"Anka, Fadwa H","Iziumchenko, Valeriia",,,,
CHEM,2125,114,20,8,1,,,,,,,,,,,,,,1,"Panangala, Samitha D","Lumata, Jenica",,,,
CHEM,2125,115,17,12,,1,,,,,,,,,,,,,0,"Anka, Fadwa H","Wijesundara, Yalini H","Thanabalasingam, Kulatheepan",,,
CHEM,2125,116,26,3,1,,,,,,,,,,,,,,0,"Wijenayake, Sumudu N","Wagulde, Sidhant",,,,
CHEM,2125,117,15,12,1,,,1,,,,,,,,,,,1,"Tran, Daniel N","Liyanaarachchi, Sureshee M",,,,
CHEM,2125,118,19,6,3,,,,,,,,,,,,1,,1,"Gunawardhana, Kahawatte Gedara","Bhadran, Abhi",,,,
CHEM,2125,119,23,6,,,,,,,,,,,,,,,1,"Tran, Daniel N","Liyanaarachchi, Sureshee M",,,,
CHEM,2125,120,13,5,3,1,1,,,,,,,,,,,,0,"Sisk, Joshua R","Li, Baowen",,,,
CHEM,2125,121,14,10,1,,,,,,,,,,,,1,,0,"Sisk, Joshua R","Li, Baowen",,,,
CHEM,2125,122,12,4,5,1,,1,1,1,,,,1,,,,,0,"Tran, Daniel N","Shah, Tejas V",,,,
CHEM,2125,601,24,5,,,,,,,,,,,,,,,1,"Panangala, Samitha D","Shekarnoush, Mahsa",,,,
CHEM,2125,602,24,4,,,,,,,,,,,1,,1,,0,"Panangala, Samitha D","Haque, Syed Fahad Bin",,,,
CHEM,2125,603,16,8,3,1,2,,,,,,,,,,,,0,"Hashami, Zohreh","Wagulde, Sidhant",,,,
CHEM,2125,604,23,7,,,,,,,,,,,,,,,0,"Karunaweera, Chamaal","Wijesundara, Yalini H",,,,
CHEM,2128,HN1,11,8,,,,,,,,,,,,,,,0,"Thompson, Christina M","Boardman, Samuel",,,,
CHEM,2323,001,9,12,6,6,4,10,9,3,4,3,,,3,,4,10,5,"Tran, Daniel N",,,,,
CHEM,2323,002,7,27,6,28,14,27,17,9,7,4,1,,1,,14,12,3,"Thompson, Christina M",,,,,
CHEM,2324,001,23,23,8,15,4,5,2,,1,,,,,,16,2,0,"Wijenayake, Sumudu N",,,,,
CHEM,2325,001,47,57,4,13,4,8,2,,2,,1,,1,,5,,1,"Wijenayake, Sumudu N","Panapitiya, Nimanka P",,,,
CHEM,2325,002,3,20,12,12,16,15,6,6,7,2,4,4,,,11,7,3,"Ahn, Jung-Mo",,,,,
CHEM,2325,003,24,56,12,24,8,4,3,1,,,,,2,,6,3,2,"Panapitiya, Nimanka P",,,,,
CHEM,2325,004,8,29,12,10,8,11,6,7,4,5,1,,3,,5,3,4,"Cortes, Sergio J",,,,,
CHEM,2325,005,23,59,12,11,6,4,2,2,1,2,,,,,11,3,9,"Panapitiya, Nimanka P",,,,,
CHEM,2325,006,16,42,8,17,12,2,5,3,5,3,1,,,,8,4,3,"Cortes, Sergio J",,,,,
CHEM,2328,HN1,3,9,4,1,2,1,,,,,,,,,,,0,"Biewer, Michael C",,,,,
CHEM,2401,001,2,1,,5,2,2,,1,1,,,,,,5,1,0,"Dissanayake, Dushanthi S","Tian, Yafen",,,,
CHEM,2401,002,2,4,8,1,,,,1,,,,,,,4,,0,"Pantano, Paul",,,,,
CHEM,2401,003,1,6,3,1,1,3,2,,,,,,,,2,,1,"Sra, Amandeep K","Remy, Ashele K",,,,
CHEM,2401,004,,7,5,2,1,1,,1,,,,,,,3,,0,"Pantano, Paul",,,,,
CHEM,3322,001,4,12,7,13,5,5,8,3,2,,6,,2,,39,7,1,"Goux, Warren J","Mills, Kira R","Ranathunga, Dineli T",,,
CHEM,3361,001,4,3,2,1,2,,2,,1,1,1,2,,,7,4,0,"Spiro, Stephen","Marsh, Robert","Dey, Sanchareeka","Chen, Xingyu","Krishnamohan, Aishwarya","Upreti, Chahat"
CHEM,3361,002,,1,3,,4,1,,2,,1,,,,,4,1,0,"Taylor, Stephanie M","Dey, Sanchareeka","Villones, Rhiza Lyne","Upreti, Chahat","Krishnamohan, Aishwarya","Chen, Xingyu"
CHEM,3362,001,1,5,1,1,5,3,1,4,1,2,,,,,11,1,0,"Candas, Mehmet","Reitzer, Lawrence","Petter, Andrew T","Song, Ming","Kolluri, Gayatri",
CHEM,3472,001,2,3,5,3,1,1,,,1,,,,,,4,,0,"Qin, Yanping","Cue, John Michael","Wang, Hanghang","Siddiki, A K M Nur Alam","Li, Baowen","Lin, Jason"
CHEM,3472,002,3,9,4,3,1,,,1,,1,,,,,3,,0,"Qin, Yanping","Wang, Hanghang","Cue, John Michael","Siddiki, A K M Nur Alam","Li, Baowen","Lin, Jason"
CHEM,3472,003,,1,3,2,1,2,2,3,1,1,1,1,,,5,3,0,"Goux, Warren J","Siddiki, A K M Nur Alam","Wang, Hanghang","Cue, John Michael","Lin, Jason","Brown, Alexander"
CHEM,4335,001,2,2,5,3,4,1,2,,,,,,,,3,1,0,"Yang, Duck J",,,,,
CHEM,4473,001,11,2,,,,,,,,,,,,,,,0,"Nielsen, Steven","Calubaquib, Erika Joy","Franciskovich, Matthew R",,,
CHEM,4473,002,,4,4,,2,,,,,,,,,,,,0,"Huang, Yu","Calubaquib, Erika Joy","Nielsen, Steven","Franciskovich, Matthew R",,
CHEM,5333,001,,6,2,2,1,,,,,,,,,2,,,0,"Welin, Eric R",,,,,
CHEM,5341,001,,10,,,,1,,,,,,,,5,,,0,"Balkus, Kenneth",,,,,
CHEM,5355,001,,11,3,1,1,,,,,,,,,8,,,1,"Zheng, Jie",,,,,
CHEM,5361,001,,9,,,8,,,,,,,,,3,,,0,"Dodani, Sheel C",,,,,
CHEM,6100,001,,,,,,,,,,,,,1,91,,,1,"Meloni, Gabriele",,,,,
CHIN,1311,001,16,5,,,,,,,,,,,,,,1,3,"Chen, Bei",,,,,
CHIN,1311,002,5,2,3,,,,1,1,,,,,,,,,0,"Zhang, Lei",,,,,
CHIN,1312,001,4,6,4,,,,,1,,,,,,,1,1,1,"Chen, Bei",,,,,
CHIN,2311,001,2,4,2,,1,,,,,,,,,,3,,0,"Chen, Bei",,,,,
CLDP,3303,001,9,6,14,10,4,1,,2,,,,,,,,,1,"Evans, Julia L","Berglund, Amy",,,,
CLDP,3305,001,,38,,,8,,,2,,,,,,,3,,0,"Touchstone, Emily W","Poudel, Sonali",,,,
CLDP,3310,001,,10,5,4,8,1,2,,,1,,,,,2,,2,"Nelson Taylor, Jackie A","Hafiz, Mariam","Ralph, Yvonne K",,,
CLDP,3310,002,,5,5,2,1,,2,,,,,,1,,5,,0,"Nelson Taylor, Jackie A","Ralph, Yvonne K","Hafiz, Mariam",,,
CLDP,3310,501,,9,,,,,,1,,,,,,,,,0,"Bonner, Deborah L",,,,,
CLDP,3332,501,4,38,5,2,3,,,,,,,,1,,,1,1,"Baerwaldt, Natalie R","Hughes, Kaiya",,,,
CLDP,3338,001,,7,1,2,,,,,,,1,,,,,,0,"Santrock, John W","Wilder, Siri",,,,
CLDP,3339,001,,9,,,5,,,1,,,,,2,,,,0,"Huxtable-Jester, Karen J",,,,,
CLDP,3342,501,13,11,6,9,4,2,,,,,,,,,2,,0,"Barfoot, John W","Peskova, Olga",,,,
CLDP,3343,001,1,25,,,,,,,,,,,1,,,1,0,"Grant, Meridith G",,,,,
CLDP,3362,001,2,16,,4,8,2,2,5,,,3,,,,6,,0,"Mills, Candice M","Gryder, Kieth",,,,
CLDP,3394,001,,11,,,4,,,,,,,,,,1,,0,"Grant, Meridith G",,,,,
CLDP,4308,001,,8,,,1,,,,,,,,1,,1,,0,"Touchstone, Emily W","Moustafa, Rana",,,,
CLDP,4344,001,,2,4,3,2,1,2,1,,,,,,,4,,0,"Swanson, Meghan R","Solis, Victoria D",,,,
COMD,6222,001,,113,,,5,,,,,,,,,,,,0,"Lougeay, Janice",,,,,
COMD,6240,001,,73,,,,,,,,,,,,,,,0,"Touchstone, Emily W",,,,,
COMD,6308,001,,36,,,1,,,,,,,,,1,,,0,"Dollaghan, Christine","Scheppele, Meredith A",,,,
COMD,6320,001,,26,,,2,,,,,,,,,,,,0,"Smith, Irma E","Dean, Lucinda L",,,,
COMD,6377,001,,29,,,,,,,,,,,,,,,0,"Kenedi, Helen","Sale, Felicity F",,,,
COMD,6378,001,,83,,,2,,,,,,,,,,,,0,"Dean, Lucinda L","Sale, Felicity F",,,,
COMD,7208,001,,26,,,2,,,1,,,,,,3,,,0,"Tidwell, Allison E",,,,,
COMD,7221,001,,53,,,4,,,,,,,,,,,,0,"Carter, Jessica A","Fazel, Vedad",,,,
COMD,7222,001,,34,,,1,,,,,,,,,,,,0,"Touchstone, Emily W","Melamed, Tina",,,,
COMD,7301,501,,33,,,,,,,,,,,,,,,0,"England, Laura S",,,,,
COMD,7336,001,,49,,1,,,,,,,,,,1,,,0,"Rollins, Pamela R",,,,,
COMD,7384,501,,44,,,,,,,,,,,,1,,,1,"Lombardi, Christina L",,,,,
COMD,7V56,001,,34,,,,,,,,,,,,,,,0,"Rojas-Villarreal, Raul",,,,,
COMD,7V91,001,,19,,,1,,,,,,,,,1,,,0,"Kenedi, Helen",,,,,
COMM,1311,001,,,2,1,5,3,3,,3,,,,1,,2,1,3,"Baker, Barbara L",,,,,
COMM,1311,002,,4,3,4,2,2,1,,1,,1,,1,,2,,3,"Baker, Barbara L",,,,,
COMM,1311,003,3,7,3,5,3,,,,1,,,,,,1,,1,"Totusek, Patricia F",,,,,
COMM,1311,004,6,6,2,4,2,1,,,,,,,,,1,1,1,"Arnold, Bob",,,,,
COMM,1311,005,3,5,5,3,3,,2,,,,,,1,,1,1,0,"Arnold, Bob",,,,,
COMM,1311,006,2,8,4,4,1,,,1,,,,,,,4,,0,"Totusek, Patricia F",,,,,
COMM,1311,007,13,3,6,2,,,,,,,,,,,,,0,"Davis, Letitia",,,,,
COMM,1311,008,15,3,2,,,1,1,,,,,,,,1,,1,"Hanson, Jocyln Y",,,,,
COMM,1311,009,,,1,1,3,1,1,2,2,,,1,3,,5,2,2,"Moss, Daniel J",,,,,
COMM,1311,010,12,3,5,1,1,,,,,,,,,,1,,1,"Hanson, Jocyln Y",,,,,
COMM,1311,011,5,9,1,3,1,,1,2,,,,,,,1,1,0,"Juarez, Veronica",,,,,
COMM,1311,012,8,7,2,2,,,1,,,,,,1,,3,,0,"Juarez, Veronica",,,,,
COMM,1311,013,14,,1,,1,,,,,,,,1,,1,4,1,"Davis, Letitia",,,,,
COMM,1311,014,3,3,4,4,2,,1,,,,,,1,,3,3,0,"Krishnaswamy, Nandini",,,,,
COMM,1311,015,12,3,4,1,1,,,,,,,,,,1,1,1,"Tanner, Lari J",,,,,
COMM,1311,016,,6,4,4,2,1,3,,,1,,,,,1,,1,"Templeton, Allison A",,,,,
COMM,1311,017,4,6,3,1,3,1,,2,,,,,,,3,,1,"Templeton, Allison A",,,,,
COMM,1311,018,,3,2,2,,3,,1,1,2,2,,1,,3,1,2,"Moss, Daniel J",,,,,
COMM,1311,0W1,6,4,3,1,2,2,,,,,,,,,1,,0,"Baynham, Karen M",,,,,
COMM,1311,0W2,4,4,1,,2,2,,1,,1,,,1,,3,1,0,"Baynham, Karen M",,,,,
COMM,1311,0W3,,4,2,,2,3,1,,,,,,,,2,2,5,"Baker, Barbara L",,,,,
COMM,1311,0W4,9,7,2,,1,1,1,,,,,,,,,1,0,"Templeton, Allison A",,,,,
COMM,1311,0W5,6,9,2,2,,,,,,,,,,,3,,1,"Templeton, Allison A",,,,,
COMM,1311,0W6,12,6,2,1,,,,,,,,,,,,,1,"Tanner, Lari J",,,,,
COMM,1311,0W7,3,6,4,,2,1,1,,,,,,1,,1,,2,"Honea, Emily",,,,,
COMM,1311,0W8,9,6,1,1,2,,1,,,1,,,1,,,,0,"Honea, Emily",,,,,
COMM,1311,0W9,5,12,,2,,1,,,,,,,,,,,1,"Gregory, Mona Y",,,,,
COMM,1311,5W1,5,7,4,1,1,,,,,,,,,,1,2,0,"Gregory, Mona Y",,,,,
COMM,1311,5W2,12,3,3,,,,,,,,,,1,,,,2,"Vazzi, Lisa",,,,,
COMM,1311,5W3,4,13,2,3,,,,,,,,,,,1,,0,"Totusek, Patricia F",,,,,
COMM,1311,5W4,7,3,1,,1,,1,,,,,,,,,,0,"Krishnaswamy, Nandini",,,,,
COMM,1311,5W5,10,4,,2,2,1,,,,,,,,,1,,0,"Vazzi, Lisa",,,,,
COMM,1315,0H1,20,2,,,,,,,1,,,,,,1,,0,"Saenz, Michael A",,,,,
COMM,1315,0H2,12,6,1,,,1,,,,,,,,,3,,0,"Saenz, Michael A",,,,,
COMM,1315,0W1,,2,2,2,1,3,,2,,,,,,,3,3,3,"Warren, Jason L",,,,,
COMM,1315,0W2,,1,2,1,2,1,,,1,,,,2,,5,1,2,"Warren, Jason L",,,,,
COMM,1315,5H1,2,5,6,1,,,1,1,1,,,,1,,2,1,2,"Skiles, Bradley W",,,,,
COMM,1315,5H2,3,,7,,1,,1,,,,,,2,,,,0,"Cannon, Charles",,,,,
COMM,1315,5H3,2,7,1,3,2,,,1,1,,,,4,,,2,0,"Skiles, Bradley W",,,,,
COMM,3342,001,2,8,4,1,3,1,,,,,,,3,,2,,0,"Totusek, Patricia F",,,,,
COMM,4313,001,,1,4,3,2,2,1,,1,,,,,,1,,0,"Baker, Barbara L",,,,,
COMM,4340,0H1,3,6,2,3,1,,,,,,,,,,,,0,"Schlobohm, Maribeth L",,,,,
COMM,4350,001,1,5,9,3,3,2,,1,,,,,,,,,0,"Hernandez-Katz, Melissa M",,,,,
COMM,4360,001,4,9,,1,2,,1,,,,,,2,,,,0,"King, Carie S",,,,,
CRIM,1301,001,43,14,1,2,3,3,1,1,,,,,5,,3,3,0,"Polk, Elmer O","Sanil Mannumood, Merin",,,,
CRIM,1301,0W1,1,4,21,8,7,7,1,2,1,1,,,1,,12,2,1,"Huskey, Michael",,,,,
CRIM,1307,001,15,19,15,13,4,4,1,1,,,,,,,2,,1,"Derlic, Dragana",,,,,
CRIM,1307,0W1,,32,17,4,6,4,1,,1,,,,4,,9,1,1,"Kovandzic, Tomislav","Sanil Mannumood, Merin",,,,
CRIM,2308,0W1,2,19,6,1,5,5,3,6,1,2,1,,1,,3,2,2,"Gammell, Sarah P",,,,,
CRIM,2313,001,,23,5,2,2,1,,,,,,,,,1,,0,"Hernandez, Richard",,,,,
CRIM,2316,001,24,4,4,,,,,,1,,,,1,,2,2,1,"Polk, Elmer O","Sanil Mannumood, Merin","Corey, Jessica",,,
CRIM,2317,0W1,16,23,13,2,1,,1,2,1,,,,1,,1,5,1,"Polk, Elmer O",,,,,
CRIM,3300,0W1,,17,7,8,11,7,2,7,,,,,,,9,3,2,"Worrall, John L","Sanford, Stephanie M",,,,
CRIM,3301,0W1,,5,,,25,,,16,,,2,,1,,10,4,8,"Maskaly, Jonathan","Riddell, Jordan R",,,,
CRIM,3302,001,5,9,7,6,9,2,3,1,1,,,,,,5,,0,"Gammell, Sarah P",,,,,
CRIM,3303,001,6,14,10,5,4,,1,,1,,,,,,,,0,"Kanvinde, Vrishali",,,,,
CRIM,3307,0W1,7,12,15,6,6,3,1,2,,,,,1,,6,,1,"Han, Sungil",,,,,
CRIM,3309,0W1,13,25,8,3,4,1,,1,,1,3,,,,1,,0,"Gammell, Sarah P",,,,,
CRIM,3310,001,43,16,7,2,,1,1,,1,,,,,,1,1,1,"Polk, Elmer O","Corey, Jessica",,,,
CRIM,3312,001,,12,9,5,12,11,3,1,2,,,1,,,2,,1,"Jacobs, Bruce A","Sanders, Whitney S",,,,
CRIM,3319,001,2,3,7,7,5,5,3,,,,,,,,,,0,"Hayslip, Melissa P",,,,,
CRIM,3320,0W1,9,19,17,8,3,1,1,1,1,1,,,,,,,0,"Huskey, Michael",,,,,
CRIM,4311,0W1,22,6,6,5,2,4,1,1,1,,,,,,,,0,"Huskey, Michael",,,,,
CRIM,4315,001,,2,6,5,2,3,3,5,,,,,,,,,1,"Vieraitis, Lynne M","Sanders, Whitney S",,,,
CRIM,4322,0H1,23,8,1,1,,1,,,,,,,,,1,,0,"Leeper Piquero, Nicole","Sanford, Stephanie M",,,,
CRIM,4396,0W1,,53,,,15,,,6,,,,,,,1,,2,"Taylor, Robert W","Park, Yeonjae",,,,
CRIM,6390,0W1,,10,4,2,1,,,,,,,,,2,,,0,"Taylor, Robert W",,,,,
CRIM,7315,001,,12,,,,,,,,,,,,,,,1,"Worrall, John L",,,,,
CRWT,2301,001,1,6,1,1,1,,,,,1,,,,,,,0,"Wright, Adam M",,,,,
CRWT,2301,002,2,4,3,1,,1,,,,,,,,,,1,0,"Wright, Adam M",,,,,
CRWT,2301,003,2,4,3,1,1,2,,,,,,,,,,,1,"Leverone, Julia",,,,,
