Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,"Total W",Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CHEM,1111,121,2,8,4,2,2,,,,,,,,2,1,"Dissanayake, Dushanthi S","Nguyen, Trang",,,,
MATH,1306,002,3,3,5,1,2,1,2,,1,,1,,1,1,"Sutton, Julie","Kasmaie, Behshid","Ahmed, Faisal",,,
UNIV,1100,003,3,7,2,,2,2,2,,1,,,,,2,"Welgehausen, Eric C",,,,,
BIOL,2281,313,1,5,8,4,2,,,,,,,,,0,"Mehta, Iti","Gadhvi, Jashkaran G",,,,
BIOL,3380,302,,4,2,2,1,7,1,,1,,1,,,1,"Rippel, Scott A","Mehmood, Asad J",,,,
COMM,1315,0W2,2,2,4,4,4,3,2,,,,,,,0,"Warren, Jason L",,,,,
PA,6311,501,,19,1,,,,,,,,,,,1,"McCaskill, John R",,,,,
PSCI,6316,501,,12,2,2,4,1,,,,,,,,0,"Peinhardt, Clint W",,,,,
ENTP,4360,001,2,7,8,2,,2,,,,,,,,0,"Choi, Emily",,,,,
ARHM,1100,302,8,5,1,1,1,1,,1,,1,,,3,0,"Gray, Megan L",,,,,
COMM,1311,027,1,7,5,1,,2,2,1,1,,,,1,1,"Carlson, Eric B",,,,,
COMM,1311,0W4,3,6,7,1,3,,,2,,,,,,0,"Templeton, Allison A",,,,,
COMM,1311,505,1,6,3,1,2,2,2,1,2,,1,,1,0,"Moss, Daniel J",,,,,
COMM,1311,5W1,2,5,2,6,1,,,,1,,,,4,1,"Honea, Emily",,,,,
COMM,1311,5W3,9,7,2,1,2,,,,,,,,1,0,"Gregory, Mona Y",,,,,
HIST,3344,501,,2,3,4,,1,2,3,2,,,1,3,1,"Dennis, Patrick W",,,,,
HIST,4382,001,2,4,7,4,1,,1,,,,,,3,0,"Admiral, Rosemary",,,,,
HUAS,6339,501,,22,,,,,,,,,,,,0,"Pomara, John",,,,,
LIT,2331,001,3,8,3,3,2,2,,,,,,,1,0,"Johnson, Ryan L",,,,,
THEA,2372,001,,18,2,,2,,,,,,,,,0,"Lingo, Kathy A",,,,,
ATCM,3365,501,,16,,5,,,,,,,,,1,0,"Stewart, Michael C",,,,,
ATCM,4317,001,,22,,,,,,,,,,,,0,"McComber, Sean",,,,,
ATCM,4376,001,,22,,,,,,,,,,,,0,"Lewis, Timothy M",,,,,
ACN,6312,003,,11,2,,,3,2,1,,,,,1,2,"Juhn, Nancy H","Austin, Kathryn A","Meldrum, Shelia",,,
CGS,3361,001,12,,,1,3,,1,4,1,,,,,0,"Roark, Dana A","Zuppichini, Mark D","Batchalli Maruthy, Gayathri",,,
COMD,7336,001,,22,,,,,,,,,,,,0,"Rollins, Pamela R",,,,,
PSY,3393,001,5,6,5,1,1,1,,,,,2,,1,0,"Schwark, Gayle","Winter-Nelson, Ezra",,,,
PSY,4377,001,6,11,1,1,,1,,,,,,,,2,"Stilwell, John Q",,,,,
BMEN,1100,101,7,3,3,2,2,1,1,1,,,,,2,0,"Meyer, Clark A","Chaudhary, Sugandha",,,,
BMEN,1100,103,4,3,1,1,2,2,1,2,,,3,,3,0,"Porter, Benjamin A","Ambike, Iravati M",,,,
BMEN,1100,104,7,2,4,4,3,1,,,,,,,1,0,"Porter, Benjamin A","Jones, Rachel F","Dsouza, Tania M","Ambike, Iravati M",,
BMEN,1100,106,9,4,4,1,2,,,,,,,1,1,0,"Myers, Kathleen","Chuang, Ping-Ju",,,,
BMEN,1100,107,5,4,3,1,2,1,,2,2,1,,,1,0,"Myers, Kathleen","Chaudhary, Sugandha",,,,
BMEN,3130,102,5,5,6,3,,1,1,,,,,,1,0,"Porter, Benjamin A","Javed, Kulsoom",,,,
BMEN,4110,105,5,6,4,2,1,1,,1,,,,,1,1,"Pacheco, Joe","Abraham, Alejandro","Raut, Saurabh Vikas",,,
BMEN,4389,001,,3,10,8,1,,,,,,,,,0,"Polk, Todd W","Upasham, Sayali S",,,,
BMEN,6351,001,,16,6,,,,,,,,,,,0,"Prasad, Shalini",,,,,
CE,4304,501,,9,,,8,,,2,,,1,,2,0,"Hu, Yang","Wang, Jianda",,,,
CS,6301,002,,5,4,3,7,1,,,,,,,2,0,"Hamlen, Kevin","Duan, Jun",,,,
CS,6375,004,,10,8,3,,,,,,,,,,1,"Maung, Crystal","Wan, Guihong","He, Baokun",,,
EE,3320,502,2,7,2,2,,2,2,,2,1,1,1,,0,"Nikoubin, Tooraj","Salimath, Vibhav Kumarswami",,,,
EE,4304,501,,13,,,5,,,3,,,,,1,0,"Hu, Yang","Wang, Jianda",,,,
EECT,6325,001,,1,6,11,4,,,,,,,,,0,"Sechen, Carl","Hu, Bo","Salimath, Vibhav Kumarswami",,,
MECH,2120,104,7,9,1,4,1,,,,,,,,,0,"Minary-Jolandan, Majid","Zhang, Runyu",,,,
MECH,3115,101,,11,6,5,,,,,,,,,,0,"Ouyang, Hui","Lee, Sanghun",,,,
MECH,3115,106,,18,,4,,,,,,,,,,0,"Ouyang, Hui","Sarma, Jyotirmoy",,,,
MECH,4110,102,1,1,3,3,12,1,,1,,,,,,0,"Koeln, Justin P","Jafarzadeh, Mohsen",,,,
MECH,6374,001,,7,4,4,4,1,,2,,,,,,0,"Qin, Zhenpeng",,,,,
PA,6313,501,,22,,,,,,,,,,,,0,"Benavides, Teodoro J",,,,,
ACCT,6331,SS1,,8,6,1,3,,,,,,,,,4,"Janakiraman, Surya","Zhang, Yang",,,,
BPS,6310,501,,5,4,4,7,2,,,,,,,,0,"Lin, Zhiang","Leete, Ashley",,,,
BUAN,6398,004,,8,2,5,6,1,,,,,,,,0,"Sethi, Awanti","Gokcinar, Abdullah H",,,,
FIN,3305,502,,6,1,,2,3,,4,2,,1,2,1,0,"Guttery, Randall",,,,,
MIS,6204,591,,9,9,4,,,,,,,,,,0,"Mookerjee, Vijay",,,,,
MKT,6301,PS1,,21,,1,,,,,,,,,,0,"Munch, James",,,,,
OPRE,6341,0W1,,6,7,5,2,,1,,,,,,,1,"Honhon, Dorothee B","Stalvey, Shelly",,,,
RMIS,4334,001,7,,1,1,,1,1,2,4,1,1,1,1,1,"Kaplan, Larry S",,,,,
BIOL,2281,302,2,1,9,2,2,1,1,,2,2,,,,0,"Lin, Wen J","Moore, Dalton E",,,,
BIOL,2281,307,3,4,6,2,2,1,1,1,1,,1,,,0,"Braitsch, Caitlin M","Ratevosyan, Richard",,,,
BIOL,3380,303,1,2,4,3,3,2,1,,1,2,,,2,1,"Rippel, Scott A","Mehmood, Asad J",,,,
BIOL,3380,304,,3,3,5,3,1,,3,,1,2,1,,0,"Pickett, Elizabeth A","Sawant, Namrata V",,,,
BIOL,3380,305,2,5,4,5,2,4,,,,,,,,0,"Pan, Jing","Mazambani, Simbarashe",,,,
BIOL,3380,306,1,3,10,3,1,,2,,,,1,,,1,"Pan, Jing","Mazambani, Simbarashe",,,,
BIOL,3380,307,2,5,3,,3,3,1,1,1,1,,,2,0,"Rippel, Scott A","Srinivas, Anagha",,,,
BIOL,3380,308,2,1,5,2,3,,,1,2,1,1,1,2,1,"Pickett, Elizabeth A","Sawant, Namrata V",,,,
BIOL,5376,501,,2,4,10,6,,,,,,,,,0,"Xuan, Zhenyu",,,,,
GEOS,3421,001,,7,7,3,3,,,2,,,,,,0,"Griffin, William R","Newman, Jordan W","Willis, Siloa B",,,
GEOS,3464,001,,2,5,3,6,3,1,2,,,,,,0,"Griffin, William R","Newman, Jordan W",,,,
MATH,2413,006,1,2,3,5,3,1,2,1,1,1,,,2,0,"Mussa, Derege",,,,,
NATS,4341,001,,5,7,4,6,,,,,,,,,0,"Donaldson, Katherine E","York, Megan",,,,
BIOL,2281,311,5,7,5,2,1,1,,,,,,,,0,"Pickett, Elizabeth A","Gadhvi, Jashkaran G",,,,
BIOL,2281,304,2,2,,3,3,2,3,3,2,,,1,,1,"Braitsch, Caitlin M","Do, Hung P",,,,
PSY,3355,001,,3,3,1,,2,4,3,2,,,1,,3,"Grohman, Magdalena G",,,,,
EE,3320,501,7,3,2,,2,2,3,,,1,,,2,0,"Cogan, Diana L","Wang, Zi","Wang, Yifan",,,
EEDG,6370,001,,3,4,4,10,1,,,,,,,,0,"Bhatia, Dinesh","Goswami, Pingakshya",,,,
EPPS,6313,502,,12,4,3,3,,,,,,,,,0,"Palao Mendizabal, Agustin","Islam, Iftekhairul",,,,
ACCT,4301,501,1,2,2,5,2,6,,3,,1,,,,0,"Hagen, John C","Rajendran, Adityan",,,,
ARHM,1100,301,3,9,1,,2,1,,,2,,,1,3,1,"Gray, Megan L",,,,,
COMM,1311,002,,1,6,4,6,1,,2,,1,,1,,1,"Baker, Barbara L",,,,,
COMM,1311,003,8,5,4,1,3,,1,,,1,,,,0,"Totusek, Patricia F",,,,,
COMM,1311,004,6,3,5,2,3,1,1,2,,,,,,0,"Arnold, Bob",,,,,
COMM,1311,009,18,3,1,,,1,,,,,,,,0,"Vazzi, Lisa",,,,,
COMM,1311,011,9,5,4,2,1,1,,,,,,,1,0,"Krishnaswamy, Nandini",,,,,
COMM,1311,015,13,5,3,1,,,,,,,,,,1,"Arnold, Bob",,,,,
COMM,1311,022,7,6,4,2,,,2,,,,,,2,0,"Totusek, Patricia F",,,,,
COMM,1311,023,8,8,3,1,1,,,1,,,,,1,0,"Totusek, Patricia F",,,,,
COMM,1311,024,9,2,1,1,1,,1,,,,,,7,1,"Krishnaswamy, Nandini",,,,,
COMM,1311,026,11,3,2,1,2,2,,,,,,,2,0,"Aranda, Johnson",,,,,
COMM,1311,0W3,,2,2,4,3,3,4,2,1,,,,1,1,"Baker, Barbara L",,,,,
COMM,1311,0W5,3,8,2,4,2,1,,1,1,,,,,1,"Templeton, Allison A",,,,,
COMM,1311,0W6,5,12,4,2,,,,,,,,,,0,"Tanner, Lari J",,,,,
COMM,1311,0W9,9,7,2,1,2,1,1,,,,,,,0,"Honea, Emily",,,,,
COMM,1311,504,8,6,3,3,2,,,,,,,,1,0,"Juarez, Veronica",,,,,
COMM,1311,506,2,4,4,2,2,2,2,1,1,2,,,1,0,"Williams, Alecia N",,,,,
COMM,1311,509,4,8,3,,3,1,2,,,,,,1,1,"Juarez, Veronica",,,,,
COMM,1311,5W9,10,11,1,,,,,,,,1,,,0,"Vazzi, Lisa",,,,,
FILM,2332,HN1,7,5,7,4,,,,,,,,,,0,"McLean, Adrienne L",,,,,
HIST,3327,001,1,5,10,2,1,1,,,,,,,1,2,"Gossin, Pamela",,,,,
LIT,2331,002,,12,6,1,1,,,1,,,,,1,1,"Siddiqui, Farah",,,,,
LIT,3330,501,7,4,,2,2,,1,3,,,,,4,0,"Lambert, Thomas M",,,,,
MUSI,3185,001,,22,,,1,,,,,,,,,0,"Palant, Jonathan",,,,,
NSC,3361,005,3,1,5,,5,3,2,1,,,,,3,0,"McWilliams, Steven P",,,,,
PSY,3393,002,2,10,1,,2,,1,6,,,,,1,0,"Dowling, Walter J","Abdelkarim, Dema H",,,,
BMEN,1100,102,7,3,4,3,,2,2,,,,1,,1,0,"Meyer, Clark A","Chuang, Ping-Ju",,,,
BMEN,1100,105,4,8,2,1,2,1,1,,,,1,,3,0,"Porter, Benjamin A","Ambike, Iravati M",,,,
BMEN,3120,103,4,9,2,4,1,2,,1,,,,,,0,"Ali, Tariq M",,,,,
BMEN,4110,101,6,8,4,1,1,,1,1,,,1,,,0,"Ardestani Khoubrouy, Soudeh","Raut, Saurabh Vikas","Abraham, Alejandro",,,
BMEN,4110,103,8,9,4,,1,1,,,,,,,,0,"Ardestani Khoubrouy, Soudeh","Raut, Saurabh Vikas","Abraham, Alejandro",,,
CE,4388,001,,17,2,2,2,,,,,,,,,0,"Tacca, Marco","Abousaba, Mohammad F",,,,
CE,4388,002,,17,1,,5,,,,,,,,,0,"Tacca, Marco","Xiong, Jiu",,,,
EE,3320,002,1,1,2,2,1,1,1,3,4,3,,,2,2,"Balsara, Poras","Goswami, Pingakshya",,,,
EE,4361,001,1,1,1,1,3,2,4,2,,4,2,2,,0,"Panahi, Issa","Patel, Kashyap",,,,
MECH,6325,001,,8,7,,3,2,,2,,,,,,1,"Moheimani, Seyed Omid Reza","Nikooienejad, Nastaran",,,,
GOVT,2306,HN2,1,15,2,3,2,,,,,,,,,0,"Harpham, Edward",,,,,
ED,4358,0W1,3,7,1,2,5,1,,2,,,1,,1,0,"Root, Alexey",,,,,
ACCT,6344,SS1,,7,,9,7,,,,,,,,,0,"Dai, Zhonglan",,,,,
ACCT,6380,501,,9,1,4,6,2,,1,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,
BPS,6310,PS1,,4,2,3,8,4,1,1,,,,,,0,"Chasteen, Larry H",,,,,
ENTP,3320,001,,3,4,3,12,,1,,,,,,,0,"Wright, Robert G",,,,,
FIN,6307,SS1,,5,9,6,1,2,,,,,,,,0,"Ma, Liping","El-Ashmawi, Amal H",,,,
FIN,6318,SS1,,5,8,3,3,4,,,,,,,,0,"Xu, Yexiao","Kim, Sang Hyun",,,,
FIN,6325,SS1,,10,5,5,,3,,,,,,,,0,"Wynne, Mark",,,,,
IMS,6365,GW1,,5,4,5,7,1,,1,,,,,,0,"Katz, Lothar",,,,,
MIS,6337,001,,8,8,3,2,2,,,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,
MKT,4332,001,1,9,3,2,6,1,,,1,,,,,0,"Dover, Howard F",,,,,
OPRE,6366,501,,7,2,3,9,1,,1,,,,,,0,"Leach, Sonia E","Behl, Shubhangini",,,,
BIOL,2281,301,4,8,3,2,2,3,,,,,,,,1,"Mehta, Iti","Xia, Jing",,,,
BIOL,2281,305,1,3,5,4,4,2,3,1,,,,,,0,"Lin, Wen J","Easterwood, Shayne",,,,
BIOL,2281,306,6,3,2,6,2,,3,,,,1,,,0,"Lin, Wen J","Easterwood, Shayne",,,,
BIOL,2281,308,2,4,7,1,2,1,2,1,,,,1,2,0,"Lin, Wen J","Do, Hung P",,,,
BIOL,2281,309,2,2,4,3,3,3,2,1,1,,,,,2,"Mehta, Iti","Moore, Dalton E",,,,
BIOL,2281,310,5,3,4,5,1,1,1,1,2,,,,,0,"Mehta, Iti","Udhayakumar, Bhavatharini",,,,
BIOL,2281,312,3,5,9,1,1,1,,1,,2,,,,0,"Mehta, Iti","Xia, Jing",,,,
BIOL,2281,314,4,,5,5,1,4,,2,1,1,,,,0,"Mehta, Iti","Udhayakumar, Bhavatharini",,,,
CHEM,1111,103,,9,3,1,2,1,,2,,,1,2,2,0,"Dissanayake, Dushanthi S","Nguyen, Trang",,,,
CHEM,2123,124,13,5,2,,1,1,,,,,,,,1,"Tran, Daniel N","Wijesundara, Yalini H",,,,
MATH,1326,001,8,1,2,1,,,2,2,1,1,1,,2,2,"Guo, Huizhen",,,,,
MATH,5301,501,,16,1,3,1,,,,,,,,,2,"Makarenkov, Oleg","Murza, Adrian C",,,,
MATH,6319,501,,18,4,1,,,,,,,,,,0,"Ramakrishna, Viswanath",,,,,
UNIV,1100,001,3,6,2,4,3,2,3,,,,,,,0,"Welgehausen, Eric C",,,,,
COMM,1311,001,,,7,5,3,2,1,1,3,1,,,,1,"Baker, Barbara L",,,,,
COMM,1311,005,7,6,2,4,2,,1,,1,1,,,,0,"Arnold, Bob",,,,,
COMM,1311,006,5,9,2,4,2,2,,,,,,,,0,"Totusek, Patricia F",,,,,
COMM,1311,007,15,5,,,3,1,,,,,,,,0,"Davis, Letitia",,,,,
COMM,1311,008,18,5,1,,,,,,,,,,,0,"Hanson, Jocyln Y",,,,,
COMM,1311,010,14,3,3,1,,3,,,,,,,,0,"Hanson, Jocyln Y",,,,,
COMM,1311,012,7,5,4,3,2,1,,,,1,,,,1,"Krishnaswamy, Nandini",,,,,
COMM,1311,013,20,2,1,,,,,,,,,,1,0,"Davis, Letitia",,,,,
COMM,1311,014,15,3,2,1,1,1,,1,,,,,,0,"Hanson, Jocyln Y",,,,,
COMM,1311,016,19,2,,1,1,1,,,,,,,,0,"Tanner, Lari J",,,,,
COMM,1311,017,3,4,6,4,1,1,,2,,,,,2,1,"Templeton, Allison A",,,,,
COMM,1311,018,8,4,6,2,2,1,,,,,,,,1,"Templeton, Allison A",,,,,
COMM,1311,019,7,5,3,4,3,2,,,,,,,,0,"Moss, Daniel J",,,,,
COMM,1311,020,4,6,7,2,3,,,,,,,,2,0,"Moss, Daniel J",,,,,
COMM,1311,021,7,7,2,2,,1,,,,,,,5,0,"Vazzi, Lisa",,,,,
COMM,1311,025,4,4,5,1,2,,1,2,1,1,,,3,0,"Aranda, Johnson",,,,,
COMM,1311,0W7,11,6,5,,,,,,,,,,1,1,"Tanner, Lari J",,,,,
COMM,1311,501,9,8,2,2,,1,1,,,,1,,,0,"Cannon, Charles",,,,,
COMM,1311,507,9,6,4,,3,,,2,,,,,,0,"Cannon, Charles",,,,,
COMM,1311,508,11,9,1,2,,1,,,,,,,,0,"Cannon, Charles",,,,,
COMM,1311,5W2,14,7,,2,,,,1,,,,,,0,"Gregory, Mona Y",,,,,
COMM,1311,5W4,9,6,1,1,,1,2,,,1,,,3,0,"Gregory, Mona Y",,,,,
COMM,1315,0H1,15,3,,1,,,,,,1,,,2,2,"Saenz, Michael A",,,,,
COMM,1315,0H2,21,2,1,,,,,,,,,,,0,"Saenz, Michael A",,,,,
COMM,1315,0W4,2,7,6,2,1,2,1,1,,,,,1,1,"Baynham, Karen M",,,,,
COMM,1315,5H2,11,2,1,1,2,2,2,,,,,,,3,"Skiles, Bradley W",,,,,
DANC,2332,001,14,4,,1,,,,3,,,1,,1,0,"Johnson, Melissa A",,,,,
HIST,3301,001,,1,2,2,2,4,2,3,1,,,,5,2,"Farmer, J Michael",,,,,
HUMA,1301,HN1,1,15,7,1,,,,,,,,,,0,"Wilson, Michael",,,,,
JAPN,2311,001,1,5,6,2,1,1,1,1,1,,2,,2,1,"Kroska, Nami",,,,,
THEA,1351,001,2,13,4,2,,2,,,,,,,1,0,"Hibbs, Shelby A",,,,,
THEA,3323,001,1,12,3,3,2,1,1,,,,,,1,0,"Hibbs, Shelby A",,,,,
ATCM,1100,002,1,1,2,3,2,1,2,3,,1,3,1,4,0,"Nielsen, Christina R","Wilson, David N","Monjoree, Uttamasha",,,
ATCM,2345,003,2,4,4,5,5,,,,2,,1,,1,0,"Fitzgerald, Harold E",,,,,
ATCM,4397,001,7,6,2,4,3,,,1,1,,,,,0,"Nielsen, Christina R",,,,,
ATCM,4397,004,4,6,,1,,2,3,3,3,1,1,,,0,"Caldwell, Bryon A",,,,,
CLDP,3394,001,,18,,,6,,,,,,,,,0,"Grant, Meridith G",,,,,
CLDP,4344,001,8,8,6,1,,,1,,,,,,,0,"Ward, Felicia",,,,,
COMD,6240,001,,24,,,,,,,,,,,,0,"Touchstone, Emily W",,,,,
NSC,4351,001,15,6,,1,,,,1,,,,,1,0,"Miller, Van S",,,,,
PSY,3322,001,,19,,,5,,,,,,,,,0,"Small, Trillion N",,,,,
PSY,3393,005,5,8,5,3,1,1,,,,,,,1,0,"Schwark, Gayle","Hudson, Rachael N",,,,
BMEN,3120,101,5,11,3,3,,,1,,,,,,,1,"Ali, Tariq M","Amarneh, Bushra B",,,,
BMEN,3120,102,3,7,5,4,2,,2,,,,,,1,0,"Ali, Tariq M","Dolui, Swapnil",,,,
BMEN,3120,105,4,8,7,1,2,2,,,,,,,,0,"Winter, Patrick M","Amarneh, Bushra B","Dolui, Swapnil","Ramasamy, Mohanraj",,
BMEN,3325,001,16,5,3,,,,,,,,,,,0,"Taha, Abraham M","Mir, Ali",,,,
BMEN,4110,104,8,9,1,1,,1,2,,,,1,1,,0,"Ardestani Khoubrouy, Soudeh","Abraham, Alejandro","Raut, Saurabh Vikas",,,
BMEN,6374,001,,10,6,7,1,,,,,,,,,0,"Bleris, Leonidas",,,,,
CS,1134,602,14,3,,2,,,,1,,,,,2,2,"Doore, Karen L",,,,,
CS,2305,006,1,3,2,2,4,1,1,2,,,,,6,2,"Dhoked, Sahil",,,,,
EERF,6395,001,,7,2,6,3,2,1,3,,,,,,0,"Lehmann, Randall E","Fang, Lei",,,,
MECH,2120,101,3,6,5,5,2,2,,,,,,,1,0,"Minary-Jolandan, Majid","Feng, Cheng",,,,
MECH,2120,102,2,9,6,3,2,,1,,,,,,,1,"Minary-Jolandan, Majid","Feng, Cheng",,,,
MECH,2120,103,8,10,3,1,2,,,,,,,,,0,"Minary-Jolandan, Majid","Bian, Ning",,,,
MECH,2120,105,,8,9,5,,,,,,,,,2,0,"Minary-Jolandan, Majid","Cao, Dongyang",,,,
MECH,3115,102,,8,9,4,1,,1,,,,,,1,0,"Ouyang, Hui","Rana, Santosh K",,,,
MECH,3115,103,,16,4,,4,,,,,,,,,0,"Ouyang, Hui","Rana, Santosh K",,,,
MECH,3115,105,,15,8,,,,,,,,,,,1,"Ouyang, Hui","Lee, Sanghun",,,,
MECH,3120,101,17,4,2,1,,,,,,,,,,0,"Hassanipour, Fatemeh","Azarnoosh, Jamasp",,,,
MECH,3120,102,17,7,,,,,,,,,,,,0,"Hassanipour, Fatemeh","Zaherisarabi, Shadi",,,,
MECH,3120,103,21,3,,,,,,,,,,,,0,"Hassanipour, Fatemeh","Jiang, Lin",,,,
MECH,3120,104,10,5,2,4,3,,,,,,,,,0,"Hassanipour, Fatemeh","Rukhsar, Aqsa",,,,
MECH,3120,106,21,2,,1,,,,,,,,,,0,"Hassanipour, Fatemeh","Zaherisarabi, Shadi",,,,
MECH,3120,107,19,3,1,1,,,,,,,,,,0,"Hassanipour, Fatemeh","Azarnoosh, Jamasp",,,,
MECH,4110,104,2,5,1,4,8,2,,2,,,,,,0,"Koeln, Justin P","Madera, Jonathan",,,,
MECH,4110,106,1,5,,6,8,3,,,1,,,,,0,"Koeln, Justin P","Li, Changyuan",,,,
CRIM,4396,001,,19,,,1,,,4,,,,,,0,"Wheeler, Andrew",,,,,
ECON,4334,501,4,7,4,4,1,2,,,1,,,,,1,"Ahmadi, Maryam",,,,,
GEOG,3377,501,3,6,5,2,3,1,2,,1,1,,,,0,"Vakulenko, Irina","Chen, Meifang",,,,
GOVT,2306,HN1,4,4,7,4,4,,,,,,,,,1,"Dow, Douglas C",,,,,
PA,3306,001,,10,7,5,2,,,,,,,,,0,"Abraham, Romeo",,,,,
SOC,2300,001,,3,1,5,6,5,1,1,,,,,2,0,"Smith, Erin",,,,,
SOC,3379,001,4,18,2,,,,,,,,,,,0,"Zvobgo, Varaidzo",,,,,
ED,3380,501,9,3,8,3,,,,,,,,,,1,"Hart, Nicola",,,,,
ED,4361,501,1,15,7,,,,,,,,,,,1,"Pollock, Laurie L",,,,,
BCOM,3310,014,3,4,7,1,3,2,,3,,,,,1,0,"Ahlberg, Mehrzad","Tanabe, Takuma",,,,
ENTP,4330,001,6,6,4,2,5,1,,,,,,,,0,"Welbourne Eleazar, Miranda J",,,,,
ENTP,6375,0W1,,6,5,4,2,3,,1,,,,,2,1,"Bochsler, Daniel C",,,,,
FIN,6350,501,,10,2,1,4,2,1,2,,,,,,2,"Baranchuk, Nina",,,,,
IMS,6204,555,,9,,,15,,,,,,,,,0,"Peng, Mike","Neumannova, Anita",,,,
IMS,6310,501,,2,11,7,3,1,,,,,,,,0,"Lee, Seunghyun","Kim, Dong Shin",,,,
MECO,7312,001,,7,5,3,5,4,,,,,,,,0,"Chiong, Khai X",,,,,
MIS,6309,0W1,,6,4,7,2,5,,,,,,,,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,
MIS,6330,501,,9,10,4,1,,,,,,,,,0,"Lahiri, Atanu","Kapadia, Hemanshu M",,,,
MIS,6356,0W1,,10,1,5,3,2,,,,,,,,3,"Parker, Jason A","Rajendran, Adityan",,,,
MKT,6341,501,,10,2,3,8,1,,,,,,,,0,"Edsel, Alexander D","Subramanian, Thyagarajan",,,,
OPRE,6302,CW1,,8,7,6,3,,,,,,,,,0,"Hassanzadeh, Nozar",,,,,
OPRE,6332,501,,9,7,4,1,1,,,,,,,2,0,"Ramanathan, Kannan","Ramakrishnan, Jaishree","Li, Changpei",,,
BIOL,2281,303,3,2,5,3,3,3,1,1,3,,,,,0,"Lin, Wen J","Ratevosyan, Richard",,,,
BIOL,3520,301,4,11,4,4,,1,,,,,,,,0,"Palmer, Kelli L","Avadhanam, Nymisha","Dahl, Haley C","Marco, Belle","Ebrahimzadeh Pirshahid, Tahmineh",
CHEM,1111,142,2,12,7,,,,1,,,,,,2,0,"Jaggi, Neelam","Parker, Dynasty M","Firouzi, Hamid Reza",,,
CHEM,1111,151,7,10,1,1,1,1,,1,,1,,,1,0,"Anka, Fadwa H","Kannangara, Dona Prashansa B",,,,
MATH,2420,HN1,11,9,1,1,1,1,,,,,,,,0,"Dabkowski, Mieczyslaw K","Sechkin, Georgii",,,,
PHYS,4352,001,,7,4,1,7,1,1,1,,1,1,,,0,"Shi, Xiaoyan","Kakani, Vivek M",,,,
STAT,4382,001,1,9,1,2,3,2,3,1,,,,,2,0,"Koshevnik, Yuly","Thompson, Patrick A",,,,
STAT,6337,001,,4,4,3,3,3,1,3,,,,,2,1,"Biswas, Swati","Wu, Jiaju",,,,
UNIV,1100,002,9,9,2,1,1,1,1,,,,,,,0,"Welgehausen, Eric C",,,,,
PSY,3336,001,,10,,,6,2,,4,,,2,,,0,"Vanbeveren, Jacoba G",,,,,
EE,3320,001,4,3,3,1,5,2,,1,,2,1,,1,1,"Cogan, Diana L","Wang, Zi","Wang, Yifan",,,
ECON,3311,002,,4,1,2,3,3,1,2,1,,3,,4,0,"Dumas, Lloyd","Petosa, Jeremy M",,,,
HMGT,6321,CH2,,23,,1,,,,,,,,,,0,"Ferrante, Anne M",,,,,
ARTS,1301,HN1,4,14,3,3,,,,,,,,,1,0,"Riccio, Thomas P",,,,,
COMM,1315,5H1,11,4,5,2,,1,,1,,,1,,,0,"Skiles, Bradley W",,,,,
DANC,2321,001,23,1,,,,,,,1,,,,,0,"Owens, Misty",,,,,
ATCM,1100,001,2,7,5,,2,1,1,1,,1,,2,3,0,"Nielsen, Christina R","Wilson, David N","Monjoree, Uttamasha",,,
ATCM,2301,002,,9,6,4,2,1,1,1,,,,1,,0,"Veras de Souza, Christine","Enam, Victor J",,,,
ATCM,2301,003,6,12,3,1,1,,,,1,,,,1,0,"Boyd, Elizabeth",,,,,
ATCM,2301,004,1,6,8,3,3,1,1,,,,,,1,1,"Veras de Souza, Christine","Enam, Victor J","Bagherzadeh, Elmira",,,
ATCM,3365,002,,7,8,1,7,,,2,,,,,,0,"Christopher, Timothy V",,,,,
NSC,4364,001,2,19,1,,1,,,1,,,,,1,0,"Miller, Van S",,,,,
PSY,2301,HN1,4,20,1,,,,,,,,,,,0,"Gentsch, Joanna K",,,,,
PSY,2301,HN2,14,8,3,,,,,,,,,,,0,"Devdas, Neetha R",,,,,
PSY,2317,501,1,5,5,,3,,,2,,,,1,6,2,"Pacheco, Daniel F","Moraglia, Luke E",,,,
PSY,4324,001,1,8,4,3,,,2,2,,,,,3,2,"Brody, Salena M",,,,,
CS,1334,003,3,2,5,3,2,2,,1,,1,,1,3,2,"Narayanasami, Priya",,,,,
CS,4398,001,3,6,,6,4,1,1,1,3,,,,,0,"Gupta, Neeraj K",,,,,
ECS,2361,HN1,3,14,4,2,,1,1,,,,,,,0,"Dow, Douglas C",,,,,
EECT,6325,002,,4,5,5,4,3,,,,,,,1,3,"Sechen, Carl","Hu, Bo","Salimath, Vibhav Kumarswami",,,
EEOP,6310,001,,13,12,,,,,,,,,,,0,"Tamil, Lakshman","Kalidas, Vignesh",,,,
ECON,2301,HN1,,6,4,1,10,,2,,,,1,,,1,"Grover, William C",,,,,
