Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
NSC,4352,003,,2,5,2,6,5,,3,2,1,,,,,"Raboune, Siham",,,,,
PSY,3324,001,3,7,4,4,2,1,3,,,,,,2,,"Prager, Karen","Spence, Melanie","Holub, Shayla C",,,
SOC,3305,001,6,6,5,1,1,3,,,,1,,,3,,"Rejepov, Vepa",,,,,
FIN,3380,001,2,4,7,5,3,3,,,,,,,2,,"Gurun, Ayfer","Wen, Yaxin",,,,
MIS,6204,591,,17,5,4,,,,,,,,,,,"Mookerjee, Vijay","Srivastava, Smriti",,,,
MATH,2417,009,3,,3,3,1,,2,,4,2,,,8,,"Makhijani, Neha",,,,,
UNIV,1100,002,3,10,3,3,2,,,1,2,,1,,1,,"Welgehausen, Eric C",,,,,
UNIV,4174,001,16,5,3,,,,,2,,,,,,,"Lane, Shelley D",,,,,
COMM,1311,5W7,5,8,7,3,2,,,1,,,,,,,"Totusek, Patricia F",,,,,
PA,2325,001,,10,2,3,7,,,3,,,,,1,,"Goodman, Doug","Yadav, Chaitanya","Park, Yong Jun",,,
COMM,1311,5W2,3,7,4,4,5,1,,1,,,,,1,,"Carlson, Eric B",,,,,
MIS,6324,501,,11,3,5,7,,,,,,,,,,"Zhang, Zhe","Wagh, Yash",,,,
ATCM,3395,001,,9,,,9,,,6,,,2,,,,"Lester, Paul","Mejia, Paulina M",,,,
CE,3310,002,1,4,2,2,4,9,,3,1,,,,,,"Pourkamali, Siavash","Abousaba, Mohammad F",,,,
ACCT,6202,PS1,,16,,,9,1,,,,,,,,,"Zolton, Kathy",,,,,
ACCT,6287,X01,,21,5,,,,,,,,,,,,"McNulty, Diane S",,,,,
OB,6301,X01,,11,13,1,1,,,,,,,,,,"Hicks, Jeffrey N",,,,,
OPRE,6301,X01,,13,6,3,2,1,,,,,,,1,,"Bush, Rhonda L","Wang, Shouqiang",,,,
PHYS,5322,001,,8,8,2,5,2,,,,,,,1,,"Heelis, Roderick A","Zewdie, Gebreabkidanu",,,,
HMGT,6334,501,,11,6,5,2,2,,,,,,,,,"Ayvaci, Mehmet U","Tunc, Murat M",,,,
COMM,1311,5W1,6,5,3,3,3,1,,,,,1,1,3,,"Krishnaswamy, Nandini",,,,,
COMM,1311,005,16,5,2,3,1,,,,,,,,,,"Arnold, Bob",,,,,
CS,4348,HON,1,5,4,7,4,2,3,1,,,,,,,"Prakash, Ravi","Samiei, Aliehsan",,,,
BPS,4305,004,4,5,5,6,3,1,2,,1,,,,,,"Welbourne Eleazar, Miranda J",,,,,
BPS,6310,501,,10,,,13,,,3,,,,,1,,"Dess, Gregory","Kim, Dong Shin",,,,
SYSM,6303,SS1,,15,4,3,,1,3,1,,,,,,,"Sethi, Awanti",,,,,
UNIV,1100,001,3,16,4,1,2,,,,,,1,,,,"Welgehausen, Eric C",,,,,
COMM,1311,011,8,8,2,1,3,2,1,1,1,,,,,,"Templeton, Allison A","Tanner, Lari J",,,,
COMM,1311,0W4,13,8,2,1,3,,,,,,,,,,"Tanner, Lari J",,,,,
COMM,1311,0W9,8,7,2,2,,1,,,1,,,1,5,,"Krishnaswamy, Nandini",,,,,
COMM,1311,502,4,8,4,,4,4,,,,,,,3,,"Juarez, Veronica",,,,,
NSC,3361,HN1,7,13,4,2,1,,,,,,,,,,"LaDow, Eva S",,,,,
CS,4390,501,2,3,2,3,3,,2,2,2,1,2,3,2,,"Cobb, Jorge","Dakle, Parag Pravin",,,,
FIN,3305,003,4,3,1,3,3,5,2,1,,1,2,1,1,,"DeCourcy, George A",,,,,
OPRE,6366,001,,7,6,8,2,2,1,1,,,,,,,"Leach, Sonia E","Zhang, Wen",,,,
OPRE,6393,501,,8,8,4,4,1,,1,,,,,1,,"Cavusoglu, Huseyin","Pham, Trang T",,,,
BIOL,3162,001,1,,2,,7,1,9,5,1,,,,1,,"Dejong, Jeff L",,,,,
ATCM,4364,001,3,8,3,7,2,1,1,1,,,1,,,,"Schich, Maximilian",,,,,
CS,4348,503,2,4,2,4,,,2,7,,,2,,4,,"Alagar, Sridhar","Wang, Huaduo",,,,
EECT,7326,001,,12,9,2,3,,1,,,,,,,,"Lee, Hoi","Xiong, Jiu",,,,
MIS,6V99,003,,2,12,9,3,1,,,,,,,,,"Sohaee, Nassim","Patel, Mehul G",,,,
BIOL,3102,005,,9,,4,9,2,2,,1,,,,,,"Delk, Nikki A",,,,,
BIOL,3456,305,,3,5,3,5,2,,1,3,2,1,2,,,"Hill, Brenna R","Daescu, Kelly J","Yu, Wen H",,,
CHEM,2125,105,8,16,3,,,,,,,,,,,,"Wijenayake, Sumudu N","Tague, Daniel W",,,,
PHYS,2125,601,8,13,2,,,,1,,,,,,3,,"Sun, Kuei","Liu, Xun",,,,
COMM,1311,0W1,5,5,1,4,5,2,,2,,1,1,,1,,"Baynham, Karen M",,,,,
BIS,1100,004,22,,,,3,,,,,,1,,1,,"Wissinger, Tonja",,,,,
MIS,6334,001,,7,5,8,4,3,,,,,,,,,"Menon, Syam","Bansal, Swati",,,,
BIOL,3162,002,1,3,4,3,3,3,3,3,1,2,1,,,,"Candas, Mehmet",,,,,
CHEM,2123,106,7,14,5,1,,,,,,,,,,,"Shah, Shailesh N","Wang, Hanghang",,,,
ACCT,6388,001,,23,3,,,1,,,,,,,,,"Goodrich, Mary Beth W","Koonce, Katherine",,,,
MECH,6354,001,,6,12,8,1,,,,,,,,,,"Bernal Montoya, Rodrigo A","Malakooti, Sadeq",,,,
MKT,6352,001,,9,4,6,8,,,,,,,,,,"Tirone, Guido",,,,,
PHYS,2126,604,4,17,3,1,1,,,,,,,,1,,"Sun, Kuei","Koirala, Pawan",,,,
COMM,1311,501,10,10,3,1,1,,,,1,,,,1,,"Skiles, Bradley W",,,,,
ATCM,3346,001,1,13,8,4,1,,,,,,,,,,"Marks, David E",,,,,
BBSU,1100,012,18,2,3,2,,,,,,,1,,1,,"Boeshans, Lindsey E",,,,,
BMEN,4389,001,,8,3,11,2,3,,,,,,,,,"Polk, Todd W","Upasham, Sayali S",,,,
PA,3306,001,,12,11,,2,,2,,,,,,,,"Abraham, Romeo",,,,,
OPRE,6301,CH1,,16,3,4,3,1,,,,,,,,,"Kim, Dohyeong",,,,,
AUD,6113,001,,,,,,,,,,,,,,,"Roeser, Ross J",,,,,
MIS,6330,001,,9,11,3,4,,,,,,,,,,"Lahiri, Atanu","Sandilya, Nimish K",,,,
COMM,1311,007,25,,1,,2,,,,,,,,,,"Davis, Letitia",,,,,
COMM,1311,014,19,6,3,,,,,,,,,,,,"Tanner, Lari J",,,,,
COMM,1311,015,,19,4,1,1,,1,,,,,,2,,"Glauser, Janece B",,,,,
COMM,1311,016,,12,4,5,3,1,1,,1,,1,,,,"Glauser, Janece B",,,,,
COMM,1311,0W3,4,14,4,3,2,,,,,1,,,,,"Templeton, Allison A","Tanner, Lari J",,,,
ATCM,2302,004,4,6,9,3,1,,2,1,,1,,,1,,"Salter, Monika","Nazir, Cassini","Brtis, Chelsea L",,,
ATCM,4350,001,6,7,2,2,1,3,2,,,,1,,4,,"Hewitt, Sharon","Remington, William A",,,,
EE,4361,001,1,3,5,2,7,2,2,1,1,2,1,,1,,"Panahi, Issa","Shreedhar Bhat, Gautam",,,,
ED,4352,001,,8,12,2,3,1,1,1,,,,,,,"McNulty, Angela B",,,,,
FIN,4340,001,3,5,2,,5,6,,4,2,,1,,,,"Xiao, Wenjing",,,,,
COMM,1311,004,7,5,8,,2,2,,2,,1,,,1,,"Arnold, Bob",,,,,
COMM,1311,008,19,4,3,,,,,,,,,1,1,,"Hanson, Jocyln Y",,,,,
COMM,1311,009,16,,2,2,2,,1,,,,,,5,,"Vazzi, Lisa",,,,,
COMM,1311,010,21,,4,,3,,,,,,,,,,"Hanson, Jocyln Y",,,,,
COMM,1311,013,22,1,2,,,1,,,1,,,,1,,"Davis, Letitia",,,,,
LIT,3322,501,,6,,,12,,,9,,,1,,,,"Walsh, Dennis P",,,,,
CS,6301,006,,28,,,,,,,,,,,,,"Cardenas, Alvaro","Lozano Carrillo, Juan Camilo",,,,
FIN,3370,002,5,2,5,3,4,1,2,,3,,,,3,,"Kaplan, Larry S",,,,,
PHYS,2125,122,,23,5,,,,,,,,,,,,"Sun, Kuei","Feizi, Wirya",,,,
COMM,1311,003,9,11,3,2,1,,1,,,,,,1,,"Totusek, Patricia F",,,,,
EEDG,6375,001,,8,,4,12,3,1,,,,,,,,"Bhatia, Dinesh","Goswami, Pingakshya",,,,
EERF,7V89,001,,12,6,5,5,,,,,,,,,,"Heins, Matthew S","Li, Xi",,,,
MECH,2340,001,5,8,4,3,7,1,,,,,,,,,"Fey, Ann Majewicz","Boehm, Jacob R",,,,
BUAN,6337,002,,10,3,8,7,,,,,,,,,,"Murthi, B P","Liao, Chenxi","Tehrani, Shervin S",,,
OB,6331,501,,27,,,,,,,,,,,1,,"Hasenhuttl, Maria",,,,,
BIOL,3102,007,,10,,5,4,6,2,,,,1,,,,"Delk, Nikki A","Gerold, Haleigh",,,,
CHEM,1111,103,5,16,1,1,,,,,2,,,,3,,"Qin, Yanping","Lumata, Jenica",,,,
CHEM,1111,146,3,15,4,1,,,,,2,,,,3,,"Qin, Yanping","Lumata, Jenica",,,,
CHEM,2125,102,1,12,14,,1,,,,,,,,,,"Shah, Shailesh N","Cue, John Michael",,,,
PSCI,3310,001,,20,3,3,,1,1,,,,,,,,"McCaskill, John R","Yadav, Chaitanya",,,,
MIS,6308,502,,8,9,8,1,1,1,,,,,,,,"Narasimhan, Prithi","Pawar, Dhairya Dhanaji",,,,
PHYS,2125,108,3,18,,1,2,2,,,,,,,2,,"Sun, Kuei","Khashami, Fatemeh",,,,
PSY,2317,501,1,1,4,5,6,1,2,4,1,1,,1,1,,"Schwark, Gayle","Gonen, Chen",,,,
ATCM,3337,001,2,18,6,2,,,,,,,,,,,"Nazir, Cassini",,,,,
BBSU,1100,014,21,3,1,1,,2,,,,,,,,,"Jordan, Katy J",,,,,
PSY,3342,501,4,5,2,4,6,2,5,,,,,,,,"Barfoot, John W","Peskova, Olga",,,,
CS,3354,501,,3,9,6,2,5,2,,1,,,,,,"Paulk, Mark C","Sarwat, Maliha",,,,
CRIM,4311,0W1,1,7,3,1,6,1,3,,,,1,,5,,"Huskey, Michael",,,,,
CHEM,2125,101,9,9,6,2,2,,,,,,,,,,"Shah, Shailesh N","Wang, Hanghang",,,,
BIS,3190,0H1,5,4,7,,2,1,,4,2,,,1,2,,"Robinson, Katie L","Edwards, Christopher W",,,,
BIS,3190,0W2,8,10,2,3,1,2,,2,,,,,,,"Edwards, Christopher W","Robinson, Katie L",,,,
BIOL,3102,004,12,1,,3,,1,4,2,1,,2,2,,,"Srikanth, Uma",,,,,
STAT,6337,001,,3,2,8,10,3,1,,,,,,1,,"Choudhary, Pankaj K","Gunawardana, Kalupahana L",,,,
ATCM,2301,003,,5,14,3,1,1,3,2,,,,,,,"Christopher, Daedra","Alzate, Catalina",,,,
ATCM,2301,501,,23,,1,2,,,,,,,,3,,"Stewart, Michael C","Alzate, Catalina",,,,
ATCM,2302,007,3,9,8,2,2,1,1,1,1,,1,,,,"Minnish, Roxanne W","Brtis, Chelsea L","Nazir, Cassini",,,
ATCM,3330,002,,3,11,6,6,,1,,,,1,,1,,"Nielsen, Christina R",,,,,
ACCT,6335,501,,7,4,13,4,1,,,,,,,,,"Blair, Ronald J",,,,,
FIN,3395,001,,26,2,,1,,,,,,,,,,"Peabody, Stephen D",,,,,
MKT,3330,003,5,8,6,2,4,,,1,1,1,1,,,,"Amirpour, Semiramis",,,,,
OPRE,6302,AW1,,7,17,3,1,1,,,,,,,,,"Hassanzadeh, Nozar",,,,,
CHEM,1111,126,4,18,5,,1,,,,1,,,,,,"Hashami, Zohreh","Mortensen, Marie L",,,,
CHEM,1111,147,10,11,1,,,,,1,,,,,6,,"Hashami, Zohreh","Pope, Mitchell A",,,,
CHEM,1111,601,,17,6,5,,,,,,1,,,,,"Huang, Yu","Mortensen, Marie L",,,,
CHEM,1111,609,12,13,2,,,,,1,,,,,1,,"Huang, Yu","Pope, Mitchell A",,,,
CHEM,2123,605,17,11,1,,,,,,,,,,,,"Shah, Shailesh N","Siddiki, A K M Nur Alam",,,,
CHEM,2125,103,18,7,3,,1,,,,,,,,,,"Wijenayake, Sumudu N","Tague, Daniel W",,,,
PHYS,2125,101,9,15,1,1,1,,,,,,1,,1,,"Sun, Kuei","Liu, Xun",,,,
PHYS,2126,116,5,11,11,2,,,,,,,,,,,"Sun, Kuei","Maisberger, Matthew C",,,,
PHYS,2126,602,5,11,8,2,,2,,1,,,,,,,"Sun, Kuei","Mueller, David H",,,,
PHYS,2126,603,13,12,1,1,1,,1,,,,,,,,"Sun, Kuei","Cailide, Christopher G",,,,
JAPN,1311,002,8,6,5,4,2,3,,1,,,,,,,"Allred, Michael K",,,,,
ATCM,3395,502,8,6,3,4,2,1,1,2,,,,,2,,"Starzer, Kenneth W",,,,,
CLDP,3310,501,,11,6,2,7,1,,1,,,1,,,,"Bonner, Deborah L","Poudel, Sonali",,,,
CS,4349,HON,2,4,8,5,5,3,,1,,,,,1,,"Willson, James K","Haque, Wasif A",,,,
ECON,3311,001,,11,4,,8,2,,4,,,,,,,"Grover, William C","Han, Minyu",,,,
CHEM,1111,115,13,10,2,1,,1,1,1,,,,,,,"Hashami, Zohreh","Remy, Ashele K",,,,
CHEM,1111,120,2,13,5,2,2,2,,1,,,,1,1,,"Huang, Yu","Mortensen, Marie L",,,,
CHEM,1111,127,3,16,5,1,1,,,1,,,,2,,,"Sra, Amandeep K","Perera, Alahendra Arachchige Sachini .",,,,
CHEM,1111,605,17,8,1,1,,1,,1,,,,,,,"Huang, Yu","Ahrari, Samira",,,,
NATS,3341,001,2,5,10,3,3,3,,,,,,,3,,"Dingrando, Laurel P","Karakis, Merve",,,,
PHYS,2125,111,,23,2,2,,1,,,,,1,,,,"Sun, Kuei","Dhale, Nikhil",,,,
PHYS,2125,602,2,20,3,1,1,,,,,,,,2,,"Sun, Kuei","Rahmanian Koshkaki, Saeed",,,,
PHYS,2126,113,14,12,1,,1,1,,,,,,,,,"Sun, Kuei","Cailide, Christopher G",,,,
PHYS,2126,125,5,16,3,2,2,,1,,,,,,,,"Sun, Kuei","Fox, Logan K",,,,
ATCM,3395,003,,3,4,10,6,2,,,3,,,,1,,"Imaoka, Laura",,,,,
MECH,3105,102,17,3,2,2,1,2,2,,,,,,,,"Rios, Oziel","Sadeh, Sepehr",,,,
HLTH,1301,0W2,,4,4,1,5,5,1,3,3,,1,,2,,"Baetge, Claire",,,,,
BCOM,4350,012,13,13,,,1,1,,,,,,,1,,"Michael, Sally C",,,,,
CHEM,2125,104,12,11,4,,,,2,,,,,,,,"Wijenayake, Sumudu N","Wang, Hanghang",,,,
PHYS,2126,108,12,16,,,,1,,,,,,,,,"Sun, Kuei","Zhang, Yichao",,,,
CS,4375,002,7,8,5,5,3,1,,,,,,,,,"Nagar, Anurag","Hu, Yibo",,,,
MATH,2417,012,9,,3,2,3,1,5,,3,,1,,2,,"Ahsan, Mohammad K",,,,,
MATH,6313,001,,18,4,2,3,1,,1,,,,,,,"Turi, Janos",,,,,
PHYS,2125,112,13,12,1,1,2,,,,,,,,,,"Sun, Kuei","Zhou, Xiaohe",,,,
PHYS,2126,103,3,6,13,2,2,,1,,1,,1,,,,"Sun, Kuei","Chinthak Murali, .",,,,
ATCM,2301,005,1,8,7,4,3,1,1,1,,,,,3,,"Nielsen, Christina R","Alzate, Catalina",,,,
PHYS,2126,112,14,10,3,,1,,,,,,,,1,,"Sun, Kuei","Parajuli, Santosh",,,,
PHYS,2126,605,1,10,15,2,,,,,1,,,,,,"Sun, Kuei","Gu, Wenyao",,,,
CHEM,1111,607,13,9,2,2,1,,,,,,1,1,,,"Huang, Yu","Ahrari, Samira",,,,
PSY,4324,501,1,9,3,7,2,1,1,1,2,1,,1,,,"Brody, Salena M",,,,,
CS,6364,001,,9,5,8,6,1,,,,,,,,,"Min, Richard K","Dakshit, Sagnik",,,,
BUAN,6312,0W1,,1,9,4,1,10,2,1,,,,,1,,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,
ACN,6340,001,,11,9,3,2,4,,,,,,,,,"McWilliams, Steven P",,,,,
SPAU,3342,501,5,3,5,8,2,3,1,,,1,,,1,,"Barfoot, John W","Peskova, Olga",,,,
CS,3162,054,,23,,2,,1,1,,,,,,2,,"Smith, Klyne",,,,,
BIS,1100,006,,23,1,,,,,1,,,,1,3,,"Naqvi, Syed K",,,,,
ED,4351,001,13,11,1,1,,2,1,,,,,,,,"Davis, Renee",,,,,
ACCT,6202,CH1,,27,2,,,,,,,,,,,,"Sadka, Gil",,,,,
ITSS,4301,501,4,6,4,2,3,2,1,1,1,,1,3,1,,"Hagen, John C","Tang, Ping",,,,
OB,6301,CH1,,10,5,3,6,5,,,,,,,,,"Slocum, John W",,,,,
ACCT,3350,501,4,4,3,,5,3,,1,2,,1,2,4,,"Gamino, John P",,,,,
LIT,3330,501,5,9,1,2,5,2,4,,,,,,1,,"Lambert, Thomas M",,,,,
BIOL,3162,004,1,5,,4,5,5,6,2,1,,,,,,"Dejong, Jeff L",,,,,
MATH,6303,001,,12,6,3,1,4,1,2,,,,,,,"Dragovic, Vladimir",,,,,
DANC,1310,0H1,7,12,11,,,,,,,,,,,,"Owens, Misty",,,,,
HUMA,3351,001,12,17,,1,,,,,,,,,,,"Anjum, Zafar",,,,,
ATCM,3301,002,5,10,9,1,2,2,,1,,,,,,,"Patino, Stephen D",,,,,
ATCM,3340,001,5,12,7,4,2,,,,,,,,,,"Wood, Harold G",,,,,
ATCM,3340,003,8,8,1,6,3,2,,1,,,,,1,,"Wood, Harold G",,,,,
ATCM,3376,001,,30,,,,,,,,,,,,,"Andreen, Michael T",,,,,
ATCM,4330,001,,6,3,2,12,1,1,1,2,2,,,,,"Burrough, Xtine",,,,,
CLDP,4344,001,11,5,5,1,3,2,1,,,,,,2,,"Ward, Felicia",,,,,
ACCT,4301,501,3,4,3,5,6,2,1,3,1,1,,,1,,"Hagen, John C","Tang, Ping",,,,
MKT,3330,004,11,7,2,2,3,2,2,,,,1,,,,"Amirpour, Semiramis",,,,,
BIOL,3456,303,1,6,3,4,2,3,1,3,2,3,,2,,,"Hill, Brenna R","Daescu, Kelly J","Yu, Wen H",,,
CHEM,1111,111,14,7,1,1,2,2,1,1,,,,,1,,"Dissanayake, Dushanthi S","Ma, Ziyuan",,,,
CHEM,1111,112,9,19,,,1,,,,,,1,,,,"Abeykoon, Nimali C","Faisal, Tahmid",,,,
CHEM,1111,143,16,8,3,2,,,1,,,,,,,,"Youn, Jonghae",,,,,
CHEM,1111,145,6,13,1,4,,1,1,,1,,,1,2,,"Sra, Amandeep K","Remy, Ashele K",,,,
CHEM,1111,602,16,9,,,1,,1,1,1,,,,1,,"Dissanayake, Dushanthi S","Villones, Rhiza Lyne",,,,
CHEM,2123,104,17,13,,,,,,,,,,,,,"Cue, John Michael","Lin, Jason",,,,
CHEM,2123,105,20,8,,1,1,,,,,,,,,,"Wijenayake, Sumudu N","Gunawardhana, Kahawatte Gedara",,,,
CHEM,2123,111,7,12,6,1,,,2,1,1,,,,,,"Shah, Shailesh N","Diwakara Mohottalalage, Shashini Devika D",,,,
CHEM,2123,113,20,8,2,,,,,,,,,,,,"Wijenayake, Sumudu N","Diwakara Mohottalalage, Shashini Devika D",,,,
CHEM,2123,116,22,8,,,,,,,,,,,,,"Wijenayake, Sumudu N","Tague, Daniel W",,,,
PHYS,2125,119,8,18,2,,1,,,,,,,,1,,"Sun, Kuei","Felix, Sharon",,,,
PHYS,2126,102,8,17,1,1,,1,1,,,,,,1,,"Sun, Kuei","Wang, Qiyue",,,,
PHYS,2126,106,1,15,6,4,2,2,,,,,,,,,"Sun, Kuei","Espinoza, Salvador",,,,
PHYS,2126,111,8,10,9,2,1,,,,,,,,,,"Sun, Kuei","Espinoza, Salvador",,,,
PHYS,2126,114,10,17,2,1,,,,,,,,,,,"Sun, Kuei","Fernando, Bharana A",,,,
PHYS,2126,123,10,15,3,,1,,1,,,,,,,,"Sun, Kuei","Stoikos, Evangelos",,,,
MUSI,3322,001,7,14,3,1,,2,,2,,,,1,,,"Evans, Kathryn C",,,,,
ATCM,2302,006,7,7,10,3,,2,1,,,,,,,,"Minnish, Roxanne W","Brtis, Chelsea L","Nazir, Cassini",,,
ATCM,3340,002,14,5,6,,5,,,,,,,,,,"Wood, Harold G",,,,,
ATCM,3365,001,,3,15,8,1,2,1,,,,,,,,"Chandler, Adam W",,,,,
ACN,5314,501,,15,10,4,1,,,,,,,,,,"Golden, Richard","Ryland, James W",,,,
PSCI,3364,001,,16,1,1,6,1,1,,1,1,1,,1,,"Gathman, Adrienne E",,,,,
ISIS,3335,001,9,9,3,3,2,2,,1,,,,,1,,"Rosa, Jonathan",,,,,
FIN,4345,501,4,6,4,8,5,,1,2,,,,,,,"Ayres, Jeffrey A",,,,,
MKT,3330,001,7,1,10,2,2,2,2,,,,,,4,,"Amirpour, Semiramis",,,,,
BIOL,3102,009,,16,,2,6,4,,,2,,,,,,"Delk, Nikki A","Dahl, Haley C",,,,
CHEM,1111,123,3,10,3,1,,4,1,,1,1,,,6,,"Hashami, Zohreh","Mortensen, Marie L",,,,
CHEM,1111,128,4,17,2,1,1,,,,1,,1,1,2,,"Sra, Amandeep K","Bhadran, Abhi",,,,
CHEM,1111,606,4,15,4,2,3,,,,,,1,,1,,"Dissanayake, Dushanthi S","Remy, Ashele K",,,,
CHEM,2123,117,17,13,,,,,,,,,,,,,"Shah, Shailesh N","Tajik Asl, Masoumeh",,,,
MATH,2413,026,1,4,2,3,,4,1,1,3,2,1,3,5,,"Alvarado, Iris",,,,,
PHYS,2126,109,6,14,8,1,,,1,,,,,,,,"Sun, Kuei","Adhya, Purbi",,,,
JAPN,1311,001,10,10,5,1,2,1,,,,,,,1,,"Kroska, Nami",,,,,
CS,3162,052,,27,,1,1,1,,,,,,,,,"Smith, Klyne",,,,,
FIN,6314,001,,11,1,4,11,2,,1,,,,,,,"Manzi, Jeff",,,,,
PHYS,2126,115,7,11,6,3,1,,,,,1,1,,,,"Sun, Kuei","Mueller, David H",,,,
CS,1200,HON,24,6,,,,,,,,,,,,,"Page, Ivor",,,,,
CS,4301,003,,16,3,3,2,,2,,1,,3,,,,"Straach, Janell",,,,,
BIS,3190,0W1,10,5,2,3,1,2,,2,2,2,,,1,,"Edwards, Christopher W","Robinson, Katie L",,,,
OB,6332,001,,25,,1,4,,,,,,,,,,"Ziegler, Laurie","Lu, Xi",,,,
OBHR,4335,501,2,11,14,3,,,,,,,,,,,"Meda, Edward",,,,,
CHEM,2123,606,19,8,2,,1,,,,,,,,,,"Cortes, Sergio J","Gamage, Prabhath Lakmal",,,,
PHYS,2126,121,5,19,1,1,1,,,2,,,,,1,,"Sun, Kuei","Stoikos, Evangelos",,,,
MKT,4331,001,,6,4,6,12,,,,1,,1,,,,"Dover, Howard F",,,,,
MIS,6345,0W1,,10,8,9,2,1,,,,,,,,,"Saeed, Kashif","Kumari, Riti",,,,
MATH,2414,012,3,1,3,2,3,2,3,3,1,3,,,6,,"Dahal, Rabin",,,,,
MUSI,2322,001,3,6,3,4,1,2,1,2,2,1,,1,4,,"Gerard, Lori A",,,,,
ATCM,2301,002,1,4,11,4,3,1,1,,3,,,,2,,"Christopher, Daedra","Alzate, Catalina",,,,
ATCM,2301,006,4,14,4,4,,1,1,,,,,1,1,,"Nielsen, Christina R","Alzate, Catalina",,,,
ATCM,2301,502,3,3,12,5,2,3,1,,,,1,,,,"Veras de Souza, Christine","Christopher, Daedra","Alzate, Catalina",,,
ATCM,2302,002,8,8,5,1,3,,,1,3,,1,,,,"Minnish, Roxanne W","Brtis, Chelsea L","Nazir, Cassini",,,
ATCM,3305,001,,9,7,,4,3,,2,2,,1,,2,,"Hall, Phillip",,,,,
ATCM,3340,501,5,14,8,2,,1,,,,,,,,,"Wood, Harold G",,,,,
ATCM,3350,001,3,10,4,6,2,4,,1,,,,,,,"Hewitt, Sharon","Remington, William A",,,,
ATCM,3350,002,6,7,7,4,4,1,,,,,,,1,,"Hewitt, Sharon","Remington, William A",,,,
ATCM,4397,004,,5,3,11,4,3,2,2,,,,,,,"Lewis, Timothy M",,,,,
ED,3314,501,13,8,4,2,2,,1,,,,,,,,"Fagg, Sharon",,,,,
MKT,3330,005,13,9,5,2,,,,,,,,1,,,"Gafford, Jerome M",,,,,
CHEM,1111,107,14,11,1,1,1,,1,,,,,,1,,"Gavva, Sandhya R","Ahrari, Samira",,,,
CHEM,1111,113,,18,5,5,,,,,,,,,2,,"Dissanayake, Dushanthi S","Graham, Robert L",,,,
CHEM,1111,114,3,11,4,4,3,,,,2,,1,,2,,"Dissanayake, Dushanthi S","Graham, Robert L",,,,
CHEM,1111,117,1,13,3,3,4,2,,,,,1,1,2,,"Huang, Yu","Graham, Robert L",,,,
CHEM,1111,125,2,15,5,1,1,2,,1,,1,,1,1,,"Abeykoon, Nimali C","Bhadran, Abhi",,,,
CHEM,1111,129,,17,6,3,2,,,,1,,,,1,,"Huang, Yu","Franciskovich, Matthew R",,,,
CHEM,1111,135,21,6,,1,,,1,,1,,,,,,"Abeykoon, Nimali C","Abeyrathna, Nisansala S",,,,
CHEM,1111,136,22,6,,1,,,,,1,,,,,,"Gavva, Sandhya R","Youn, Jonghae",,,,
CHEM,1111,137,19,8,1,,1,1,,,,,,,,,"Dissanayake, Dushanthi S","Abeyrathna, Nisansala S",,,,
CHEM,1115,HN1,5,23,,,,,,1,,,,,1,,"Sibert, John W",,,,,
CHEM,1315,HN1,6,11,4,1,5,1,,,2,,,,,,"Sibert, John W",,,,,
CHEM,2123,102,19,8,3,,,,,,,,,,,,"Wijenayake, Sumudu N","Hernandez, Jayoh A",,,,
CHEM,2123,103,22,6,2,,,,,,,,,,,,"Shah, Shailesh N","Hernandez, Jayoh A",,,,
CHEM,2123,107,15,12,1,2,,,,,,,,,,,"Gunawardhana, Kahawatte Gedara","Diwakara Mohottalalage, Shashini Devika D",,,,
CHEM,2123,109,18,11,,1,,,,,,,,,,,"Cortes, Sergio J","Siddiki, A K M Nur Alam",,,,
CHEM,2123,114,22,6,2,,,,,,,,,,,,"Shah, Shailesh N","Siddiki, A K M Nur Alam",,,,
CHEM,2123,115,19,8,2,1,,,,,,,,,,,"Gamage, Prabhath Lakmal","Lin, Jason",,,,
CHEM,2123,118,25,5,,,,,,,,,,,,,"Wijenayake, Sumudu N","Tague, Daniel W",,,,
CHEM,2123,119,21,7,2,,,,,,,,,,,,"Shah, Shailesh N","Tajik Asl, Masoumeh",,,,
CHEM,2123,602,19,10,1,,,,,,,,,,,,"Cortes, Sergio J","Siddiki, A K M Nur Alam","Gamage, Prabhath Lakmal",,,
CHEM,2123,604,13,14,3,,,,,,,,,,,,"Shah, Shailesh N","Gamage, Prabhath Lakmal",,,,
PHYS,2125,103,7,22,,,1,,,,,,,,,,"Sun, Kuei","Javed, Umar",,,,
PHYS,2126,107,14,8,7,1,,,,,,,,,,,"Sun, Kuei","Adhya, Purbi",,,,
PHYS,2126,118,10,17,3,,,,,,,,,,,,"Sun, Kuei","Fernando, Bharana A",,,,
PHYS,2126,122,7,10,10,2,,,1,,,,,,,,"Sun, Kuei","Chinthak Murali, .",,,,
PHYS,2126,606,4,20,4,,,,,,,1,,,1,,"Sun, Kuei","Gu, Wenyao",,,,
CS,3341,HON,4,5,3,7,6,2,,1,,,,,1,,"Haas, Zygmunt J",,,,,
