Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CS,4349,0U3,,5,4,3,1,1,1,,,,,,,,,"Chitturi, Bhadrachalam","Patel, Dhruvkumar R",,,,
CS,4375,0U1,,3,10,8,4,1,,2,,1,,,1,,,"Mazidi, Karen J","Kobayashi, Hideo",,,,
CS,4375,0U2,4,8,5,8,1,3,,,,,,,1,,,"Nagar, Anurag","Guo, Jinghui",,,,
CS,4384,0U1,2,4,4,3,,4,5,2,3,2,2,1,3,,,"Shields, Charles O","Wang, Chengen",,,,
CS,4384,0U2,1,4,8,3,3,,,,,,,,,,,"Davis, Chris I","Wu, Zhouxiang",,,,
CS,4390,0U1,1,2,4,4,2,3,1,3,,1,1,,2,,,"Le, Khiem V","Gour, Riti",,,,
CS,4390,0U2,,4,3,4,5,3,,3,1,,2,,,,,"Nguyen, Nhut","Kobayashi, Hideo","Mai, Kelvin K",,,
CS,4393,0U1,1,6,3,3,6,,,2,3,,,,,,,"Nguyen, Nhut","Mai, Kelvin K",,,,
CS,5343,0U1,,7,3,1,3,,,,,,,,,,,"Gupta, Neeraj K","Li, Xiao",,,,
CS,6301,0U1,,14,13,4,,,,,,,,,,,,"Nagar, Anurag","Wu, Zhouxiang",,,,
CS,6301,0U3,,24,,,,,,,,,,,,,,"Thuraisingham, Bhavani","Ricks, Brian W",,,,
CS,6314,5U1,,6,4,,,,,,,,,,,,,"Min, Richard K","Patel, Dhruvkumar R",,,,
CS,6350,0U1,,11,12,8,2,,,,,,,,,,,"Nagar, Anurag","Wang, Huaduo","Wu, Zhouxiang",,,
CS,6359,0U1,,4,4,4,4,,,,,,,,,,,"Zhang, Kang","Mukherjee, Kunal",,,,
CS,6360,5U1,,16,9,2,5,,,,,,,,,,,"Davis, Chris I","Liu, Bohan",,,,
CS,6363,0U1,,13,20,5,2,,,,,,,,,,,"Chandrasekaran, Ramaswamy","De, Partha",,,,
CS,6364,0U1,,22,8,2,1,2,2,2,,,,,,,,"Schweitzer, Haim","Jin, Rong",,,,
CS,6366,0U1,,8,6,5,3,2,,2,,,,,1,,,"Zhang, Kang","Malik, Hemant",,,,
CS,6367,0U1,,8,1,1,1,,,,,,,,,,,"Wong, Weichen E",,,,,
CS,6375,5U1,,7,5,5,9,1,1,2,,,,,1,,,"Schweitzer, Haim","Wan, Guihong",,,,
CS,6375,MU1,,7,2,1,,,,,,,,,,,,"Nagar, Anurag",,,,,
CS,6378,0U1,,5,8,4,7,1,,1,,,,,,,,"Mittal, Neeraj","Wang, Huaduo",,,,
CS,6385,0W1,,22,,2,2,,,3,,,,,,,,"Farago, Andras","Guo, Jianxiong",,,,
DANC,1310,0H1,4,17,9,2,5,,,1,,,,,,,,"Saba, Monica",,,,,
ECON,2301,0U1,7,12,5,2,2,3,,1,2,,,,,,,"Han, Minyu",,,,,
ECON,2302,0U1,5,5,7,3,4,6,3,4,1,,,,2,,,"Hou, Aoyu",,,,,
ECON,2302,5U1,1,5,5,4,4,3,2,,,,,,1,,,"Shi, Tianjian",,,,,
ECS,2361,0U1,,30,25,14,6,2,,,,,,,1,,,"McCaskill, John R",,,,,
ECS,2361,0U2,,22,6,12,7,2,3,,,,,,,,,"Harrington, James","Park, Yong Jun",,,,
ECS,2361,5U1,,30,17,11,11,2,1,,2,1,,,,,,"McCaskill, John R","Harrington, James","Park, Yong Jun",,,
ECS,3390,051,12,6,1,,,,,,,,,,,,,"Montgomery, Christina",,,,,
ECS,3390,053,,12,1,2,2,,,,,,,,2,,,"Glauser, Janece B",,,,,
ECS,3390,054,1,7,2,3,1,,,,1,,,,,,,"King, Carie S",,,,,
ECS,3390,055,4,8,,1,,1,2,,,,2,,,,,"King, Carie S",,,,,
ECS,3390,091,,14,,,2,,,2,,,,,,,,"Scally, Deborah A",,,,,
ECS,3390,092,,13,3,1,,,,,,,,,,,,"Mohsene, Laura L",,,,,
ED,4358,0W1,1,6,2,,1,2,1,1,,,,,2,,,"Root, Alexey",,,,,
EE,3201,0U1,3,8,5,3,1,,,2,,,,,,,,"Nikoubin, Tooraj","Steele, Alec M","Jain, Apurva",,,
EE,3202,0U1,,12,4,1,3,2,2,1,1,,,,,,,"Kiasaleh, Kamran","Apalak, Merve",,,,
EE,3301,0U1,4,6,1,1,4,,1,2,2,,,,1,,,"Tacca, Marco","Abousaba, Mohammad F","Wang, Jianda",,,
EE,3302,0U1,2,2,1,,3,2,,,,,,,,,,"Kehtarnavaz, Nasser","Quayum, Ayon",,,,
EE,3310,0U1,3,4,1,2,2,2,1,5,1,,,,2,,,"Lee, Jeong-Bong",,,,,
EE,3311,0U1,1,3,6,4,6,2,1,,,,,,,,,"Lee, Hoi","Chen, Chen","Xiong, Jiu",,,
EE,3311,5U1,,2,8,5,2,1,,,,,,,,,,"Sechen, Carl","Hu, Bo","Palit, Prithviraj",,,
EE,3320,0U1,3,,2,2,2,,1,,,,1,,,,,"Nikoubin, Tooraj","Sears, Mark R",,,,
EE,4203,0U1,7,4,3,2,2,2,1,,1,,,,,,,"Kehtarnavaz, Nasser","Azarang, Arian","Majumder, Sharmin",,,
EE,4388,0U1,,14,6,2,,,,,,,,,,,,"Skinner, Neal G","Noor Shoudha, Shamman",,,,
EE,4389,0U1,3,19,2,6,1,,,,,,,,,,,"Bhatia, Dinesh","Gandluru, Veerabharathchandrareddy",,,,
EEBM,7V87,0W1,,14,,,,,,,,,,,,,,"Tamil, Lakshman",,,,,
EEOP,6314,0H1,,22,3,,,,,,,,,,,,,"Tamil, Lakshman",,,,,
EERF,7V89,0W1,,10,,,6,,,,,,,,,,,"Henderson, Rashaunda M","Virushabadoss, Nishanth",,,,
ENGR,2300,0U1,4,6,4,3,9,,4,3,4,,2,,2,,,"Akin, Bilal","Li, Chen","Hassan, Rana A",,,
ENGR,3300,0U1,,26,2,3,12,1,,6,,,,,,,,"Ali, Mohammed Z","Upadhyay, Bhaskar R","Nourmohamadi, Hesam",,,
ENGR,3341,0U1,1,4,5,2,4,5,9,4,4,,,6,2,,,"Fonseka, John","Hassan, Rana A","Mahmoud, Mohamed H",,,
ENTP,3301,0U1,11,8,12,10,1,1,1,,,,,,,,,"Nichols, Paul M",,,,,
ENTP,4340,0U1,20,25,3,,1,1,,1,,,,,,,,"Goodrich, Mary Beth W",,,,,
ENTP,6321,5U1,,3,,,6,,,1,,,,,,,,"Guttery, Randall",,,,,
ENTP,6370,0W1,,13,6,2,3,1,,,,,,,,,,"Kimzey, Jackie","Kwon, Jung Hyun",,,,
ENTP,6375,0W1,,5,3,1,,,,,,,,,1,,,"Bochsler, Daniel C",,,,,
EPPS,2301,5U1,,10,5,,2,1,,,,,,,,,,"Narvey, Chelsey",,,,,
EPPS,2302,5U1,,5,6,2,3,,,,,,,,1,,,"Cavallo De Oliveira, Paulo Marcio","Akarte, Prajakti V",,,,
EPPS,7V81,001,,14,4,,3,,,,,,,,,,,"Ho, Karl","Yang, Yalin",,,,
FILM,1303,0U1,,7,2,,,,1,,,,,,,,,"Al-Habashneh, Eman Bahjat",,,,,
FILM,3321,051,1,8,1,1,2,,,,,,,,,,,"Warren, Shilyh J",,,,,
FIN,3305,5U1,,2,2,,10,1,,5,,,1,,,,,"Guttery, Randall",,,,,
FIN,3320,0U1,,7,10,7,4,6,1,1,2,,,,,,,"Heidtman, David M",,,,,
FIN,3320,0U2,1,11,11,5,6,3,2,,,,,,,,,"Peabody, Stephen D",,,,,
FIN,3320,0U3,2,10,16,5,4,,1,3,1,1,,,,,,"Peabody, Stephen D",,,,,
FIN,3320,0W1,,15,12,7,4,3,,1,,,,,,,,"Manzi, Jeff",,,,,
FIN,3320,5U2,2,8,6,4,4,2,2,1,1,1,1,,1,,,"Zhao, Yabo",,,,,
FIN,3330,0U1,,13,,,3,,,5,,,,,,,,"Lynch, Julie",,,,,
FIN,3340,0U1,27,11,5,1,,,1,1,,,,,,,,"Molina, Stephen","Wendel, Alexa P",,,,
FIN,3350,0U1,,15,,,5,,,,,,,,,,,"Smith, Kenneth L",,,,,
FIN,3360,0U1,1,5,7,6,12,4,,,2,,,,1,,,"Pedigo, Madison F",,,,,
FIN,3390,5U1,6,5,6,3,8,6,5,4,4,1,2,,2,,,"El-Ashmawi, Amal H","Zhu, Yifan",,,,
FIN,3395,5U1,,3,3,2,3,3,,,,,,,,,,"Noland, Jeff",,,,,
FIN,4300,0U1,3,2,1,2,3,8,4,1,3,,1,,1,,,"Kim, Sang Hyun",,,,,
FIN,4310,0U1,1,4,,4,9,4,8,3,3,,1,,2,,,"Anderson, Frank W",,,,,
FIN,6301,0W1,,44,,,5,,,,,,,,,,,"El-Ashmawi, Amal H","Zhu, Yifan",,,,
FIN,6301,5U1,,10,4,2,3,3,1,,,,,,,,,"Baranchuk, Nina",,,,,
FIN,6301,CW1,,20,3,2,3,2,,,,,,,1,,,"Reichert, Carolyn A",,,,,
FIN,6301,PU1,,16,2,3,2,1,1,,,,,,,,,"Reichert, Carolyn A",,,,,
FIN,6301,XU1,,25,1,,5,1,,1,,,,,,,,"El-Ashmawi, Amal H","Zhu, Yifan",,,,
FIN,6307,5U1,,12,3,1,3,1,,,,,,,,,,"Ma, Liping","Srivastava, Smriti",,,,
FIN,6308,0W1,,8,,1,2,3,,,,,,,,,,"Lewin, Peter","Lee, Pil-Seng",,,,
FIN,6310,5U1,,18,3,1,1,1,,1,,,,,,,,"Kaur, Dupinderjeet","Lee, Pil-Seng",,,,
FIN,6316,SU1,,6,6,5,3,2,,,,,,,,,,"Springate, David J",,,,,
FIN,6318,5U1,,18,9,4,3,,,,,,,,,,,"Ma, Liping","Srivastava, Smriti",,,,
FIN,6350,0W1,,9,4,5,14,,,,,,,,,,,"Reichert, Carolyn A",,,,,
FIN,6352,5U1,,5,2,1,3,,,,,,,,,,,"Springate, David J",,,,,
FIN,6360,5U1,,9,,1,,,1,,,,,,,,,"Kaur, Dupinderjeet","Lee, Pil-Seng",,,,
FIN,6360,SU1,,18,2,1,1,,,,,,,,,,,"Kaur, Dupinderjeet","Lee, Pil-Seng",,,,
GEOG,3359,051,,13,7,4,1,1,,2,,,,1,1,,,"Vakulenko, Irina",,,,,
GEOG,3382,051,3,5,3,1,,1,,,,,,,,,,"Vakulenko, Irina",,,,,
GEOS,1303,051,11,15,4,2,1,,2,,1,,,,,,,"Griffin, William R","Wang, Ning",,,,
GEOS,4300,0S1,4,11,2,,3,2,2,,,,,,,,,"Pirouz, Mortaza","Stine, Jonathan M","Akatakpo, Solomon O","Newman, Jordan W","Johnson, Samuel P","Geissman, John W"
GOVT,2305,0U1,,39,,,19,,,6,,,1,,3,,,"Eaton, John M","Stanaland, Leslie",,,,
GOVT,2305,0U2,,28,,,14,,,4,,,,,2,,,"Eaton, John M","Stanaland, Leslie",,,,
GOVT,2306,0U1,,50,13,4,6,7,1,1,1,,,,,,,"Gutierrez Mannix, Carlos Daniel","Oketch, Christine E",,,,
GOVT,2306,0U2,,56,16,2,3,2,1,2,,,,,3,,,"Gutierrez Mannix, Carlos Daniel","Oketch, Christine E",,,,
HCS,7376,5U1,,10,1,,,,,,,,,,,,,"Barfoot, John W",,,,,
HDCD,6370,0U1,,10,,1,,,,,,,,,,,,"Ewing, Donna M",,,,,
HIST,1302,0U1,33,19,8,4,2,2,2,1,,,1,1,4,,,"Varghese, Shawn","Simmons, Alyssa",,,,
HIST,2301,591,,26,,8,21,3,1,8,4,1,3,,4,,,"Volanto, Keith J","Zawng, Ze",,,,
HIST,3328,091,,2,4,2,4,,1,,,,,,4,,,"Dennis, Patrick W",,,,,
HIST,3379,051,1,4,,2,3,3,,1,,,1,,1,,,"Schulze, Jeffrey",,,,,
HIST,4344,0W1,6,5,7,7,2,2,1,,,,,,,,,"Pfister, Debra H",,,,,
HIST,6340,591,,2,5,3,,,,,,,,,,,,"Wilson, Michael",,,,,
HLTH,1301,0W1,2,1,4,3,1,1,,,1,,,,,,,"Baetge, Claire",,,,,
HLTH,3300,0U1,,47,8,2,,,,3,,,,,,,,"Byrnes, Kathleen A",,,,,
HMGT,3301,5U1,7,16,7,4,2,,1,,,,,,,,,"Wylie, Mary",,,,,
HMGT,6320,CH1,,12,1,2,1,,,1,,,,,,,,"Jacob, Stephen",,,,,
HMGT,6331,5U1,,14,1,,1,,,,,,,,,,,"Malaise, Michael",,,,,
HMGT,6332,5U1,,18,9,3,1,3,2,,,,,,,,,"Ramanathan, Kannan",,,,,
IMS,3310,0U1,2,5,23,11,2,2,1,,,,,,,,,"Bai, Xiaoou",,,,,
IMS,3310,0U2,,16,,6,13,1,1,4,1,1,,1,2,,,"Henderson, Tom",,,,,
IMS,3310,5U1,1,8,1,2,25,1,,1,1,,3,,4,,,"Henderson, Tom",,,,,
IMS,6304,AW1,,11,,,4,,,,,,,,,,,"Petrik, Peter","McCracken, John",,,,
IMS,6360,0W1,,37,21,14,3,,1,2,,,,,,,,"Olsztynska, Agnieszka","Welbourne Eleazar, Miranda J",,,,
IPEC,4305,0U1,6,13,7,4,1,,,,1,,,,,,,"Islam, Iftekhairul",,,,,
IPEC,4396,0U1,4,5,4,3,2,1,,,,,,,,,,"Saucedo De La Fuente, David",,,,,
ISIS,3335,091,4,6,5,4,3,4,1,1,2,,,,1,,,"Rosa, Jonathan",,,,,
ISIS,4304,051,,17,,1,3,1,2,1,,,,,,,,"Werhnyak, Larissa",,,,,
ISNS,2359,0W1,38,21,7,7,7,,2,,,,,2,5,,,"Pujana, Ignacio",,,,,
ISNS,2367,0W1,17,24,13,8,10,4,1,3,1,,,2,9,,,"Pujana, Ignacio",,,,,
ISNS,2367,0W2,3,4,1,,2,,,,1,,,,,,,"Pujana, Ignacio",,,,,
ITSS,3300,0U1,,8,10,5,6,1,1,4,3,1,1,,2,,,"Shrivastava, Prakash C",,,,,
ITSS,3300,5U1,,43,2,3,3,2,,2,,1,,,,,,"Owens, Sean M","Kulkarni, Aniket S",,,,
ITSS,3311,5U1,15,13,8,4,4,1,,,,,,,,,,"Mishra, Sailendra P",,,,,
ITSS,3312,5U1,22,2,20,2,1,,3,6,,,,,,,,"Perez, Jerry","Kulkarni, Aniket S",,,,
ITSS,3390,5U1,1,4,10,6,,,,,,,,,,,,"Arora, Vivek",,,,,
ITSS,4300,5U1,,5,4,3,6,4,4,2,1,,,,,,,"Owens, Dawn M",,,,,
ITSS,4330,0U1,,3,3,3,3,1,,1,,,1,,,,,"Islam, Naser",,,,,
ITSS,4340,0U1,,4,3,4,5,3,,3,1,,,,1,,,"Thompson, Luell O",,,,,
ITSS,4351,5U1,,17,7,4,2,2,,1,,1,,,,,,"Shekhar, Gaurav",,,,,
ITSS,4352,0U1,7,2,3,1,3,1,1,,1,2,,,1,,,"Bradbury, Judd D",,,,,
ITSS,4360,5U1,5,19,6,4,3,3,1,,,,,,,,,"Howe, Nate","Zhang, Hong",,,,
ITSS,4370,0U1,12,5,9,2,1,,,1,,,,,1,,,"Fuller, Tony F","Liu, Yihong",,,,
ITSS,4V95,5U1,16,6,,1,5,,1,,,,,,,,,"Khan, Taimur A",,,,,
LANG,3348,051,7,2,1,1,,,,,,,1,,,,,"Camacho-Guardado, Lorena",,,,,
LIT,1301,0U1,4,,7,2,,2,1,1,,,,,,,,"Oliver, Stephanie R",,,,,
LIT,2331,0U1,7,8,6,3,,,,1,,,,,3,,,"Shierry, Addison",,,,,
LIT,3317,0U1,4,3,1,7,,1,,,,,1,,2,,,"Starnaman, Sabrina",,,,,
LIT,3319,0U1,9,1,1,1,,,,,,,,,1,,,"Ingrao, Peter J",,,,,
LIT,3337,051,,14,4,,1,,,,,,,,2,,,"Brewer, Kenneth L",,,,,
MAS,6102,0U1,,,,,,,,,,,,,1,,21,"Cirilo, Jason M","Jones, Royce E",,,,
MATH,1306,0U1,4,2,1,2,2,,,,,,,,1,,,"Duruoha, Adannah",,,,,
MATH,1325,5U1,3,3,3,1,8,1,1,2,,,,,1,,,"Adabrah, Anani Komla","Mitra, Arnaja",,,,
MATH,1325,5U2,4,1,4,1,3,1,,,,,,,1,,,"Foley, Manjula","Soliman, Marwah M",,,,
MATH,1326,0U1,2,6,4,2,6,2,2,4,,,1,,2,,,"Mussa, Derege","Cao, Jianpeng",,,,
MATH,1326,0U2,2,5,1,3,9,6,4,3,1,,,2,1,,,"Nguyen, Mylinh T","Zhang, Yu",,,,
MATH,2312,0U1,1,2,,2,2,1,1,,,2,,1,,,,"Nguyen, Mylinh T","Malhotra, Sakshi",,,,
MATH,2413,0U1,4,5,8,5,8,,1,,,,,,4,,,"Aman, Kelly","Alvarado, Iris",,,,
MATH,2413,0U2,2,6,6,2,5,2,,,,,1,2,4,,,"Alvarado, Iris","Aman, Kelly",,,,
MATH,2414,0U1,6,3,7,8,5,2,1,2,2,,,1,1,,,"Ahsan, Mohammad K","Abugri, Clement","Ko, Eunmi","Rajapaksha, Lashika N",,
MATH,2414,0U2,5,4,1,4,9,3,2,4,2,1,1,,2,,,"Ahsan, Mohammad K","Abugri, Clement","Ko, Eunmi","Rajapaksha, Lashika N",,
MATH,2415,0U1,9,10,9,1,5,1,,4,1,,,,4,,,"Li, Changsong",,,,,
MATH,2415,0U2,3,10,7,6,2,5,,1,3,,,,1,,,"Akbar, Mohammad M",,,,,
MATH,2417,0U1,3,3,2,2,,4,1,2,3,,1,,2,,,"Martynova, Irina","Rawat, Richa",,,,
MATH,2418,0U1,6,5,11,4,6,3,2,1,2,1,2,,2,,,"Patel, Jigarkumar S",,,,,
MATH,2418,0U2,3,8,8,1,3,1,3,4,,,1,,3,,,"Dahal, Rabin",,,,,
MATH,2419,0U1,4,3,1,,4,1,2,,2,3,,,2,,,"Patel, Jigarkumar S","Brewer, Charlie P",,,,
MATH,2420,0U1,5,6,5,9,3,5,8,4,6,,2,,1,,,"Paudel, Ajaya B","Hart, Russell A","K. C. Khatri, Rajendra",,,
MATH,2451,0U1,5,2,2,5,7,5,3,6,3,,,,1,,,"Eydelzon, Anatoly","Albelo-Cortes, Josean","Acharya, Subas",,,
MATH,3310,0U1,3,3,2,1,3,1,,,,,,,,,,"Ramakrishna, Viswanath","Helal, Md Abu",,,,
MATH,4301,0U1,1,2,4,2,2,3,,,1,,2,,1,,,"Dabkowski, Mieczyslaw K","Wu, Che-Yu","Rakotomalala, Diarisoa Mihaja Andriamanisa",,,
MECH,2310,0U1,1,7,3,1,3,1,,,,,,,2,,,"Thamban, P.L.Stephan",,,,,
MECH,2330,0U1,,5,1,2,1,2,3,1,1,,1,,,,,"Thamban, P.L.Stephan",,,,,
MECH,3105,0U1,8,5,5,5,4,,1,1,1,,,,,,,"Rios, Oziel","Sadeh, Sepehr",,,,
MECH,3150,0U1,4,11,3,3,1,,,1,,,1,,,,,"Park, Wooram","Gleason, Glenn H",,,,
MECH,3305,0W1,6,6,4,2,2,5,1,1,1,,,,,,,"Rios, Oziel","Sadeh, Sepehr",,,,
MECH,3310,0U1,2,2,1,1,1,,2,,1,,,,1,,,"Hassanipour, Fatemeh",,,,,
MECH,3320,0U1,2,11,4,10,7,7,5,4,4,1,2,,1,,,"Fadda, Dani Z","Mueller, Matthew W",,,,
MECH,3350,0U1,,2,2,3,1,1,,,,,,,1,,,"Park, Wooram",,,,,
MECH,3360,0U1,4,3,4,4,5,3,,,,,,,,,,"Ryu, III",,,,,
MECH,4340,0U1,,7,8,7,12,4,5,2,2,,,,,,,"Park, Wooram","Gleason, Glenn H",,,,
MECH,4381,0U1,,10,9,6,11,6,2,2,1,,,,,,,"Hart, Robert A","Subramanian, Divya",,,,
MECH,4381,0U2,,6,11,9,9,5,1,2,,,,,,,,"Hart, Robert A","Subramanian, Divya",,,,
MECO,6303,0W1,,10,2,9,8,,,,,,,,,,,"Lewin, Peter","Lee, Pil-Seng",,,,
MECO,6303,5U1,,6,5,4,,2,,,,,,,,,,"Kiser, Stephen L",,,,,
MECO,6303,AW1,,23,2,1,,1,,,,,,,1,,,"Kiser, Stephen L",,,,,
MIS,6204,CH1,,12,4,4,4,,,,,,,,,,,"Rhoades, Mike",,,,,
MIS,6308,0W1,,11,10,9,8,3,3,,,,,,,,,"Raghunathan, Srinivasan",,,,,
MIS,6309,5U1,,8,4,4,1,1,,,,,,,,,,"Islam, Naser",,,,,
MIS,6313,5U1,,40,5,1,1,2,,,,,,,,,,"Fuller, Tony F","Liu, Yihong",,,,
MIS,6313,GW1,,15,7,8,4,,,1,,,,,,,,"Wiant, Russell B",,,,,
MIS,6320,0W1,,6,2,1,2,,1,,,,,,,,,"Cavusoglu, Huseyin","Liu, Yihong",,,,
MIS,6326,0W1,,10,9,6,5,1,,,,,,,,,,"Ryu, Young","Liu, Yihong",,,,
MIS,6330,5U1,,12,6,6,,,,,,,,,,,,"Lahiri, Atanu","Zhang, Hong",,,,
MIS,6341,0W1,,11,4,5,4,,,,,,,,,,,"Sohaee, Nassim",,,,,
MIS,6344,0U1,,4,4,3,1,1,2,,,,,,,,,"Singh, Harpreet","Zhang, Chenglong",,,,
MIS,6346,5U1,,21,3,,,,,,,,,,,,,"Perez, Jerry","Kulkarni, Aniket S",,,,
MIS,6346,5U2,,12,,,,,,,,,,,,,,"Elkhodari, Gasan",,,,,
MIS,6356,5U2,,5,7,3,1,,1,,,,,,,,,"Chatterjee, Sourav",,,,,
MIS,6360,0W1,,16,6,3,2,3,,,,,,,,,,"Thouin, Mark",,,,,
MIS,6380,0W1,,17,6,1,2,,1,2,,,,,,,,"Bradbury, Judd D",,,,,
MIS,6382,5U1,,23,13,2,1,2,,,,,,,,,,"Neouchi, Rabih",,,,,
MKT,3300,0U1,4,8,5,7,3,3,2,1,,,,1,1,,,"Kasaian, Keyvan",,,,,
MKT,3300,0U2,2,7,4,4,1,1,1,1,,1,,,1,,,"Amirpour, Semiramis",,,,,
MKT,3300,0W1,4,19,6,6,13,,,,,,,,,,,"Pahwa, Parneet","Elmi, Omid",,,,
MKT,3300,5U1,3,14,4,2,1,,,,,,,,,,,"Bigham, Ernest P",,,,,
MKT,3330,0U1,11,14,2,,2,1,1,,,,,,,,,"Gafford, Jerome M",,,,,
MKT,3340,5U1,5,7,6,4,3,2,1,1,,,,,1,,,"Kamatham, Sriharsha",,,,,
MKT,4330,0W1,5,6,5,9,5,5,1,1,,,,,1,,,"Edsel, Alexander D",,,,,
MKT,4334,5U1,,16,7,2,9,4,,1,,,,,1,,,"Pacyna, Sandra",,,,,
MKT,4335,0U1,4,2,2,,1,,,1,,,,,,,,"Gafford, Jerome M",,,,,
MKT,4380,0W1,,3,1,1,4,3,1,,,,,,1,,,"Wu, Fang","Herd, Harrison L",,,,
MKT,6301,0W1,,17,5,6,15,4,,,,,,,,,,"Pahwa, Parneet","Elmi, Omid",,,,
MKT,6301,0W2,,13,5,2,10,,,,,,,,,,,"Pahwa, Parneet","Elmi, Omid",,,,
MKT,6301,MBP,,13,8,10,6,2,,,,,,,,,,"Rajaratnam, Daniel",,,,,
MKT,6301,XU1,,21,6,4,,2,,,,,,,,,,"Albrecht, Maria","Raines, Marie H",,,,
MKT,6309,0W1,,10,5,5,5,,,,,,,,,,,"Rajaratnam, Daniel",,,,,
MKT,6332,0W1,,10,9,8,3,1,1,,,,,,,,,"Biswas, Abhijit","Shetty, Reema R",,,,
MKT,6339,0W1,,3,8,6,7,1,,,,,,,,,,"Rajaratnam, Daniel",,,,,
MKT,6352,0W1,,8,2,8,8,2,1,2,,,,,2,,,"Tirone, Guido",,,,,
MTHE,5326,0W1,,9,2,,,,,,,,,,,,,"Sutton, Julie","Stuart, Georgia K",,,,
NSC,3361,0U1,9,20,24,7,7,6,3,1,2,,,1,,,,"McWilliams, Steven P","Szabo-Pardi, Thomas A",,,,
NSC,3361,0U2,15,6,7,4,3,3,3,4,4,,4,,3,,,"Taylor, Anna M","Lenert, Melissa E","Hong, Veronica M",,,
NSC,4350,0U1,1,2,3,1,2,2,1,1,1,,,,,,,"Miller, Van S",,,,,
NSC,4351,0U1,9,5,2,1,5,2,2,1,1,,,,1,,,"Shareef, Safiullah M",,,,,
NSC,4352,0U1,2,8,8,4,2,4,2,2,,,,,,,,"Raboune, Siham","Calderon, Debora",,,,
NSC,4353,1U1,1,6,1,1,,1,,1,,,,,1,,,"McWilliams, Steven P","Brougher, Jackson J",,,,
NSC,4353,1U2,2,1,2,3,2,1,,,,,,,,,,"Taylor, Anna M","Mei, Hao-Ruei",,,,
NSC,4353,1U3,1,4,3,1,,3,,,,1,1,,,,,"Raboune, Siham","dos Santos, Natalia Lucia",,,,
NSC,4354,0U1,2,9,8,4,2,4,2,2,2,2,,1,,,,"Sultana, Rukhsana","Tseng, Ching-Tzu",,,,
NSC,4356,0U1,,7,,,10,,,3,,,2,,,,,"Sultana, Rukhsana","Garner, Katherine M",,,,
NSC,4363,0U1,,20,,,9,,,,,,,,,,,"Raboune, Siham","Naik, Dhananjay K",,,,
NSC,4366,0U1,6,4,1,6,2,3,,2,1,,4,,2,,,"Taylor, Anna M","Lehtonen, Derek","Newel, Jacqueline P",,,
OB,6249,CW1,,20,,,1,,,,,,,,,,,"Hicks, Robert",,,,,
OB,6301,0W1,,46,,,1,,,,,,,,,,,"Hasenhuttl, Maria","Kathuria, Nishant",,,,
OB,6301,5U1,1,19,10,4,3,4,1,1,,,,,,,,"Olsztynska, Agnieszka","Welbourne Eleazar, Miranda J",,,,
OB,6301,CH1,,27,3,,,,,,,,,,,,,"Ferrante, Anne M",,,,,
OB,6307,0W1,,35,1,,4,,,,,,,,,,,"Richard, Orlando","Boncoeur, Olivier D",,,,
OB,6331,CW1,,23,,1,,,,,,,,,,,,"Hasenhuttl, Maria",,,,,
OB,6344,CW1,,30,5,2,3,,,,,,,,,,,"Norton, Larry",,,,,
OB,6348,CW1,,26,1,,,,,,,,,,,,,"Plaisance Bryan, Suzette T",,,,,
OB,6351,CW1,,12,7,1,,1,,,,,,,,,,"Norton, Larry",,,,,
OB,6352,CW1,,15,7,,1,,,,,,,,,,,"Hicks, Robert",,,,,
OB,6382,CW1,,28,,,,,,,,,,,,,,"Plaisance Bryan, Suzette T",,,,,
OBHR,3310,0U1,13,10,10,7,4,1,2,1,,,,,,,,"Ritchey, David B",,,,,
OBHR,3330,0U1,17,18,7,4,4,2,1,,5,,1,,1,,,"Ritchey, David B",,,,,
OBHR,4300,0U1,6,11,5,14,,,,,,,1,,,,,"Edgington, Kyle D",,,,,
OBHR,4352,5U1,1,9,4,3,8,5,2,1,,1,,1,,,,"Ritchey, Kemberly A",,,,,
OPRE,3310,0U1,,12,,13,20,,,4,,,1,,,,,"Subramoniam, Ramesh","Gokcinar, Abdullah H",,,,
OPRE,3310,0U2,,17,,6,19,,2,1,,,,,1,,,"Subramoniam, Ramesh","Gokcinar, Abdullah H",,,,
OPRE,3310,5U1,,32,,8,10,2,,4,,,,,2,,,"Mobini Dehkordi, Zahra",,,,,
OPRE,3320,5U1,,5,,5,4,,,,,,,,,,,"Mozik, Vince C",,,,,
OPRE,3330,5U1,,6,4,2,1,1,,2,,,2,,,,,"Janke, Scott M",,,,,
OPRE,3333,0U1,7,14,6,9,6,8,4,7,6,,,,1,,,"Enayaty Ahangar, Negin","Rasulov, Toghrul",,,,
OPRE,3333,5U1,8,5,8,2,4,,1,2,,,1,,1,,,"Woldu, Malgorzata",,,,,
OPRE,3360,0U1,14,7,6,10,9,2,2,,1,,,3,2,,,"Farajbakhsh Mamaghani, Fariba",,,,,
OPRE,3360,0W1,5,8,7,5,12,4,2,,2,,1,,2,,,"Brussolo, Monica E","Rasulov, Toghrul",,,,
OPRE,3360,5U1,3,3,2,3,2,2,2,2,,,1,,1,,,"Sul, Inki",,,,,
OPRE,4330,5U1,6,6,,,,,,,,,,,,,,"Widdifield, David S",,,,,
