Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BUAN,6320,S01,,68,25,5,1,,,,,,,,,,,,,0,"Swamy, Venkat",,,,,
BUAN,6320,SW1,,8,6,3,6,4,,1,,,,,5,,,,,0,"Smashnov, Uri",,,,,
BUAN,6335,501,,13,9,14,8,8,4,,,,,,,,,,,0,"Khan, Masudal H","Pawar, Raybhan Sanjay",,,,
BUAN,6335,502,,22,12,17,5,3,4,,,,,,,,,,,0,"Khan, Masudal H","Pawar, Raybhan Sanjay",,,,
BUAN,6335,SW1,,22,,1,,1,,,,,,,1,,,,,2,"Narayan, Ravishankar L",,,,,
BUAN,6337,001,,16,4,5,3,1,,,,,,,,,,,,0,"Kim, Tongil","Kim, Seung Mok",,,,
BUAN,6337,0W1,,8,8,5,3,1,1,1,,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol","Saremi, Ehsan",,,
BUAN,6337,0W2,,6,6,14,11,8,1,2,,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol","Saremi, Ehsan",,,
BUAN,6337,501,,8,7,8,3,2,,,,,,,,,,,,0,"Kim, Tongil","Kim, Seung Mok",,,,
BUAN,6337,SW1,,10,9,12,5,10,2,1,,,,,,,,,,1,"Subramanian, Upender","Madan, Anmol","Saremi, Ehsan",,,
BUAN,6337,SW2,,12,11,5,7,8,2,3,,,,,,,,,,1,"Subramanian, Upender","Saremi, Ehsan","Madan, Anmol",,,
BUAN,6340,001,,26,31,4,3,1,,,,,,,,,,,,0,"Parker, Jason A","Nallapati, Yashwanth",,,,
BUAN,6340,501,,25,31,6,1,1,,,,,,,,,,,,1,"Parker, Jason A","Nallapati, Yashwanth",,,,
BUAN,6340,SW1,,8,4,,,,,,,,,,,,,,,0,"Asgar, Talukdar S",,,,,
BUAN,6341,001,,16,20,7,2,,,,,,,,,,,,,0,"Meng, Zixuan","Roshani, Rouzbeh",,,,
BUAN,6341,002,,23,22,10,2,,,,,,,,,,,,,0,"Meng, Zixuan","Roshani, Rouzbeh",,,,
BUAN,6341,003,,23,7,4,2,,,,,,,,,,,,,0,"Wu, Lidong","Pagidi, Shreya Reddy",,,,
BUAN,6341,501,,20,24,6,2,1,,,,,,,,,,,,0,"Meng, Zixuan","Roshani, Rouzbeh",,,,
BUAN,6341,S01,,8,5,4,5,3,,2,,,,,,,,,,0,"Singh, Harpreet",,,,,
BUAN,6342,501,,12,3,15,8,2,,4,,,,,,,,,,0,"Singh, Harpreet","Joseph, Shailender",,,,
BUAN,6342,502,,8,3,,,,,,,,,,,,,,,1,"Wu, Lidong","Ramabhotla, Naga Madhulatha",,,,
BUAN,6344,001,,13,3,3,2,2,1,2,,,,,,,,,,0,"Maru, Vatsal K","Reddy, Yeshasvini T",,,,
BUAN,6344,S01,,22,,,,,,1,,,,,,,,,,0,"Allison, Kyle",,,,,
BUAN,6346,001,,3,5,6,3,4,1,,,,,,,,,,,1,"Paes, Antonio P","Patil, Sagar D",,,,
BUAN,6346,0W1,,19,12,4,,,,,,,,,,,,,,0,"Perez, Jerry","Maguluri, Sai Suma",,,,
BUAN,6346,501,,17,7,4,4,,,,,,,,,,,,,0,"El-Youssef, Rami","Patil, Sagar D",,,,
BUAN,6346,502,,28,5,3,2,,,,,,,,,,,,,0,"El-Youssef, Rami","Patil, Sagar D",,,,
BUAN,6346,503,,27,7,3,3,,,,,,,,,,,,,0,"Elkhodari, Gasan","Maguluri, Sai Suma",,,,
BUAN,6346,SW1,,25,10,7,4,,,,,,,,,,,,,0,"Perez, Jerry","Maguluri, Sai Suma",,,,
BUAN,6356,001,,16,25,7,5,3,,,,,,,,,,,,0,"Parker, Jason A","Nallapati, Yashwanth",,,,
BUAN,6356,002,,8,5,1,14,8,3,4,,,,,4,,,,,4,"Shrivastava, Prakash C","Sinha, Sanjna",,,,
BUAN,6356,003,,48,6,1,,,,1,,,,,,,,,,0,"Patra, Subhra R","Mumbaikar, Tushar M",,,,
BUAN,6356,004,,28,17,4,1,2,2,1,,,,,,,,,,0,"Zhang, Zhe","Emmanuel, Aditya",,,,
BUAN,6356,005,,32,23,1,1,2,,,,,,,,,,,,0,"Zhang, Zhe","Emmanuel, Aditya",,,,
BUAN,6356,006,,25,20,6,1,1,,1,,,,,,,,,,0,"Zhang, Zhe","Emmanuel, Aditya",,,,
BUAN,6356,007,,8,9,6,9,4,,,,,,,3,,,,,0,"Shrivastava, Prakash C","Sinha, Sanjna",,,,
BUAN,6356,0W1,,5,17,6,11,3,,1,,,,,1,,,,,0,"Parker, Jason A","Nallapati, Yashwanth",,,,
BUAN,6356,501,,6,8,7,11,10,,3,,,,,5,,,,,0,"Shrivastava, Prakash C","Sinha, Sanjna",,,,
BUAN,6356,502,,36,12,6,1,,,,,,,,,,,,,0,"Koju, Vijay","Mumbaikar, Tushar M",,,,
BUAN,6356,503,,20,8,2,4,1,,,,,,,,,,,,0,"Patra, Subhra R","Kontham, Sai Akshay",,,,
BUAN,6356,504,,11,12,6,10,8,,,,,,,,,,,,0,"Pandian, Thiru","Bhardwaj, Ashna",,,,
BUAN,6356,S01,,31,18,3,5,3,,,,,,,,,,,,0,"Parker, Jason A",,,,,
BUAN,6356,S02,,35,2,,1,1,,,,,,,1,,,,,1,"Johnston, Walter L",,,,,
BUAN,6356,SW1,,41,,,2,,,1,,,,,,,,,,1,"Lakshmanan, Ramesh",,,,,
BUAN,6357,001,,9,1,,2,,,,,,,,,,,,,1,"Johnston, Walter L",,,,,
BUAN,6359,001,,14,7,4,17,5,3,2,,,,,1,,,,,0,"Brussolo, Monica E","Damania, Krish",,,,
BUAN,6359,002,,25,8,6,11,3,2,,,,,,1,,,,,0,"Enayaty Ahangar, Negin","Mehta, Manvi N",,,,
BUAN,6359,003,,18,4,11,10,4,,,,,,,,,,,,0,"Sethi, Awanti","Yadav, Saurabh V",,,,
BUAN,6359,005,,22,3,9,2,3,,6,,,,,2,,,,,0,"Enayaty Ahangar, Negin","Mehta, Manvi N",,,,
BUAN,6359,006,,8,8,11,4,5,6,4,,,,,1,,,,,0,"Toptal, Aysegul","Deshmukh, Nikita Prakash",,,,
BUAN,6359,007,,10,6,6,11,7,6,4,,,,,3,,,,,0,"Toptal, Aysegul","Deshmukh, Nikita Prakash",,,,
BUAN,6359,008,,21,2,2,7,5,7,7,,,,,5,,,,1,0,"Whalen, Tristan G","Nelliyadukam, Girish K",,,,
BUAN,6359,009,,22,4,8,10,6,9,4,,,,,,,,,,0,"Enayaty Ahangar, Negin","Mehta, Manvi N",,,,
BUAN,6359,010,,20,6,,5,1,6,6,,,,,9,,,,,0,"Whalen, Tristan G","Shelke, Sourabh V",,,,
BUAN,6359,0W1,,11,7,6,16,6,2,4,,,,,1,,,,,0,"Brussolo, Monica E","Damania, Krish",,,,
BUAN,6359,0W2,,12,6,5,3,4,4,2,,,,,,,,,,0,"Ahadi, Khatereh","Pemmasani, Nagarjun N",,,,
BUAN,6359,0W3,,10,6,4,10,6,8,7,,,,,3,,,,,1,"Toptal, Aysegul","Deshmukh, Nikita Prakash",,,,
BUAN,6359,501,,15,2,8,6,6,2,7,,,,,5,,,,,1,"Ramezani, Rasoul","Pusthay, Srinikethan",,,,
BUAN,6359,503,,10,3,4,9,2,1,3,,,,,,,,,,2,"Ramezani, Rasoul","Pusthay, Srinikethan",,,,
BUAN,6359,S01,,17,6,6,16,5,1,3,,,,,2,,,,,0,"Brussolo, Monica E",,,,,
BUAN,6359,S02,,23,6,16,8,3,,,,,,,,,,,,1,"Sethi, Awanti","Yadav, Saurabh V",,,,
BUAN,6359,SW1,,15,3,5,4,1,2,,,,,,4,,,,,2,"Ahadi, Khatereh",,,,,
BUAN,6368,001,,6,2,1,2,1,,,,,,,,,,,,0,"Koonjbearry, Rajin K","Nayak, Keertan Vinod",,,,
BUAN,6382,001,,12,10,11,8,7,,4,,,,,,,,,,2,"Singh, Harpreet","Joseph, Shailender",,,,
BUAN,6383,001,,13,9,4,2,2,3,2,,,,,,,,,1,2,"Menon, Syam","Zhang, Hong",,,,
BUAN,6383,002,,14,4,10,3,5,3,4,,,,,,,,,1,0,"Menon, Syam","Zhang, Hong",,,,
BUAN,6385,001,,8,3,5,,5,2,2,,,,,,,,,,2,"Shekhar, Gaurav","Khairari, Anshul",,,,
BUAN,6392,501,,19,15,2,4,3,,,,,,,,,,,,0,"Koju, Vijay","Jain, Ria V",,,,
BUAN,6398,002,,11,3,2,3,4,1,1,,,,,1,,,,,0,"Ramezani, Rasoul","Mehta, Madhur",,,,
BUAN,6398,003,,15,18,19,11,3,2,,,,,,1,,,,,0,"Wang, Yining","Shelke, Sourabh V",,,,
BUAN,6398,004,,25,3,6,7,6,3,5,,,,,,,,,,1,"Ramezani, Rasoul","Mehta, Madhur",,,,
BUAN,6398,0W1,,11,5,13,7,5,3,1,,,,,,,,,,0,"Sethi, Awanti","Sanagi Jagadeesh, Anushree",,,,
BUAN,6398,501,,25,8,12,15,3,,,,,,,,,,,1,1,"Wang, Yining","Shelke, Sourabh V",,,,
CE,1100,001,,30,7,4,2,1,2,1,1,,3,,2,,,,,0,"Florence, James M","Ahmed, Shaheen","Pawaskar, Vaibhav Uttam","Munia, Munawara Saiyara",,
CE,1100,002,10,14,,4,3,,,2,,,,,2,,,,,0,"Ahmed, Shaheen","Florence, James M","Munia, Munawara Saiyara",,,
CE,1100,0L1,,16,1,2,3,1,1,1,,,1,,2,,,,,1,"Florence, James M","Ahmed, Shaheen","Pawaskar, Vaibhav Uttam","Munia, Munawara Saiyara",,
CE,1202,001,6,2,1,4,1,6,5,4,,2,2,4,9,,,,,1,"Cogan, Diana L",,,,,
CE,2305,003,1,1,4,,3,,1,3,,,,,1,,,,,0,"Willson, James K",,,,,
CE,2305,004,2,3,3,,,1,1,1,,,,,,,,,,0,"Erbatur, Serdar",,,,,
CE,2305,5W1,6,2,2,,,1,,,,,,,1,,,,,0,"Farage, Timothy P",,,,,
CE,2310,001,2,13,7,5,4,3,1,,2,2,,1,4,,,,,0,"Cogan, Diana L","Gao, Tianning","Ghaderi, Mohammad Hasan","Chandra Shekar, Ram Charan M",,
CE,2310,501,,5,5,1,3,5,,,1,,2,,4,,,,,1,"Ahmed, Shaheen","Ghaderi, Mohammad Hasan","Gao, Tianning","Chandra Shekar, Ram Charan M",,
CE,2336,006,3,2,1,3,,1,,1,,,,,1,,,,,1,"Chida, Anjum",,,,,
CE,3161,051,4,11,6,2,3,,,,,,1,,,,,,,0,"Mezenner, Rabah",,,,,
CE,3161,091,1,9,7,8,5,1,,1,2,,,,,,,,,0,"Mezenner, Rabah",,,,,
CE,3201,001,2,16,1,,1,,,,,,1,,,,,,,0,"Nikoubin, Tooraj","Parchamdar, Baharealsadat","Datta, Rajesh K","Sankarraman, Sri Vignesh","Hossain Bhuiyan, Md Emran",
CE,3201,002,5,12,3,1,,1,,,,,1,,,,,,,0,"Nikoubin, Tooraj","Hossain Bhuiyan, Md Emran","Sankarraman, Sri Vignesh","Datta, Rajesh K","Parchamdar, Baharealsadat",
CE,3202,002,2,13,,2,10,,,2,,,1,,,,,,,2,"Overzet, Lawrence","Uddin, Mohammed Belal","Tayeb Naimi, Shideh",,,
CE,3202,003,,2,,2,1,1,1,2,,,,,1,,,,,1,"Kiasaleh, Kamran","Apalak, Merve","Alam, Lamia",,,
CE,3301,002,2,5,,,1,1,1,2,3,,2,2,1,,,,,0,"Fahimi, Babak","Fan, Zhixuan","Zhou, Peng",,,
CE,3303,001,3,4,5,5,4,4,5,9,9,,,,,,,,,1,"Sisman, Berrak","Ni, Aoxin",,,,
CE,3310,001,,,,1,2,1,2,5,4,2,,,1,,,,,0,"Pourkamali, Siavash","Hossain Bhuiyan, Md Emran",,,,
CE,3310,002,3,,2,2,,1,2,,3,1,,,,,,,,0,"Pourkamali, Siavash","Nikfarjam, Hamed",,,,
CE,3310,003,,4,,2,3,2,,1,,1,2,,,,,,,0,"Tinker, Mark T","Parvez, Mohammad Salman",,,,
CE,3311,002,,1,2,1,1,3,2,1,5,3,,,1,,,,,4,Kenneth,"Han, Weijie","Stark, Matthew N",,,
CE,3320,001,1,8,3,4,4,1,2,,1,,,,,,,,,1,"Basu, Kanad","Arunachalam, Ayush",,,,
CE,3320,003,3,3,1,2,,2,,,2,,,,,,,,,0,"Nikoubin, Tooraj",,,,,
CE,4201,001,,39,1,2,,,,,,,,,,,,,,0,"Tamil, Lakshman",,,,,
CE,4205,001,3,3,2,,1,,,1,,,,,1,,,,1,0,"Akin, Bilal","Sajadi, Abdolrahman","Farhadi, Masoud",,,
CE,4304,001,4,11,2,2,6,1,2,,1,,,,,,,,,0,"Makris, Georgios","Vasileiou, Christos",,,,
CE,4304,501,,6,1,3,1,,1,,2,,,,3,,,,,0,"Shamsi, Kaveh","Vasileiou, Christos",,,,
CE,4348,501,2,2,6,6,9,15,6,2,,,1,,,,,,,0,"Pathak, Jogen K",Jishnu J,"Dakshit, Sristi",,,
CE,4370,001,8,17,9,3,7,1,1,,2,,,,,,,,,0,"Swartz, William P","Arunachalam, Ayush","Lu, Chao",,,
CE,4388,001,1,8,8,2,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,
CE,4388,002,,8,7,2,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,
CE,4388,003,,6,2,,,,,1,,,,,,,,,1,0,"Skinner, Neal G",,,,,
CE,4389,002,,11,3,,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,
CE,6301,001,,13,24,,2,,,,,,,,,,,,,0,"Swartz, William P","Meng, Xingyu",,,,
CE,6302,001,,23,7,1,4,4,,1,,,,,,,,,,1,"Nikoubin, Tooraj","Gogineni, Susmitha",,,,
CE,6304,001,,2,3,9,10,4,,,,,,,,,,,,0,"Carrion Schaefer, Benjamin","Olee, Shakil Mahmud",,,,
CE,6304,501,,9,12,1,1,,,1,,,,,,,,,,0,"Pedram, Hossein",,,,,
CE,6310,001,,16,,,,,,,,,,,1,,,,,0,"Basu, Kanad","Meng, Xingyu",,,,
CE,6325,001,,5,1,5,11,12,3,,,,,,2,,,,,0,"Sechen, Carl","Salimath, Vibhav Kumarswami","Jain, Apurva","Luo, Ziyang",,
CE,6325,501,,,1,5,3,11,2,2,,,,,2,,,,,0,"Sechen, Carl","Salimath, Vibhav Kumarswami","Jain, Apurva","Luo, Ziyang",,
CGS,2301,001,10,14,14,7,3,13,4,4,3,,1,,11,,,,,12,"O'Toole, Alice J","Alghamdi, Saad A",,,,
CGS,3361,001,6,2,,1,2,,1,1,,,,,,,,,,1,"Roark, Dana A","Wong, Galston K",,,,
CGS,4352,0W1,16,2,2,1,,,,,,,,,1,,,,,0,"Orrick, Erika D",,,,,
CHEM,1111,101,12,7,2,4,,1,1,1,,1,,,,,,,,1,"Dissanayake, Dushanthi S","Dissanayake Mudiyanselage, Upeksha Chathurangi Dissanayak",,,,
CHEM,1111,102,5,3,7,4,2,2,1,1,,,1,,1,,,,,3,"Panapitiya, Nimanka P","Mefferd, Branston E","Amarasuriya, Hansani S",,,
CHEM,1111,103,8,9,1,1,2,2,1,1,,,,,4,,,,,1,"Cortes, Sergio J","Martil De La Garza, Mauricio G","Darwin, Cary",,,
CHEM,1111,104,6,7,8,3,1,2,,,,1,,,,,,,,2,"Cortes, Sergio J",,,,,
CHEM,1111,105,18,4,2,,1,1,,1,,,1,,,,,,,1,"Dissanayake, Dushanthi S","Dissanayake Mudiyanselage, Upeksha Chathurangi Dissanayak",,,,
CHEM,1111,106,8,7,,2,1,1,1,2,2,1,1,,2,,,,,2,"Qin, Yanping","Amarasuriya, Hansani S",,,,
CHEM,1111,107,9,8,4,2,3,1,,1,,,,1,1,,,,,0,"Huang, Yu","Martil De La Garza, Mauricio G",,,,
CHEM,1111,108,3,10,6,3,4,,,1,,,,1,2,,,,,0,"Huang, Yu","Darwin, Cary",,,,
CHEM,1111,109,12,9,2,1,,1,2,,2,,,,,,,,,1,"Panapitiya, Nimanka P","Borah, Kongkona","Mefferd, Branston E",,,
CHEM,1111,110,16,4,2,4,,1,1,,,,,,1,,,,,1,"Panapitiya, Nimanka P","Amarasuriya, Hansani S","Mefferd, Branston E","Borah, Kongkona",,
CHEM,1111,111,7,6,7,4,1,,2,,,1,,,1,,,,,1,"Sra, Amandeep K","Santo, Luca",,,,
CHEM,1111,112,12,8,2,2,1,2,,2,,,,,,,,,,1,"Sra, Amandeep K","Polara, Sarthi",,,,
CHEM,1111,113,13,6,3,1,2,2,,,,1,,,2,,,,,0,"Anka, Fadwa H","Becerra, Michelle T",,,,
CHEM,1111,114,14,9,,1,5,,,,,,,,1,,,,,0,"Anka, Fadwa H","Lalami, Ismail",,,,
CHEM,1111,115,6,9,6,1,3,1,,1,1,1,,,1,,,,,0,"Wijenayake, Sumudu N","Umer, Arslan","Panapitiya, Nimanka P",,,
CHEM,1111,118,17,5,2,1,,,,1,,3,,,1,,,,,0,"Dissanayake, Dushanthi S","Neal, Henry",,,,
CHEM,1111,119,6,5,3,3,4,1,1,,,,2,1,3,,,,,1,"Dissanayake, Dushanthi S","Tran, Tien M",,,,
CHEM,1111,120,17,7,2,2,,,,1,,,,,,,,,,1,"Panapitiya, Nimanka P","Kim, Gyeongseo",,,,
CHEM,1111,121,15,9,2,1,1,,,1,,,,,,,,,,0,"Wijenayake, Sumudu N","Qasimi, Nazer Hossain",,,,
CHEM,1111,122,10,9,2,2,3,1,2,,,,,,,,,,,1,"Qin, Yanping","Neal, Henry",,,,
CHEM,1111,123,18,6,1,1,,1,1,,,,,,2,,,,,0,"Huang, Yu","Tran, Tien M",,,,
CHEM,1111,124,16,7,4,,,,,,,,,,1,,,,,2,"Gavva, Sandhya R","Sunga, Sean Alec Lois B",,,,
CHEM,1111,125,14,4,4,2,1,1,,1,,,,,2,,,,,1,"Gavva, Sandhya R","Qasimi, Nazer Hossain",,,,
CHEM,1111,126,5,11,2,4,2,1,1,,1,,,1,,,,,,2,"Tran, Daniel N","Umer, Arslan",,,,
CHEM,1111,127,20,6,,2,1,,,,,,,,,,,,,1,"Anka, Fadwa H","Lalami, Ismail",,,,
CHEM,1111,128,17,3,2,2,2,2,,2,,,,,,,,,,0,"Anka, Fadwa H","Becerra, Michelle T",,,,
CHEM,1111,129,18,5,2,2,1,,,,,,1,,,,,,,1,"Anka, Fadwa H","Thanabalasingam, Kulatheepan",,,,
CHEM,1111,130,13,8,4,,3,,,,1,,,,,,,,,1,"Wijenayake, Sumudu N","Arora, Niyati",,,,
CHEM,1111,131,16,6,1,5,1,,,1,,,,,,,,,,0,"Gavva, Sandhya R","Thanabalasingam, Kulatheepan",,,,
CHEM,1111,132,12,8,2,3,,2,,,,1,,,2,,,,,0,"Wijenayake, Sumudu N","Kumari, Ekanayake Mudiyanselage Ishara G",,,,
CHEM,1111,133,10,13,2,1,,,1,1,,,,1,1,,,,,0,"Wijenayake, Sumudu N","Arora, Niyati",,,,
CHEM,1111,134,12,9,4,2,1,,,,,,,,1,,,,,0,"Qin, Yanping","Sepasi, Zahra",,,,
CHEM,1111,135,9,8,2,3,2,,1,2,,,2,,1,,,,,0,"Qin, Yanping","Heidari, Sahar",,,,
CHEM,1111,136,15,7,3,,2,,,1,,,,,2,,,,,0,"Wijenayake, Sumudu N","Latif, Zurwa",,,,
CHEM,1111,137,10,4,1,1,4,2,1,2,1,,,,2,,,,,1,"Wijenayake, Sumudu N","Sunga, Sean Alec Lois B",,,,
CHEM,1111,138,8,7,3,5,2,1,,1,1,,,,,,,,,2,"Dissanayake, Dushanthi S","Sepasi, Zahra",,,,
CHEM,1111,139,9,7,6,3,2,1,,1,,,1,,,,,,,0,"Dissanayake, Dushanthi S","Heidari, Sahar",,,,
CHEM,1111,602,7,4,3,5,3,,1,1,,1,,1,2,,,,,2,"Hashami, Zohreh","Mefferd, Branston E",,,,
CHEM,1111,603,7,5,1,,1,4,1,3,,1,1,,3,,,,,2,"Sisk, Joshua R","Santo, Luca",,,,
CHEM,1111,604,2,7,4,6,4,1,2,1,,,,,1,,,,,2,"Sisk, Joshua R","Polara, Sarthi",,,,
CHEM,1111,605,3,8,7,5,1,1,2,,,,,,3,,,,,0,"Sisk, Joshua R","Kumari, Ekanayake Mudiyanselage Ishara G",,,,
CHEM,1111,606,3,7,4,4,4,3,2,1,,,1,,,,,,,1,"Sisk, Joshua R","Chatterjee, Shubham",,,,
CHEM,1111,614,9,9,4,3,,,,2,,,,1,5,,,,,5,"Panapitiya, Nimanka P","Chatterjee, Shubham","Arche, Phillip Damien E",,,
CHEM,1111,615,5,6,2,,2,2,,1,,1,,,5,,,,,5,"Hashami, Zohreh","Borah, Kongkona",,,,
CHEM,1112,101,9,4,5,2,2,2,,,,,,,1,,,,,1,"Anka, Fadwa H","Johnson, Rebecca M",,,,
CHEM,1112,102,8,4,4,1,,1,2,,,,2,,2,,,,,5,"Huang, Yu","Johnson, Rebecca M",,,,
CHEM,1112,103,3,7,3,,,3,2,,2,,,,2,,,,,1,"Dissanayake, Dushanthi S","Yamada, Kyohei",,,,
CHEM,1112,104,10,5,,,,,2,,2,,1,,2,,,,,4,"Huang, Yu","Giri, Sachin",,,,
CHEM,1112,105,12,6,1,2,2,,,,2,,3,,,,,,,2,"Huang, Yu","Giri, Sachin",,,,
CHEM,1112,106,6,3,1,,,,1,2,,1,1,,2,,,,,1,"Hashami, Zohreh","Yamada, Kyohei",,,,
CHEM,1115,HN1,14,16,,,,,,,,,,,,,,,,0,"Sibert, John W",,,,,
CHEM,1311,001,10,11,4,5,3,4,3,6,7,1,7,1,7,,,,1,6,"Taylor, Stephanie M","Weil, Colin D",,,,
CHEM,1311,002,21,44,10,16,24,14,12,14,22,7,3,5,13,,,,2,11,"Taylor, Stephanie M","Weil, Colin D",,,,
CHEM,1311,003,17,17,15,12,16,24,7,12,14,3,10,5,16,,,,1,5,"Sibert, John W",,,,,
CHEM,1311,004,14,32,20,13,22,20,10,13,9,4,8,5,18,,,,,16,"Dieckmann, Gregg",,,,,
CHEM,1311,005,14,31,21,14,23,17,14,16,14,3,13,4,21,,,,1,13,"Dieckmann, Gregg",,,,,
CHEM,1311,006,5,14,5,4,8,10,8,4,6,4,8,2,10,,,,,13,"Abeykoon, Nimali C",,,,,
CHEM,1311,007,8,14,14,13,25,8,14,7,14,4,9,2,19,,,,,18,"Abeykoon, Nimali C",,,,,
CHEM,1311,008,34,32,22,12,17,17,12,13,16,4,5,9,21,,,,1,4,"Hashami, Zohreh",,,,,
CHEM,1312,001,11,9,8,9,12,11,13,18,17,10,8,3,53,,,,3,37,"Huang, Yu","Kumari, Sneha",,,,
CHEM,1315,HN1,6,10,5,2,5,,,2,,,,,,,,,,0,"Sibert, John W",,,,,
CHEM,2233,001,47,18,3,2,2,1,1,,,,,,2,,,,,4,"Cortes, Sergio J","Tran, Daniel N",,,,
CHEM,2233,002,62,11,2,1,1,,1,,,1,,,2,,,,,2,"Cortes, Sergio J","Tran, Daniel N",,,,
CHEM,2323,001,16,24,17,20,11,9,12,11,7,4,2,,9,,,,,2,"Thompson, Christina M",,,,,
CHEM,2323,002,29,47,16,17,11,6,7,1,4,1,,,,,,,1,3,"Wijenayake, Sumudu N",,,,,
CHEM,2323,004,31,48,16,18,4,4,2,6,4,3,1,,3,,,,,3,"Panapitiya, Nimanka P","Lumata, Jenica",,,,
CHEM,2323,005,11,11,,8,3,6,3,5,9,6,5,3,2,,,,,10,"Ahn, Jung-Mo","Mihranyan, Andranik",,,,
CHEM,2323,006,19,26,6,17,12,12,11,9,11,6,1,,11,,,,1,2,"Tran, Daniel N",,,,,
CHEM,2323,501,4,16,9,5,7,10,11,10,8,6,3,,8,,,,,6,"Dissanayake, Dushanthi S",,,,,
CHEM,2325,001,9,6,4,1,3,2,1,3,1,4,4,,7,,,,,4,"Novak, Bruce M",,,,,
CHEM,2325,002,22,21,4,12,6,6,4,7,4,6,4,,27,,,,2,11,"Novak, Bruce M",,,,,
CHEM,2327,HN1,3,12,3,1,,1,,,,,,,,,,,,0,"Stefan, Mihaela C","Popa, Marius S","Ge, Jing",,,
CHEM,2401,001,,3,,1,2,,1,,1,,2,,,,,,,0,"Sra, Amandeep K","Perera, Alahendra Arachchige Sachini .",,,,
CHEM,2401,002,1,6,4,5,1,,,,1,,,,,,,,,0,"Stelling, Allison","Pantano, Paul","Tian, Yafen",,,
CHEM,2401,004,1,1,1,1,4,,,1,1,,,,2,,,,,1,"Sra, Amandeep K","Peng, Hao-Che",,,,
CHEM,3321,001,9,8,3,8,5,6,8,4,3,3,6,,4,,,,,2,"Torabifard, Hedieh","Mills, Kira R",,,,
CHEM,3322,001,4,2,2,6,2,5,3,3,3,,2,2,8,,,,,0,"Nielsen, Steven","Tran, Ly T",,,,
CHEM,3341,001,2,6,5,2,4,5,2,3,1,2,2,1,4,,,,,4,"McClain, Rebecca","Martinez Garcia, Jonathan",,,,
CHEM,3361,001,3,5,3,1,2,1,2,1,,,,,,,,,,2,"Gavva, Sandhya R","Bonnand, Evan F","Montalvillo, Fernando",,,
CHEM,3361,002,5,1,3,,1,2,1,1,,,,,,,,,,0,"Jia, Lin","Boyd, Stefanie D",,,,
CHEM,3361,501,1,,3,,2,3,1,1,,,,,1,,,,,3,"Boyd, Stefanie D","Salaudeen, Ibrahim O",,,,
CHEM,3362,001,,1,1,1,1,,3,3,,,2,,1,,,,,0,"Candas, Mehmet","Rappazzo, Jacob M","Sunder Singh, Jacqulene Preethi","Soladogun, Adedamola S",,
CHEM,3471,001,2,2,,1,2,,,,1,,,1,,,,,1,1,"Ferraris, John","Gassensmith, Jeremiah J","Smaldone, Ronald A","Parsamian, Perouza","Koirala, Shailendra","Trashi, Ikeda"
CHEM,3471,002,,9,,1,1,,,,,,,,2,,,,,0,"Smaldone, Ronald A","Ferraris, John","Gassensmith, Jeremiah J","Parsamian, Perouza","Trashi, Ikeda","Koirala, Shailendra"
CHEM,3472,001,2,4,1,2,,,,1,,,,,4,,,,,1,"Hashami, Zohreh","Hasna Begam, Mohammed Nazar","Igie, Nosakhare F","Haque, Syed Fahad Bin","Odeyemi, Isaiah O",
CHEM,3472,002,,3,,1,1,2,,2,2,1,,1,,,,,,0,"Goux, Warren J","Hasna Begam, Mohammed Nazar","Igie, Nosakhare F","Odeyemi, Isaiah O","Haque, Syed Fahad Bin",
CHEM,3472,004,1,3,2,1,4,1,3,1,1,,1,,,,,,,1,"Qin, Yanping","Igie, Nosakhare F","Hasna Begam, Mohammed Nazar","Odeyemi, Isaiah O","Haque, Syed Fahad Bin",
CHEM,3472,005,3,2,,,,1,3,1,1,,,,,,,,,0,"Qin, Yanping","Igie, Nosakhare F","Haque, Syed Fahad Bin","Odeyemi, Isaiah O","Hasna Begam, Mohammed Nazar",
CHEM,5331,001,,5,2,3,,1,,1,,,,,,,,,,0,"Biewer, Michael C",,,,,
CHEM,5355,001,,3,5,5,,,,,,,,,,,,,,0,"Pantano, Paul",,,,,
CHEM,5361,001,,8,6,2,,,,,,,,,,,,,,0,"D'Arcy, Sheena",,,,,
CHEM,6100,001,,,,,,,,,,,,,1,101,,,,0,"Torabifard, Hedieh",,,,,
CHIN,1311,001,3,1,5,2,,,,1,,,,1,,,,,,0,"Ma, Ying",,,,,
CHIN,1311,002,2,2,1,4,1,,1,1,,,,,,,,,,0,"Ma, Ying",,,,,
CHIN,1312,001,2,2,,,1,3,,1,,,,,1,,,,,0,"Ye, Lijing",,,,,
CHIN,2311,001,9,5,,,,,2,,1,,,,,,,,,0,"Chen, Bei",,,,,
CHIN,3311,001,5,1,4,1,,,,,,,1,,,,,,,0,"Chen, Bei",,,,,
