Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
RHET,1302,025,6,7,2,,,,,2,1,,,,,0,,1,,,"Barber, Philip",,,,,
MIS,6346,001,,5,2,6,2,2,1,,,,,,,0,,,,,"Bradbury, Judd D","Kulkarni, Aniket S","Muntha, Sainath",,,
ECS,3390,012,,11,1,2,1,,,1,,1,,,1,1,,,,,"Glauser, Janece B",,,,,
SYSM,6302,SS1,,11,5,,2,,,,,,,,,1,,,,,"Spong, Mark W",,,,,
ATCM,4376,001,,4,13,,,,,1,,,,,,1,,,,,"Chandler, Adam W",,,,,
RHET,1302,0H6,,7,4,,4,1,,,,1,,,1,1,,,,,"Hamilton, Cristen",,,,,
ED,4352,001,,7,2,1,4,,,1,1,,,1,1,1,,,,,"McNulty, Angela B",,,,,
COMM,1311,0W7,8,4,2,3,,,,,1,,,,,0,,,,,"Gregory, Mona Y",,,,,
HMGT,4380,001,,5,5,2,3,,2,1,,,,,,1,,,,,"Berrett, Britt R","Kaplan, Marilyn R","Janakiraman, Sreenath",,,
RHET,1302,503,,11,6,1,,,,,,,,,1,0,,,,,"Johnson, Kevin W",,,,,
ECS,3390,011,,11,3,2,2,,,,1,,,,,0,,,,,"Mohsene, Laura L",,,,,
CS,6390,001,,4,3,2,5,5,,,,,,,,0,,,,,"Haas, Zygmunt J",,,,,
ARTS,3367,001,,8,,1,10,,,,,,,,,0,,,,,"Lacy, Mary E",,,,,
ED,4361,501,,13,4,,1,1,,,,,,,,0,,,,,"Pollock, Laurie L",,,,,
EE,3150,102,,2,5,3,2,3,1,1,,,,,2,0,,,,,"Ahmed, Shaheen","Apalak, Merve",,,,
ARTS,3340,001,4,15,,,,,,,,,,,,0,,,,,"Brown-Pearn, Spencer S",,,,,
ECS,3390,001,1,5,1,4,3,3,,,1,1,,,,0,,,,,"Moore, Lindsay E",,,,,
ATCM,4316,001,,19,,,,,,,,,,,,0,,,,,"Hall, Phillip",,,,,
ECS,3390,013,,12,,2,1,1,2,1,,,,,,0,,,,,"Glauser, Janece B",,,,,
RHET,1302,016,1,6,2,2,1,1,,,1,,1,,4,0,,,,,"Wright, Adam M",,,,,
EEPE,6357,001,,5,11,3,,,,,,,,,,0,,,,,"Gohil, Ghanshyamsinh","Gandluru, Veerabharathchandrareddy",,,,
SPAU,4393,001,,6,,2,4,1,5,1,,,,,,0,,,,,"Ulatowska, Hanna K",,,,,
RHET,1302,021,,5,7,7,,,,,,,,,,0,,,,,"Aljararwa, Rasha",,,,,
ECS,3390,5H6,,14,,,2,,,,,,1,1,1,0,,,,,"Scally, Deborah A",,,,,
MUSI,2315,002,14,1,1,,,,,,,,,,3,0,,,,,"Wilder, James E",,,,,
RHET,1302,015,1,9,4,3,1,,1,,,,,,,0,,,,,"Berry, Tracey R",,,,,
OB,6340,GW1,,4,3,5,7,,,,,,,,,0,,,,,"Solomon, Lawrence N",,,,,
RHET,1302,008,,5,4,3,,1,1,1,,,,,4,0,,,,,"Snyder, Sarah E",,,,,
CS,4141,108,12,4,,2,,,,,,,,,1,0,,,,,"Becker, Eric W","Adebiyi, Abdulmateen A","Shah, Trusit Sandipbhai",,,
MECH,6373,001,,3,5,6,3,1,,1,,,,,,0,,,,,"You, Seung M",,,,,
RHET,1302,028,9,4,1,,,1,1,,,,,,3,0,,,,,"Barber, Philip",,,,,
ECS,3390,502,,14,4,,1,,,,,,,,,0,,,,,"Coppersmith, Syd",,,,,
ARTS,3363,001,1,3,9,,1,1,,2,,,,,2,0,,,,,"Tady, Lorraine T",,,,,
MECH,6314,001,,9,9,1,,,,,,,,,,0,,,,,"Kapoor, Bhanu",,,,,
CS,4141,102,12,7,,,,,,,,,,,,0,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,
RHET,1302,034,1,6,3,1,2,2,1,,,,,,3,0,,,,,"Lyons, David L",,,,,
ECS,3390,5H3,,11,2,,4,,,1,,,,,1,0,,,,,"Scally, Deborah A",,,,,
EE,3150,101,2,,1,3,4,1,5,,,1,1,1,,0,,,,,"Ahmed, Shaheen","Apalak, Merve",,,,
BMEN,6342,001,,19,,,,,,,,,,,,0,,,,,"Rodrigues, Danieli B",,,,,
ECS,3390,002,2,5,,4,2,3,1,1,,,1,,,0,,,,,"Moore, Lindsay E",,,,,
ECS,3390,HN1,1,14,3,1,,,,,,,,,,0,,,,,"Ryan, Christopher J",,,,,
MUSI,2317,002,1,15,,1,1,,,,,,,,1,0,,,,,"Medrick, Mary A",,,,,
ECS,3390,5H7,,5,6,2,2,,1,,1,1,,,1,0,,,,,"Coleman, Amanda R",,,,,
CS,4141,601,16,3,,,,,,,,,,,,0,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,
RHET,1302,036,,,3,,2,1,3,,1,1,1,,7,0,,,,,"Jimenez, Jose",,,,,
CRIM,4323,0H1,,16,,,1,,,1,,,,,1,0,,,,,"Wheeler, Andrew",,,,,
ECS,3390,004,3,8,2,5,,,,,,,,,1,0,,,,,"Moore, Lindsay E",,,,,
BIOL,6351,001,,5,1,2,10,,,1,,,,,,0,,,,,"Burr, John G",,,,,
ARTS,3372,501,,5,10,1,1,,,,,,,,2,0,,,,,"Loving, Emily",,,,,
ECS,3390,0H1,1,8,3,2,1,1,1,2,,,,,,0,,,,,"Schlobohm, Maribeth L",,,,,
MECH,6300,002,,3,9,1,1,3,,,,,,,2,0,,,,,"Moheimani, Seyed Omid Reza","Bing, Mallory A",,,,
RHET,1302,005,5,5,2,1,1,,,2,,,,2,1,0,,,,,"Saeidfar, Ghazal",,,,,
ARTS,1316,001,9,8,1,,1,,,,,,,,,0,,,,,"Min, Inki A",,,,,
ECS,3390,006,,3,9,1,5,1,,,,,,,,0,,,,,"Ryan, Christopher J",,,,,
MUSI,2315,501,,12,4,2,,1,,,,,,,,0,,,,,"Hodan, Daniel M",,,,,
ENTP,6352,GW1,,12,7,,,,,,,,,,,0,,,,,"Ghosh, Jay K",,,,,
ECS,3390,504,4,7,4,,2,,,,,,1,,1,0,,,,,"Nichols, Allene R",,,,,
RHET,1302,011,,12,1,3,1,,1,,,,,,1,0,,,,,"Snyder, Sarah E",,,,,
RHET,1302,035,3,11,2,1,,,,,,,,,2,0,,,,,"Sengupta, Karl",,,,,
BMEN,3130,103,,7,6,4,2,,,,,,,,,0,,,,,"Shihabeddin, Tarik","Atmaramani, Rahul",,,,
RHET,1302,014,4,2,2,4,3,1,,,,,,1,2,0,,,,,"Wright, Adam M",,,,,
ED,3382,501,3,6,6,3,,,,,,,,,1,0,,,,,"Schlosser, Polly",,,,,
ECS,3390,0H6,,9,5,3,,,1,1,,,,,,0,,,,,"Hernandez-Katz, Melissa M",,,,,
ARTS,1316,003,6,4,2,2,,3,,,1,,,,1,0,,,,,"Booker, Rebecca M",,,,,
ARTS,1316,004,,6,8,3,2,,,,,,,,,0,,,,,"Mazurek, Michael R",,,,,
ATCM,4319,003,5,3,3,2,1,1,1,,,,2,1,,0,,,,,"Camacho, Christopher J",,,,,
BMEN,6V87,002,,19,,,,,,,,,,,,0,,,,,"Porter, Benjamin A",,,,,
IMS,6V93,0S1,,19,,,,,,,,,,,,0,,,,,"Hefley, William E",,,,,
ECS,3390,5H1,,3,3,1,5,2,1,2,1,,,,1,0,,,,,"Libby, Lee L",,,,,
BIOL,3320,001,6,1,2,2,3,4,,,,1,,,,0,,,,,"Hajeri, Vinita","Gallardo, Johnny","Dozier, Preston D",,,
ECS,3390,015,,13,3,1,,1,,,,,,,1,0,,,,,"Glauser, Janece B",,,,,
ECS,3390,007,,6,6,4,,2,,,,,,,1,0,,,,,"Moore, Lindsay E",,,,,
ECS,3390,505,,7,3,2,1,1,2,2,,,,1,,0,,,,,"Nichols, Allene R",,,,,
ECS,3390,010,,11,4,3,,1,,,,,,,,0,,,,,"Mohsene, Laura L",,,,,
RHET,1302,022,,10,6,1,,,,,,,,,2,0,,,,,"Aljararwa, Rasha",,,,,
MUSI,2315,001,1,9,5,,,2,,,2,,,,,0,,,,,"Hodan, Daniel M",,,,,
ECS,3390,008,,3,5,4,1,3,1,2,,,,,,0,,,,,"Crowder, Wade A",,,,,
PHYS,5313,001,,9,6,4,,,,,,,,,,0,,,,,"Zhang, Fan","Cheung, Patrick K",,,,
EE,3101,101,,3,7,1,4,2,1,,,,,1,,0,,,,,"Gu, Qing","Li, Xi",,,,
OPRE,6359,501,,7,5,5,2,,,,,,,,,0,,,,,"Brussolo, Monica E","Qu, Zihao",,,,
ECS,3390,0H8,,11,4,2,,,,1,1,,,,,0,,,,,"Hernandez-Katz, Melissa M",,,,,
ARTS,3341,001,,16,,,3,,,,,,,,,0,,,,,"Shi, Carle",,,,,
OPRE,6250,GW1,,3,8,4,3,,,1,,,,,,0,,,,,"Hassanzadeh, Nozar",,,,,
ATCM,3369,001,,17,,,,,,1,,,1,,,0,,,,,"Andreen, Michael T",,,,,
RHET,1302,006,2,6,1,2,3,1,,1,1,,1,,1,0,,,,,"Johnson, Ryan L",,,,,
RHET,1302,026,1,6,2,1,3,1,2,1,1,,,1,,0,,,,,"Bovda, Alisa Y",,,,,
BLAW,4310,HON,,11,1,1,3,1,2,,,,,,,0,,,,,"Polze, Matthew M",,,,,
RHET,1302,009,1,6,3,1,3,2,,1,2,,,,,0,,,,,"Johnson, Ryan L",,,,,
ECS,3390,503,,15,3,,1,,,,,,,,,0,,,,,"Coppersmith, Syd",,,,,
MATH,1306,002,2,2,5,,2,1,3,2,1,1,,,,0,,,,,"Sutton, Julie",,,,,
ECS,3390,501,,7,5,2,1,1,,,1,1,,,1,0,,,,,"Mohsene, Laura L",,,,,
ARTS,3367,501,13,5,1,,,,,,,,,,,0,,,,,"Miranda, Jeffrey",,,,,
COMD,7172,001,,,,,,,,,,,,,,0,,,,20,"Lougeay, Janice",,,,,
MATH,2414,328,,,,,,,,,,,,,,0,,,,,"Anderson, Bill",,,,,
MATH,2414,317,,,,,,,,,,,,,,0,,,,,"Sauter, Alan D","Sapkota, Nirjal",,,,
MATH,2414,311,,,,,,,,,,,,,,0,,,,,"Garrett, Bentley T",,,,,
MATH,2414,312,,,,,,,,,,,,,,0,,,,,"Garrett, Bentley T",,,,,
MATH,2420,310,,,,,,,,,,,,,,0,,,,,"Rachinskiy, Dmitry",,,,,
MATH,2414,327,,,,,,,,,,,,,,0,,,,,"Anderson, Bill",,,,,
MATH,2414,307,,,,,,,,,,,,,,0,,,,,"Duruoha, Adannah",,,,,
MATH,2414,301,,,,,,,,,,,,,,0,,,,,"Lewis, David L","Alfaro, Jose F",,,,
MATH,2414,318,,,,,,,,,,,,,,0,,,,,"Nguyen, Mylinh T",,,,,
MATH,2414,321,,,,,,,,,,,,,,0,,,,,"Nguyen, Mylinh T",,,,,
MATH,2414,308,,,,,,,,,,,,,,0,,,,,"Duruoha, Adannah",,,,,
MATH,2414,323,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,
MATH,2419,301,,,,,,,,,,,,,,0,,,,,"Miller, James W",,,,,
BIOL,3V84,PAC,,,,,,,,,,,,,,0,20,,,,"Gonzalez, Cristina M",,,,,
MATH,2414,304,,,,,,,,,,,,,,0,,,,,"Lewis, David L","Caseria, Brendan J",,,,
MATH,2414,303,,,,,,,,,,,,,,0,,,,,"Lewis, David L","Ruberu, Thanthirige Lakshika M",,,,
MATH,2414,302,,,,,,,,,,,,,,0,,,,,"Lewis, David L","Annan, Augustine",,,,
CE,4370,302,,,,,,,,,,,,,,0,,,,,"Carrion Schaefer, Benjamin",,,,,
MATH,2414,324,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,
PSCI,4V66,501,5,10,,,1,,,,,,,,,1,,,,,"Seagroves, Tony A",,,,,
MATH,1316,001,1,3,,2,,1,,1,4,,,1,5,1,,1,,,"Sutton, Julie",,,,,
NSC,4367,001,3,,,1,1,3,4,3,,,,,3,1,,1,,,"Miller, Van S",,,,,
CHEM,2401,002,1,5,4,2,3,1,1,1,,,,,,2,,,,,"Pantano, Paul","Remy, Ashele K",,,,
IPEC,4309,001,10,2,3,3,1,,,,,,,,,1,,,,,"Bray, Timothy M",,,,,
SPAU,4342,001,1,9,4,,3,,,1,,,1,,,1,,,,,"Kaplan, Karen",,,,,
CHEM,2401,004,3,3,1,2,5,2,2,1,,,,,,0,,1,,,"Pantano, Paul","Perera, Alahendra Arachchige Sachini .",,,,
THEA,1351,501,1,16,2,,,,,,,,,,,1,,,,,"Hennigan, Edward B",,,,,
ATCM,4397,002,,16,,,3,,,,,,,,,0,,,,,"Salter, Monika",,,,,
CS,4141,602,12,4,3,,,,,,,,,,,1,,,,,"Becker, Eric W","Adebiyi, Abdulmateen A","Shah, Trusit Sandipbhai",,,
MECH,3115,102,12,1,2,3,,1,,,,,,,,1,,,,,"Ouyang, Hui","LeClear, Johnathon D",,,,
HIST,2341,001,,1,3,2,3,1,3,2,2,1,,1,,1,,,,,"Farmer, J Michael","Dunham, Daniel C",,,,
CS,4141,105,14,2,2,2,,,,,,,,,,0,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,
REAL,3305,003,,6,,,4,2,,3,2,,2,,1,0,,,,,"Guttery, Randall",,,,,
BMEN,7342,001,,8,8,2,,,,1,,,,,1,0,,,,,"Case, Allison B",,,,,
CHEM,2401,001,1,2,7,2,2,2,,2,,,,1,1,0,,,,,"Dissanayake, Dushanthi S","Tian, Yafen",,,,
COMM,1311,0W9,9,8,1,1,1,,,,,,,,,0,,,,,"Vazzi, Lisa",,,,,
CHEM,2401,003,,3,3,4,1,2,1,2,,,1,,3,0,,,,,"Sra, Amandeep K","Karunaweera, Chamaal",,,,
CS,4141,101,18,2,,,,,,,,,,,,0,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,
CE,4337,501,6,4,5,3,,,1,1,,,,,,0,,,,,"McMahan, Timothy","Desai, Takshak",,,,
ATCM,4397,005,3,4,1,3,4,3,,1,,,,,1,0,,,,,"Lewis, Timothy M",,,,,
ITSS,4330,501,,1,2,3,7,4,1,2,,,,,,0,,,,,"Islam, Naser","Srivastava, Smriti",,,,
EE,3150,104,6,3,2,1,3,3,,,1,1,,,,0,,,,,"Ahmed, Shaheen","Taherkhani, Nima",,,,
CS,6301,011,,13,4,2,1,,,,,,,,,0,,,,,"Wei, Shiyi",,,,,
OB,6332,001,,14,,1,5,,,,,,,,,0,,,,,"Ziegler, Laurie","Wijewardana, Galuge Hansani M",,,,
EE,3111,102,7,10,2,,,,,,,,1,,,0,,,,,"Lee, Hoi","Liang, Jingchen",,,,
COMM,1311,5W7,4,7,2,5,2,,,,,,,,,0,,,,,"Templeton, Allison A",,,,,
AMS,2300,HN1,,6,2,4,2,4,,1,,,,,1,0,,,,,"Smith, Erin",,,,,
MECH,3115,105,11,9,,,,,,,,,,,,0,,,,,"Ouyang, Hui","LeClear, Sani","Nikfarjam, Hamed",,,
IMS,4373,501,,2,8,3,3,3,1,,,,,,,0,,,,,"Lee, Seunghyun","Lee, Minjung",,,,
CS,4141,104,16,,,,2,,1,,1,,,,,0,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,
ATCM,4330,001,,,5,6,6,2,,1,,,,,,0,,,,,"Cooley, Heidi",,,,,
ATCM,4305,001,,20,,,,,,,,,,,,0,,,,,"Hall, Phillip",,,,,
CS,6360,MS1,,13,4,1,,,,1,,,,,1,0,,,,,"Raghavachari, Balaji",,,,,
ENGR,2300,HON,3,2,,6,4,,1,1,1,,1,,1,0,,,,,"Busso Recabarren, Carlos A","Huliyar Sridhara Murthy, Kusha Sridhar",,,,
EE,3150,103,1,5,3,2,3,1,,,2,,2,,1,0,,,,,"Ahmed, Shaheen","Taherkhani, Nima",,,,
OPRE,4320,001,,1,3,3,5,2,2,3,1,,,,,0,,,,,"Subramoniam, Ramesh","Musale, Vaibhav Vijay",,,,
ACCT,6384,SH1,,9,6,4,1,,,,,,,,,0,,,,,"Kromer, Jeffrey",,,,,
BUAN,6357,003,,6,6,4,3,1,,,,,,,,0,,,,,"Chatterjee, Sourav","Mittal, Piyush",,,,
CS,4141,103,19,,,,,,,,,,,,1,0,,,,,"Becker, Eric W","Adebiyi, Abdulmateen A","Shah, Trusit Sandipbhai",,,
MECH,3115,101,8,12,,,,,,,,,,,,0,,,,,"Ouyang, Hui","LeClear, Johnathon D","Nikfarjam, Hamed",,,
MECH,3115,106,9,7,3,1,,,,,,,,,,0,,,,,"Ouyang, Hui","LeClear, Johnathon D",,,,
CS,4141,HON,18,2,,,,,,,,,,,,0,,,,,"Page, Ivor","Adebiyi, Abdulmateen A",,,,
OPRE,6370,501,,15,3,1,,1,,,,,,,,0,,,,,"Sabri, Ehap H","Khandelwal, Kumar Manglam",,,,
THEA,2350,001,17,1,1,1,,,,,,,,,,0,,,,,"Sanders, Christine",,,,,
PHYS,2126,601,4,8,2,2,1,2,,,,,,,1,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Kakani, Vivek M",,,
MECH,3115,103,14,2,4,,,,,,,,,,,0,,,,,"Ouyang, Hui","LeClear, Sani",,,,
JAPN,1312,002,3,5,10,2,,,,,,,,,,0,,,,,"Allred, Michael K",,,,,
CS,4141,106,17,1,,,,,1,1,,,,,,0,,,,,"Becker, Eric W","Adebiyi, Abdulmateen A","Shah, Trusit Sandipbhai",,,
BMEN,6373,001,,12,3,3,2,,,,,,,,,0,,,,,"Case, Allison B","Hays, Seth A",,,,
MECH,3115,104,13,1,2,3,1,,,,,,,,,0,,,,,"Ouyang, Hui","LeClear, Sani",,,,
MIS,6319,0W1,,9,,,11,,,,,,,,,0,,,,,"Thompson, Luell O",,,,,
CLDP,3310,501,,10,2,6,2,,,,,,,,,0,,,,,"Bonner, Deborah L","Fowler, Mariah L",,,,
SE,6362,MS1,,6,3,2,3,1,2,1,,,,,2,0,,,,,"Paulk, Mark C",,,,,
FIN,3380,002,1,2,6,2,4,,3,1,,,,,1,0,,,,,"Gurun, Ayfer",,,,,
SYSM,6311,SS1,,18,1,1,,,,,,,,,,0,,,,,"Szot, James",,,,,
BIOL,6V02,001,,,,,,,,,,,,,,0,,,,21,"Kim, Jung-Whan",,,,,
CE,1202,305,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Mohamed, Ahmed M",
EE,1202,301,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Chen, Pengyuan",
BUAN,6V99,001,,10,1,5,1,,,,,,,,,0,,,,,"Khan, Ziaullah","Sandilya, Nimish K",,,,
BIS,3320,004,,4,,3,2,1,2,1,2,,1,,1,4,,,,,"Pogue, Neall W",,,,,
CS,6374,001,,11,4,2,,,1,,,,,,1,1,,1,,,"Gupta, Gopal","Salazar, Elmer E",,,,
CS,6366,001,,12,3,2,,1,,,,,,,1,2,,,,,"Guo, Xiaohu","Wang, Yeqi",,,,
CS,4384,HON,8,3,2,2,1,3,,,,,1,,,1,,,,,"Pervin, William J",,,,,
HIST,3324,001,,6,5,7,1,1,,,,,,,,1,,,,,"Wilson, Michael",,,,,
ED,4353,001,7,5,3,2,,1,,,2,,,,,0,,1,,,"Ahmed, Emelia",,,,,
PSY,3393,502,,16,2,,,,,1,1,,,,,0,,1,,,"Tillman, Gail D","Mizener, Brendon J",,,,
SOC,4385,HN1,5,14,1,,,,,,,,,,,1,,,,,"Kim, Dohyeong",,,,,
COMM,1311,0W5,4,4,1,4,2,1,,1,1,1,,1,,1,,,,,"Honea, Emily",,,,,
PHYS,2125,609,7,6,1,2,3,,,,,,,,1,1,,,,,"Sun, Kuei","Rady, Nader",,,,
BIOL,3380,308,,,2,2,1,2,3,4,3,,1,1,1,1,,,,,"Pan, Jing","Groover, Isaac A",,,,
ED,4357,002,,11,6,1,1,,,,,,,,1,1,,,,,"Leek, Patricia A",,,,,
MIS,6346,502,,3,2,4,4,5,1,1,,,,,,1,,,,,"Smashnov, Uri","Tripathi, Aarohi",,,,
COMM,1311,0W6,2,3,3,2,2,4,1,,,,,,3,1,,,,,"Honea, Emily",,,,,
PSCI,4396,HN1,5,14,2,,,,,,,,,,,0,,,,,"Roetzel, Natalie J",,,,,
BPS,6310,501,,15,1,1,3,,,1,,,,,,0,,,,,"Carraher, Shawn M",,,,,
ATCM,4337,001,3,6,8,1,,,1,1,,,,,1,0,,,,,"Nazir, Cassini",,,,,
BIOL,3380,301,2,6,5,3,,1,1,1,1,,1,,,0,,,,,"Pan, Jing","Groover, Isaac A",,,,
IMS,6351,GS1,,18,3,,,,,,,,,,,0,,,,,"Foster Brady, Pamela",,,,,
FIN,3305,001,5,2,,4,4,,2,1,1,2,,,,0,,,,,"DeCourcy, George A",,,,,
BUAN,6356,002,,11,5,3,1,1,,,,,,,,0,,,,,"Parker, Jason A","Mathur, Nitish",,,,
PA,3378,001,1,9,1,4,4,2,,,,,,,,0,,,,,"Gorina, Evgenia","Rabbi, Md. Fazle",,,,
MECH,4381,001,,6,5,2,4,3,,1,,,,,,0,,,,,"Hart, Robert A","Gravell, Jamie D","Koeln, Justin P",,,
SMED,5302,501,,20,1,,,,,,,,,,,0,,,,,"Hennessy, Emily T",,,,,
FIN,6310,501,,7,6,6,1,,,,,,,,1,0,,,,,"Khanapure, Revansiddha B","Hong, Yuan",,,,
PA,6320,501,,20,1,,,,,,,,,,,0,,,,,"McCaskill, John R",,,,,
HIST,4376,001,,6,10,1,1,1,1,1,,,,,,0,,,,,"Admiral, Rosemary",,,,,
EECT,6325,001,,5,7,6,3,,,,,,,,,0,,,,,"Friedman, Joseph S","Hu, Xuan",,,,
MIS,6383,501,,9,10,1,,1,,,,,,,,0,,,,,"Narayan, Ravishankar L","Banda, Sanjana",,,,
ATCM,3330,002,,2,1,5,5,2,3,1,1,,1,,,0,,,,,"Nielsen, Christina R",,,,,
BIOL,3380,302,1,2,4,2,2,3,2,2,2,1,,,,0,,,,,"Rippel, Scott A","Tiruchendurai Suryan, Saai Anugraha",,,,
GISC,4326,001,2,2,5,1,2,,2,3,1,1,1,1,,0,,,,,"Chun, Yongwan","Yu, Xiaohe",,,,
ED,4351,001,9,7,4,,,,,,,,1,,,0,,,,,"Davis, Renee",,,,,
BUAN,6356,502,,12,3,4,2,,,,,,,,,0,,,,,"Ge, Ling","Panthagani, Phanindra",,,,
COMM,1311,5W5,7,7,2,,2,1,,,1,,,,1,0,,,,,"Gregory, Mona Y",,,,,
CS,6322,001,,18,2,,1,,,,,,,,,0,,,,,"Harabagiu, Sanda M","Maldonado, Ramon Manuel Martinez",,,,
COMM,1311,5W4,2,5,1,2,1,3,1,1,,1,,,4,0,,,,,"Baynham, Karen M",,,,,
MKT,6337,003,,5,4,9,3,,,,,,,,,0,,,,,"Murthi, B P","Kamatham, Sriharsha",,,,
IMS,3100,001,2,7,5,3,1,,2,,1,,,,,0,,,,,"Sluder, Jeanne",,,,,
EE,3301,001,,7,,,4,1,2,3,,,1,,3,0,,,,,"Helms, Robert","Palit, Prithviraj",,,,
MAS,6102,SS1,,,,,,,,,,,,,,0,,,,22,"Powell, Monica S",,,,,
MATH,2418,398,,,,,,,,,,,,,,0,,,,,"Arnold, Maxim",,,,,
MIS,6326,0W1,,7,4,4,5,,,,,,,,,2,,,,,"Ryu, Young","Kumar, Jitendra",,,,
LIT,3323,501,,10,,,7,,,1,,,2,,,2,,,,,"Walsh, Dennis P",,,,,
MATH,2418,HN1,4,3,4,1,4,1,,,1,,,,2,2,,,,,"Arnold, Maxim","Kravetc, Pavel",,,,
EPPS,6316,501,,8,4,3,5,1,,,,,,,,0,,1,,,"D'Orazio, Vito","Kingsolver, Austin W",,,,
NATS,3341,001,5,8,4,,1,1,,,,,,,2,1,,,,,"Dingrando, Laurel P","Martin, Jody",,,,
COMM,1311,0W3,1,14,2,1,1,2,,,,,,,,1,,,,,"Templeton, Allison A",,,,,
BIOL,2281,308,9,5,2,2,3,,,,,,,,,1,,,,,"Hill, Brenna R","Buyukkahraman, Gozde",,,,
BIOL,3380,307,,2,6,3,3,2,1,,,,1,1,2,1,,,,,"Rippel, Scott A","Hulyalkar, Neha V",,,,
STAT,5352,001,,11,4,,3,3,,,,,,,,1,,,,,"Shin, Sunyoung",,,,,
CLDP,4308,001,,10,,,7,,,3,,,,,1,1,,,,,"Touchstone, Emily W","Boone, Melissa N",,,,
PSY,3393,002,1,3,8,1,4,4,,,,,,,,1,,,,,"Park, Jiyoung","Himes, Lyndahl M",,,,
BIOL,2281,301,2,2,5,2,4,2,,2,1,,,1,,1,,,,,"Pickett, Elizabeth A","Easterwood, Shayne",,,,
ED,4359,0W1,2,7,5,1,2,,1,,,1,,,2,1,,,,,"Root, Alexey",,,,,
CLDP,3310,001,,8,6,1,4,,1,1,,,,,,1,,,,,"Nelson Taylor, Jackie A","Villarreal, Deyaun L",,,,
CRWT,3330,001,,3,7,2,2,4,2,,1,,,,,1,,,,,"Vincent, Shelby D",,,,,
MATH,6311,001,,18,2,1,,,,,,,,,,1,,,,,"Williams, Nathan",,,,,
COMD,7V56,001,,22,,,,,,,,,,,,0,,,,,"Rojas-Villarreal, Raul",,,,,
BIOL,2281,306,2,4,6,3,3,,1,,3,,,,,0,,,,,"Lin, Wen J","Gadhvi, Jashkaran G",,,,
DANC,2332,001,8,5,2,,2,1,,,1,1,,,2,0,,,,,"Matzke, Sarah",,,,,
FILM,3342,501,,3,1,2,5,2,4,2,2,,,,1,0,,,,,"Petty, John E",,,,,
CE,4389,003,,12,2,8,,,,,,,,,,0,,,,,"Tacca, Marco",,,,,
ACN,6342,0W1,,13,5,1,1,,1,,,,,,1,0,,,,,"Orrick, Erika D",,,,,
COMM,1311,0W1,5,5,4,,2,1,3,,,1,,,1,0,,,,,"Baynham, Karen M",,,,,
FIN,6335,501,,20,2,,,,,,,,,,,0,,,,,"Sibley, Daniel C",,,,,
MECO,6303,PS1,,4,1,1,10,3,,3,,,,,,0,,,,,"Lewin, Peter","Ogunjobi, Olufunke A",,,,
BIOL,3380,303,,1,12,2,2,2,,,1,,1,,1,0,,,,,"Rippel, Scott A","Tiruchendurai Suryan, Saai Anugraha",,,,
ACN,7343,001,,14,,2,5,,,,,,,,1,0,,,,,"Thompson, Lucien",,,,,
BIOL,3380,306,1,3,8,2,4,3,,,,,,,1,0,,,,,"Bian, Fang","Thomas-Jardin, Shayna E",,,,
HMGT,6340,501,,14,5,2,1,,,,,,,,,0,,,,,"Berrett, Britt R","Janakiraman, Sreenath",,,,
BIOL,3380,305,2,2,6,4,1,1,4,1,1,,,,,0,,,,,"Pan, Jing","Thomas-Jardin, Shayna E",,,,
ATCM,3337,501,1,6,7,7,,,,,,,,,1,0,,,,,"Nazir, Cassini",,,,,
ACCT,6382,501,,10,7,4,1,,,,,,,,,0,,,,,"Mauriello, Joseph A","Braughton, Caleb M","Wong, Angie M",,,
ED,3314,501,6,3,2,2,7,,,1,1,,,,,0,,,,,"Fagg, Sharon",,,,,
BIOL,2281,302,4,5,5,1,2,2,,1,2,,,,,0,,,,,"Pickett, Elizabeth A","Moore, Dalton E",,,,
ISIS,3312,001,,3,,,10,2,1,2,,,3,,1,0,,,,,"Wissinger, Tonja",,,,,
COMM,1311,5W2,1,5,2,3,4,3,1,,2,,,,1,0,,,,,"Templeton, Allison A",,,,,
BIOL,3380,304,2,3,6,3,2,2,,1,,1,,,2,0,,,,,"Pan, Jing","Hulyalkar, Neha V",,,,
