Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BMEN,6373,001,,5,5,1,,,,1,,,,,,,,,1,"Bian, Fang",,,,,
BMEN,6374,001,,2,1,2,4,,,,,,,,,,,,3,"Levene, Stephen",,,,,
BMEN,6378,001,,9,3,,1,,,,,,,,,,,,0,"Hayenga, Heather N",,,,,
BMEN,6394,001,,2,1,1,2,1,,,,,,,2,,,2,0,"Winter, Patrick M",,,,,
BMEN,6395,001,,8,,,1,,,,,,,,,,,,1,"Hays, Seth A",,,,,
BMEN,7188,001,,15,4,,1,,,1,,,,,,,,1,0,"Prasad, Shalini","Willis, Betsy",,,,
BMEN,7340,001,,9,1,3,3,1,,1,,,,,,,,,2,"Bian, Fang",,,,,
BMEN,8188,001,,5,7,5,1,,,,,,,,,,,,0,"Prasad, Shalini","Willis, Betsy",,,,
BPS,4305,001,1,3,3,1,5,2,2,3,3,1,1,,1,2,,,1,"Chasteen, Larry H","Balaji, Pavithra",,,,
BPS,4305,002,,5,1,,7,3,1,3,2,1,,,,,,,0,"Chasteen, Larry H","Balaji, Pavithra",,,,
BPS,4305,004,31,7,6,2,1,2,,1,1,,,1,2,3,,,1,"Carraher, Shawn M",,,,,
BPS,4305,005,32,9,2,2,1,2,,1,,,2,1,1,1,1,,2,"Carraher, Shawn M",,,,,
BPS,4305,006,5,9,11,6,2,7,1,1,2,,,,,1,,,0,"Kim, Dong Shin",,,,,
BPS,4305,007,4,12,13,4,2,2,1,,,,,,,1,,,0,"Xia, Jun","Shen, Jia",,,,
BPS,4305,0W1,1,3,3,6,8,4,4,3,1,1,,,1,,,,1,"Chasteen, Larry H","Balaji, Pavithra",,,,
BPS,4395,001,,13,6,,,,,,,,,,,,,,0,"Henderson, Tom",,,,,
BPS,6254,XS1,,10,1,6,9,,,,,,,,,,,7,0,"Strickland, Warren",,,,,
BPS,6256,XS1,,4,13,4,4,3,,,,,,,,,,5,0,"Solomon, Lawrence N",,,,,
BPS,6310,0W1,,22,9,9,8,,1,,,,,,1,,,4,1,"Chasteen, Larry H","Balaji, Pavithra",,,,
BPS,6310,MBC,,24,,,12,,,,,,,,1,,,12,0,"Dess, Gregory","Liu, Yu",,,,
BPS,6310,PS1,,8,3,6,6,1,1,,,,,,,,,2,0,"Chasteen, Larry H",,,,,
BPS,6310,XS1,,13,4,,11,,,,,,,,,,,5,0,"Peng, Mike","Kathuria, Nishant",,,,
BUAN,6312,001,,7,5,7,7,2,1,,,,,,1,,,9,1,"Blueshtein, Moran","Hamzeh, Alireza",,,,
BUAN,6312,002,,27,10,8,2,,,,,,,,,,,13,0,"Zentner, Alejandro","Zhao, Yabo",,,,
BUAN,6312,003,,3,2,3,1,,1,,,,,,,,,10,0,"Blueshtein, Moran","Hamzeh, Alireza",,,,
BUAN,6312,0W1,,3,3,4,,,,,,,,,1,,,1,0,"Blueshtein, Moran","Hamzeh, Alireza",,,,
BUAN,6312,501,,32,15,3,2,,,,,,,,,,,3,0,"Zentner, Alejandro","Zhao, Yabo",,,,
BUAN,6320,001,,46,5,3,3,,,,,,,,,,,2,1,"Narayan, Ravishankar L","Kapoor, Ishita",,,,
BUAN,6320,003,,7,5,5,1,,,,,,,,,,,6,0,"Cavusoglu, Huseyin","Jethwani, Pallavi",,,,
BUAN,6320,0W2,,22,7,6,8,,,,,,,,1,,,6,0,"Ryu, Young","Jain, Shinny",,,,
BUAN,6320,501,,30,3,3,,,,,,,,,,,,,0,"Narayan, Ravishankar L","Kapoor, Ishita",,,,
BUAN,6320,SW1,,30,7,3,,,,,,,,,,,,,3,"Narayan, Ravishankar L","Kapoor, Ishita",,,,
BUAN,6335,501,,25,6,5,1,,,,,,,,,,,2,0,"Narayan, Ravishankar L","Kapoor, Ishita",,,,
BUAN,6337,001,,12,14,5,2,,,,,,,,,,,21,0,"Kim, Tongil","Alavi, Seyyedeh Soogand","Lim, Taewook",,,
BUAN,6337,002,,11,18,10,3,3,,,,,,,,,,2,0,"Kim, Tongil","Alavi, Seyyedeh Soogand","Lim, Taewook",,,
BUAN,6337,0W1,,17,11,4,2,,,,,,,,,,,3,1,"Subramanian, Upender","Alavi, Seyyedeh Soogand",,,,
BUAN,6337,SS1,,4,4,2,3,,,,,,,,,,,6,1,"Murthi, B P",,,,,
BUAN,6340,003,,19,7,5,2,,,,,,,,,,,3,0,"Zhang, Yingjie","Bhatt, Jairaj",,,,
BUAN,6340,502,,13,10,7,4,,,,,,,,,,,1,1,"Zhang, Yingjie","Bhatt, Jairaj",,,,
BUAN,6341,001,,17,9,6,,,,,,,,,,,,1,0,"Sohaee, Nassim","Ravishankar, Aadith Narayan",,,,
BUAN,6341,002,,15,13,8,1,,,,,,,,,,,6,0,"Sohaee, Nassim","Ravishankar, Aadith Narayan",,,,
BUAN,6341,0W1,,6,11,10,3,2,,,,,,,,,,3,0,"Sohaee, Nassim","Ravishankar, Aadith Narayan",,,,
BUAN,6341,501,,5,6,4,,,,,,,,,,,,2,1,"Sabir, Muhammad F","Sharma, Ishan",,,,
BUAN,6341,SS1,,3,1,3,1,,,,,,,,,,,2,0,"Singh, Harpreet","Jain, Shinny",,,,
BUAN,6342,001,,13,9,12,2,1,,,,,,,,,,16,0,"Singh, Harpreet","Jain, Shinny",,,,
BUAN,6346,001,,2,7,1,1,,,,,,,,,,,4,0,"Bradbury, Judd D","Jethwani, Pallavi","Rathore, Khushboo",,,
BUAN,6346,002,,30,,,,,,,,,,,,,,,0,"Elkhodari, Gasan","Sharma, Ishan",,,,
BUAN,6346,0W1,,22,3,2,2,,,,,,,,,,,1,1,"Perez, Jerry","Kulkarni, Aniket S",,,,
BUAN,6346,501,,33,,,,,,,,,,,,,,,0,"Elkhodari, Gasan","Sharma, Ishan",,,,
BUAN,6347,501,,30,1,,,,,,,,,,,,,,0,"Perez, Jerry","Kulkarni, Aniket S",,,,
BUAN,6356,001,,21,6,2,,,,,,,,,,,,1,0,"Zhang, Zhe","Thakare, Anvay",,,,
BUAN,6356,002,,4,7,7,2,,,,,,,,1,,,8,0,"Chatterjee, Sourav","Daniyal, Muhammad",,,,
BUAN,6356,003,,8,9,2,2,,,,,,,,,,,,0,"Zhang, Zhe","Thakare, Anvay",,,,
BUAN,6356,501,,2,7,3,3,,,,,,,,1,,,3,1,"Parker, Jason A","Kumar, Himanshu",,,,
BUAN,6356,502,,,7,5,2,,,,,,,,1,,,5,0,"Chatterjee, Sourav","Daniyal, Muhammad",,,,
BUAN,6356,SS1,,2,6,3,3,,,,,,,,,,,2,1,"Parker, Jason A","Kumar, Himanshu",,,,
BUAN,6356,SW1,,2,4,1,3,1,,1,,,,,,,,6,1,"Parker, Jason A","Kumar, Himanshu",,,,
BUAN,6357,001,,25,5,,,,,,,,,,,,,1,1,"Johnston, Walter L",,,,,
BUAN,6357,002,,3,6,1,3,1,,,,,,,,,,2,1,"Chatterjee, Sourav","Daniyal, Muhammad",,,,
BUAN,6357,003,,4,4,3,,1,,,,,,,,,,2,1,"Chatterjee, Sourav","Daniyal, Muhammad",,,,
BUAN,6359,002,,6,4,2,2,,1,,,,,,,,,13,4,"Ramezani, Rasoul","Rasulov, Toghrul",,,,
BUAN,6359,502,,10,6,5,2,2,,,,,,,1,,,8,1,"Brussolo, Monica E","Vu, Duc D",,,,
BUAN,6359,503,,6,3,2,1,3,2,,,,,,,,,12,0,"Ramezani, Rasoul","Rasulov, Toghrul",,,,
BUAN,6392,001,,9,16,5,1,,,,,,,,,,,12,0,"Mehra, Amit","Kadam, Shraddha Hemant",,,,
BUAN,6398,002,,5,2,2,,1,,2,,,,,,,,1,1,"Ramezani, Rasoul","Rasulov, Toghrul",,,,
BUAN,6398,003,,29,,1,6,,,,,,,,,,,14,0,"Alimirzaei, Athena","Armaghan, Milad",,,,
BUAN,6398,0W1,,13,3,7,5,,,,,,,,1,,,3,2,"Sethi, Awanti","Kuppagoundanpalayam Nallasivam, Vikram",,,,
BUAN,6398,501,,27,4,4,2,1,,,,,,,,,,14,0,"Alimirzaei, Athena","Armaghan, Milad",,,,
BUAN,6V99,001,,12,1,3,,3,,,,,,,,,,8,0,"Singh, Harpreet","Jain, Shinny",,,,
CE,1100,001,,2,3,2,4,1,,,,,,1,5,,,,0,"Florence, James M","Pawaskar, Vaibhav Uttam","Goswami, Pingakshya","Xiong, Jiu","Luo, Ziyang",
CE,1100,002,,4,,1,,,,1,,1,1,,4,,,,3,"Florence, James M","Goswami, Pingakshya","Pawaskar, Vaibhav Uttam","Xiong, Jiu","Luo, Ziyang",
CE,1100,003,,12,9,,3,,1,,,,,,1,,,,2,"Florence, James M","Pawaskar, Vaibhav Uttam","Goswami, Pingakshya","Xiong, Jiu","Luo, Ziyang",
CE,1202,001,2,5,3,3,5,1,2,5,3,,2,,9,7,1,,5,"Cogan, Diana L",,,,,
CE,2305,003,1,3,1,1,,,,,,,,,,4,,,1,"Willson, James K",,,,,
CE,2305,004,,4,3,3,1,2,,,,,,1,,,,,0,"Erbatur, Serdar",,,,,
CE,2305,501,,,2,,3,2,,1,,,,1,,1,1,,2,"Willson, James K",,,,,
CE,2305,503,1,12,2,1,3,,,,,,,,,,,,0,"Farage, Timothy P",,,,,
CE,2310,302,,1,1,,,1,1,1,1,,,,1,2,2,,2,"Cogan, Diana L","Wang, Yifan","Pawaskar, Vaibhav Uttam","Munia, Munawara Saiyara","Gao, Tianning","Zeng, Xiaoming"
CE,2310,304,1,1,2,5,,1,,,,,,,1,2,1,,1,"Cogan, Diana L","Wang, Yifan","Pawaskar, Vaibhav Uttam","Munia, Munawara Saiyara","Gao, Tianning","Zeng, Xiaoming"
CE,2310,305,,,4,1,1,2,,,2,,2,,1,1,1,,1,"Cogan, Diana L","Wang, Yifan","Pawaskar, Vaibhav Uttam","Munia, Munawara Saiyara","Gao, Tianning","Zeng, Xiaoming"
CE,2336,001,2,1,1,,,1,1,1,,1,,,,2,,,0,"Feng, Ranran",,,,,
CE,2336,501,1,3,1,2,1,,,,,,,,,,,,2,"Khan, Ziaullah",,,,,
CE,2336,504,,5,,,3,1,,1,,,1,,,,,,0,"Cole, John",,,,,
CE,3161,051,3,4,3,,,,,1,,,,,,,,,0,"Mezenner, Rabah",,,,,
CE,3201,001,3,13,4,2,1,,,,,,3,,,1,2,,3,"Nikoubin, Tooraj","Steele, Alec M","Sheikhlari, Sepehr","Meng, Xingyu","Taherkhani, Nima",
CE,3201,002,3,12,3,3,3,,,1,,,1,,,,,,1,"Nikoubin, Tooraj","Steele, Alec M","Sheikhlari, Sepehr","Meng, Xingyu","Taherkhani, Nima",
CE,3301,002,,2,,1,,3,2,,,,,,1,3,3,,0,"Fahimi, Babak","Farhadi, Masoud",,,,
CE,3301,003,,4,,3,2,2,,2,1,,,,1,4,,,0,"Friedman, Joseph S","Hu, Xuan",,,,
CE,3310,001,1,2,1,,4,1,,,,,1,,1,,,,0,"Lee, Jeong-Bong","Mitra, Arkadeep","Liu, Jinbo",,,
CE,3310,002,2,9,8,6,2,3,3,2,3,,,,1,10,1,,2,"Lee, Jeong-Bong",,,,,
CE,3311,001,3,8,5,2,1,,2,,1,,,,,2,,,0,"Pourkamali, Siavash","Palit, Prithviraj",,,,
CE,3311,501,1,1,2,1,1,2,2,1,,1,,,,2,1,,0,"Pourkamali, Siavash","Cheng, Qi",,,,
CE,3320,001,,2,,3,7,2,,1,,,,,1,1,,,3,"Bhatia, Dinesh","Goswami, Pingakshya",,,,
CE,3320,002,2,4,2,5,1,3,1,,1,,,,1,3,,,0,"Basu, Kanad","Kuruvila, Abraham P",,,,
CE,3320,502,,4,1,1,2,,1,,,,1,,,1,,,0,"Nikoubin, Tooraj","Huang, Qiongdan",,,,
CE,3345,002,1,,4,1,1,,,,,1,,,1,3,,,1,"Ozbirn, Greg A",,,,,
CE,3345,006,,,2,1,,3,,,1,1,,2,,1,,,2,"Alagar, Sridhar",,,,,
CE,3354,006,2,2,2,1,1,2,1,2,2,,,,,2,,,1,"Oladimeji, Ebenezer A","Li, Shuo",,,,
CE,3354,0W1,,4,3,2,,,,,,,1,,,,,,0,"Solanki, Nidhiben M","Peddi, Rohith",,,,
CE,3354,501,2,,4,1,2,,,1,,,,,,,,,0,"Paulk, Mark C","Chen, Lingchao","Tian, Zijing",,,
CE,4201,301,,12,,,,,,,,,,,,,,,0,"Tamil, Lakshman",,,,,
CE,4201,303,,18,,,,,,,,,,,,,,,0,"Tamil, Lakshman",,,,,
CE,4304,001,2,7,6,2,4,6,1,,,,,,1,,,,1,"Makris, Georgios","Tellakula, Suraag S",,,,
CE,4304,501,6,9,,4,2,,1,1,,,,,,1,,,0,"Hu, Yang","Wang, Jianda",,,,
CE,4337,501,4,2,2,,4,1,1,,,,,,,1,,,0,"Karami, Gity","Mohammadpour, Somayeh",,,,
CE,4348,501,,23,,,7,,,,,,,,2,2,3,,2,"Goodrum, Richard A",,,,,
CE,4370,001,11,12,,,,,,,,,,,,1,,,1,"Swartz, William P","Akbarzadeh, Sara","Raghavendra, Shruthi",,,
CE,4388,001,1,15,3,1,2,,,,,,,,,,,,0,"Tacca, Marco",,,,,
CE,4388,002,,14,5,1,,,,,,,,,,,,,0,"Tacca, Marco",,,,,
CE,4388,003,,7,1,2,,,,,,,,,,,,,0,"Skinner, Neal G",,,,,
CE,4389,001,,14,,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,
CE,4390,001,,,3,3,2,4,,1,,,,,1,3,,,0,"Nguyen, Nhut","Mai, Kelvin K","Wang, Chengen",,,
CE,4390,002,,6,1,2,1,,,,,,,,,,,,0,"Farago, Andras","Patel, Dhruvkumar R",,,,
CE,4390,501,1,,3,2,1,,1,,,,,,1,4,1,,1,"Le, Khiem V","Samiei, Aliehsan",,,,
CE,4390,502,1,6,3,1,1,,,,,,,,1,2,,,0,"Solanki, Nidhiben M","Wang, Chengen","Patel, Dhruvkumar R",,,
CE,6301,001,,11,,,,1,,,,,,,1,,,,0,"Swartz, William P","Tellakula, Suraag S",,,,
CE,6303,001,,1,4,3,,,1,,,,,,,,,2,0,"Nourani, Mehrdad","Sears, Mark R",,,,
CE,6304,001,,2,6,4,1,2,,,,,,,,,,,0,"Carrion Schaefer, Benjamin",,,,,
CE,6306,001,,8,4,1,,,,,,,,,,,,1,0,"Zhou, Dian","Wang, Yifan",,,,
CE,6325,002,,1,3,2,3,2,,,,,,,,,,,0,"Sechen, Carl","Salimath, Vibhav Kumarswami",,,,
CGS,2301,001,15,32,6,13,15,1,,6,,,1,,1,5,1,,4,"O'Toole, Alice J","Skolasinska, Paulina A",,,,
CGS,3361,001,6,,,2,1,,,,,,1,,,1,,,0,"Roark, Dana A","Winter-Nelson, Ezra",,,,
CHEM,1111,101,7,5,6,2,3,1,,,,,,,2,1,1,,2,"Qin, Yanping","Douglas, Teri A",,,,
CHEM,1111,102,6,4,4,2,3,1,1,,,,,1,,2,,,5,"Qin, Yanping","Douglas, Teri A",,,,
CHEM,1111,103,16,4,5,1,,,,,,,,1,1,,1,,0,"Abeykoon, Nimali C","Rifat, Samia",,,,
CHEM,1111,104,14,4,2,1,,1,1,,,1,1,,1,,,,4,"Panangala, Samitha D","Kassees, Kara J",,,,
CHEM,1111,105,8,9,4,1,1,,,,,1,,,2,,,,3,"Panangala, Samitha D","Kassees, Kara J",,,,
CHEM,1111,106,12,7,3,3,1,,3,,,,,,,,,,1,"Gavva, Sandhya R","Phelps, Shelby M",,,,
CHEM,1111,107,13,5,1,,3,1,,,,,,1,2,1,,,1,"Anka, Fadwa H","Kassees, Kara J",,,,
CHEM,1111,108,10,8,5,1,2,1,1,,,,,1,1,,,,0,"Anka, Fadwa H","Kassees, Kara J",,,,
CHEM,1111,109,12,7,,4,2,,,,1,1,,,2,,,,1,"Gavva, Sandhya R","Parsamian, Perouza",,,,
CHEM,1111,110,10,7,3,3,1,1,,1,,,,,1,2,,,1,"Gavva, Sandhya R","Parsamian, Perouza",,,,
CHEM,1111,111,5,6,7,1,2,1,,,1,,,1,2,1,,,3,"Abeykoon, Nimali C","Adams, Derik A",,,,
CHEM,1111,112,2,6,4,,2,,2,3,,,,1,5,,,,5,"Abeykoon, Nimali C",,,,,
CHEM,1111,113,14,8,1,1,,,1,,,,,,2,,1,,3,"Dissanayake, Dushanthi S","Shekarnoush, Mahsa",,,,
CHEM,1111,115,18,3,4,,2,1,,,,,,,1,,1,,0,"Qin, Yanping","Beck, Erling","Ahrari, Samira",,,
CHEM,1111,116,20,4,2,,,1,,1,,,,,,,,,2,"Qin, Yanping","Beck, Erling","Ahrari, Samira",,,
CHEM,1111,117,15,8,1,,1,2,,1,,,,,,,,,2,"Huang, Yu","Chen, Chia Yuan",,,,
CHEM,1111,118,10,16,1,,1,,1,,1,,,,,,,,0,"Huang, Yu","Chen, Chia Yuan",,,,
CHEM,1111,119,20,2,3,1,,,1,,,,,,3,,,,0,"Abeykoon, Nimali C","Liyanaarachchi, Sureshee M",,,,
CHEM,1111,120,15,2,4,,2,,1,,1,,,,1,,,,4,"Abeykoon, Nimali C","Liyanaarachchi, Sureshee M",,,,
CHEM,1111,121,9,6,3,2,,2,1,,,,,,3,,1,,3,"Hashami, Zohreh","Mihranyan, Andranik",,,,
CHEM,1111,122,16,2,3,2,1,1,,,,,,,,1,1,,3,"Hashami, Zohreh","Mihranyan, Andranik",,,,
CHEM,1111,123,9,11,2,1,,,1,1,,,,,,,1,,3,"Anka, Fadwa H","Igie, Nosakhare F",,,,
CHEM,1111,124,6,11,,2,2,,2,1,,,,,1,,,,4,"Anka, Fadwa H","Igie, Nosakhare F",,,,
CHEM,1111,125,15,8,1,2,1,1,,,,,,,,,,,2,"Gavva, Sandhya R","Tripathi, Kiran",,,,
CHEM,1111,126,17,8,,1,,3,,,,,,,,,,,1,"Gavva, Sandhya R","Tripathi, Kiran",,,,
CHEM,1111,127,18,5,1,2,,,,,,,,,,,1,,3,"Sra, Amandeep K","Tripathi, Kiran",,,,
CHEM,1111,128,15,5,1,1,2,,2,,,,1,,1,,,,2,"Sra, Amandeep K","Tripathi, Kiran",,,,
CHEM,1111,129,16,6,3,,1,1,,,,,1,,,,1,,1,"Gunawardhana, Kahawatte Gedara","Igie, Nosakhare F",,,,
CHEM,1111,130,9,6,1,3,1,1,1,1,1,,,,,1,2,,3,"Huang, Yu","Cook, Mariah A",,,,
CHEM,1111,131,8,10,1,3,1,,,,,,,,,,2,,3,"Huang, Yu","Cook, Mariah A",,,,
CHEM,1111,133,18,4,,,,2,,,,,,,4,,1,,1,"Qin, Yanping","Beck, Erling","Ahrari, Samira",,,
CHEM,1111,134,13,4,5,1,2,,,,1,,,,1,1,,,2,"Qin, Yanping","Beck, Erling","Ahrari, Samira",,,
CHEM,1111,135,9,13,3,2,1,,,,,,,,2,,,,0,"Dissanayake, Dushanthi S","Chen, Chia Yuan",,,,
CHEM,1111,136,16,8,1,1,,,,,,,,,1,,,,2,"Qin, Yanping","Liyanaarachchi, Sureshee M","Ahrari, Samira",,,
CHEM,1111,137,20,4,1,2,1,,,,,,,,,,,,2,"Qin, Yanping","Liyanaarachchi, Sureshee M",,,,
CHEM,1111,138,18,2,2,,1,,1,1,,,,,3,1,,,1,"Abeykoon, Nimali C","Shekarnoush, Mahsa",,,,
CHEM,1111,139,10,5,2,3,1,,,,,,,,4,3,,,1,"Dissanayake, Dushanthi S","Johnson, Rebecca M",,,,
CHEM,1111,140,7,2,7,2,4,,1,,,,,,2,1,,,3,"Dissanayake, Dushanthi S","Johnson, Rebecca M",,,,
CHEM,1111,141,9,7,3,3,1,1,1,,,,,,2,,,,3,"Gavva, Sandhya R",,,,,
CHEM,1111,142,14,7,1,,1,2,,,,,,,2,,1,,2,"Gavva, Sandhya R","Mccleary, Corbin B",,,,
CHEM,1111,143,11,5,4,1,,1,,,,,,,3,2,,,3,"Huang, Yu","Parsamian, Perouza",,,,
CHEM,1111,144,4,6,3,,4,,,,1,,,,4,2,2,,4,"Huang, Yu","Parsamian, Perouza",,,,
CHEM,1111,145,9,4,4,1,2,1,,1,,,,,,,2,,6,"Dissanayake, Dushanthi S","Polara, Himanshu S",,,,
CHEM,1111,146,13,3,2,2,1,,,1,1,,,,1,,,,6,"Anka, Fadwa H","Polara, Himanshu S",,,,
CHEM,1111,601,5,2,2,6,2,,,1,,1,,,4,,,,7,"Taghavi Nasrabadi, Amir","Phelps, Shelby M",,,,
CHEM,1111,602,4,6,1,2,2,1,1,,,,1,,4,,,,3,"Taghavi Nasrabadi, Amir","Phelps, Shelby M",,,,
CHEM,1111,605,6,6,1,3,,2,,,,,,,4,,1,,2,"Taghavi Nasrabadi, Amir","Firouzi, Hamid Reza",,,,
CHEM,1111,607,10,5,1,,2,,,1,1,1,1,,,,,,1,"Taghavi Nasrabadi, Amir","Firouzi, Hamid Reza",,,,
CHEM,1111,609,3,2,2,3,1,,1,2,,,,,1,,1,,3,"Sisk, Joshua R","Firouzi, Hamid Reza",,,,
CHEM,1111,610,5,5,1,2,1,1,,,,,,,2,,2,,2,"Sisk, Joshua R","Firouzi, Hamid Reza",,,,
CHEM,1111,612,7,3,1,,2,,,1,,,,,3,,,,4,"Taghavi Nasrabadi, Amir","Chen, Chia Yuan","Shekarnoush, Mahsa",,,
CHEM,1111,615,3,,2,,3,1,,,,,,,,,,,3,"Gunawardhana, Kahawatte Gedara","Johnson, Rebecca M",,,,
CHEM,1112,101,6,,1,2,,,,,2,,,,2,,,,1,"Gunawardhana, Kahawatte Gedara","Rifat, Samia",,,,
CHEM,1112,102,6,5,4,3,1,1,1,,,,,3,,,2,,3,"Sra, Amandeep K","Douglas, Teri A",,,,
CHEM,1112,103,10,5,2,4,,2,,1,,,,,2,,2,,2,"Dissanayake, Dushanthi S","Polara, Himanshu S",,,,
CHEM,1112,104,8,5,2,,4,,1,1,,2,,,2,,1,,2,"Dissanayake, Dushanthi S","Adams, Derik A",,,,
CHEM,1112,105,15,4,,2,2,,1,,,,,,2,,,,3,"Sra, Amandeep K","Rifat, Samia",,,,
CHEM,1112,106,4,1,2,1,2,1,,3,,,,1,3,1,,,3,"Panangala, Samitha D","Mccleary, Corbin B",,,,
CHEM,1112,601,5,8,4,3,2,2,,,,,,,4,,,,2,"Gunawardhana, Kahawatte Gedara","Mihranyan, Andranik",,,,
CHEM,1112,602,7,4,4,1,1,1,,6,,,1,1,1,,,,3,"Dissanayake, Dushanthi S","Cook, Mariah A",,,,
CHEM,1115,HN1,17,13,,,,,,,,,,,,,,,0,"Sibert, John W",,,,,
CHEM,1311,001,2,5,6,5,3,6,3,5,1,2,4,,11,6,2,,11,"Taylor, Stephanie M",,,,,
CHEM,1311,002,12,37,14,11,15,18,16,6,3,3,4,,6,29,9,,37,"Taylor, Stephanie M",,,,,
CHEM,1311,003,8,23,21,13,17,12,13,8,1,,4,,13,22,5,,26,"Sibert, John W",,,,,
CHEM,1311,004,5,29,9,12,11,15,10,10,3,5,9,,12,29,10,,32,"Dieckmann, Gregg",,,,,
CHEM,1311,005,6,27,15,17,19,15,7,16,2,3,8,,16,26,7,,28,"Dieckmann, Gregg",,,,,
CHEM,1311,006,23,59,29,13,26,10,9,11,1,2,1,,8,23,8,,15,"Huang, Yu",,,,,
CHEM,1311,007,1,11,7,13,6,9,12,7,6,5,5,,13,24,6,,33,"Abeykoon, Nimali C",,,,,
CHEM,1311,008,4,29,19,22,17,23,11,14,3,3,6,,10,33,7,,34,"Hashami, Zohreh",,,,,
CHEM,1312,001,22,27,21,22,19,22,13,18,16,6,9,6,17,9,15,,35,"Sra, Amandeep K","Nguyen, Trang",,,,
CHEM,1315,HN1,8,11,4,1,2,,1,,,,,,,2,,,1,"Sibert, John W",,,,,
CHEM,2123,101,19,8,2,,,,,,,,,,,,,,1,"Wijenayake, Sumudu N","Ma, Ziyuan",,,,
CHEM,2123,102,15,6,3,,,1,,,,,,,,,,,4,"Wijenayake, Sumudu N","Ma, Ziyuan",,,,
CHEM,2123,103,7,4,2,2,1,,,,,,,,,,,,3,"Panapitiya, Nimanka P","Ehrman, Ryanne N","Chowdhury, Muniruzzaman",,,
CHEM,2123,104,5,15,2,3,,1,,,,,,,1,1,,,2,"Shah, Shailesh N","Brown, Monet R",,,,
CHEM,2123,105,8,12,4,3,1,,,1,,,,,,,,,0,"Shah, Shailesh N","Brown, Monet R",,,,
CHEM,2123,106,18,5,4,1,2,,,,,,,,,,,,0,"Shah, Shailesh N","Brown, Monet R",,,,
CHEM,2123,107,20,5,3,1,,1,,,,,,,,,,,0,"Shah, Shailesh N","Brand, Emily J",,,,
CHEM,2123,108,18,7,4,,1,,,,,,,,,,,,0,"Shah, Shailesh N","Brand, Emily J",,,,
CHEM,2123,109,16,8,3,1,1,,1,,,,,,,,,,0,"Shah, Shailesh N","Brand, Emily J",,,,
CHEM,2123,110,19,8,1,1,,,,,,,,,,,,,0,"Wijenayake, Sumudu N","Ehrman, Ryanne N",,,,
CHEM,2123,111,19,5,2,,,1,1,,,1,,,,,,,0,"Wijenayake, Sumudu N","Ehrman, Ryanne N",,,,
CHEM,2123,112,12,7,5,1,1,3,,,,,,,,,,,0,"Tran, Daniel N","Shah, Tejas V",,,,
CHEM,2123,113,10,12,3,1,1,1,,,,,,,,,,,2,"Shah, Shailesh N","Kikumoto Dias, Juliana",,,,
CHEM,2123,114,10,12,1,2,,1,,,,,,1,,,,,3,"Shah, Shailesh N","Kikumoto Dias, Juliana",,,,
CHEM,2123,115,21,4,4,,,,,,1,,,,,,,,0,"Wijenayake, Sumudu N","Chowdhury, Muniruzzaman",,,,
CHEM,2123,116,18,5,1,1,,,,,,1,,,,,,,0,"Wijenayake, Sumudu N","Chowdhury, Muniruzzaman",,,,
CHEM,2123,117,8,5,5,2,2,2,,,,,,,,,1,,3,"Panapitiya, Nimanka P","Chowdhury, Muniruzzaman",,,,
CHEM,2123,118,11,12,2,,,1,,,,,,,1,,2,,1,"Shah, Shailesh N","Ma, Ziyuan",,,,
CHEM,2123,119,16,3,6,1,3,,1,,,,,,,,,,0,"Shah, Shailesh N","Kikumoto Dias, Juliana",,,,
CHEM,2123,120,22,3,,1,,,,1,,,,,1,,,,2,"Shah, Shailesh N","Howlett, Thomas S",,,,
CHEM,2123,121,21,4,3,,2,,,,,,,,,,,,0,"Shah, Shailesh N","Howlett, Thomas S",,,,
CHEM,2123,122,15,6,6,1,,,,,,,,,,2,,,0,"Tran, Daniel N","Howlett, Thomas S",,,,
CHEM,2123,123,22,7,,,1,,,,,,,,,,,,0,"Tran, Daniel N","Nguyen, Ngoc Han",,,,
CHEM,2123,124,9,10,1,4,1,3,1,1,,,,,,,,,0,"Jaggi, Neelam","Li, Baowen",,,,
CHEM,2123,125,8,8,6,3,,,,,,,,,,,,,4,"Jaggi, Neelam","Li, Baowen",,,,
CHEM,2123,126,5,9,3,2,3,,,1,,,,,,1,,,5,"Tran, Daniel N","Li, Baowen",,,,
CHEM,2123,127,8,8,4,,2,,,1,1,,,,,,,,3,"Tran, Daniel N","Nguyen, Ngoc Han",,,,
CHEM,2123,601,15,12,,,1,1,,,,,,,,,,,1,"Cortes, Sergio J","Haque, Syed Fahad Bin",,,,
CHEM,2123,602,14,10,4,,1,1,,,,,,,,,,,0,"Cortes, Sergio J","Haque, Syed Fahad Bin",,,,
CHEM,2123,603,16,9,1,2,1,,,,,,1,,,,,,0,"Jaggi, Neelam","Nguyen, Ngoc Han",,,,
CHEM,2123,604,19,9,1,,1,,,,,,,,,,,,0,"Cortes, Sergio J","Shah, Tejas V",,,,
CHEM,2123,605,17,8,1,1,,,,,,,,1,1,,,,1,"Cortes, Sergio J","Shah, Tejas V",,,,
