Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BIOL,3455,1U3,2,2,2,4,1,4,1,1,2,,1,,2,0,"Ramirez, Ruben D",,,,,
PSY,2317,0U1,2,2,3,1,5,2,,2,1,,,,1,4,"Pacheco, Daniel F","Carson, Kevin J",,,,
CE,3301,0U1,3,5,1,,1,1,,1,1,,3,,6,1,"Tacca, Marco","Mitra, Arkadeep","Zhang, Tianliang","Gandluru, Veerabharathchandrareddy","Gharajeh, Abouzar",
CS,1336,0U1,2,3,3,1,,1,3,,,1,3,2,2,2,"Arnold, Gordon L","Ocampo Diaz, Gerardo",,,,
CS,3340,0U2,5,5,2,1,1,2,3,2,1,,1,,,0,"Karami, Gity","Fang, Zhou",,,,
ENGR,2300,0U1,6,4,2,1,3,,2,,2,,,,2,1,"Ahmed, Shaheen","Vankayalapati, Bhanu Teja","Wang, Jianda",,,
MECH,3150,0U1,1,12,6,1,1,1,,,1,,,,,0,"Park, Wooram","Yu, Haoliang",,,,
MECH,4381,0U2,,2,5,9,5,,1,,,,,,1,0,"Hart, Robert A","Upasham, Sayali S",,,,
BUAN,6346,5U2,,23,,,,,,,,,,,,0,"Elkhodari, Gasan","Srivastava, Smriti",,,,
FIN,6360,5U1,,5,5,4,2,2,2,3,,,,,,0,"Kaur, Dupinderjeet",,,,,
ITSS,4352,0U1,3,1,1,1,3,1,1,3,3,2,1,1,2,0,"Bradbury, Judd D","Singh, Ayush K",,,,
MIS,6309,5U1,,11,2,3,3,3,,,,,,,,1,"Islam, Naser","Bhansali, Akanksha",,,,
MKT,3340,5U1,,5,3,3,6,1,3,1,,,,,1,0,"Rajaratnam, Daniel",,,,,
BIOL,2281,1U1,3,3,4,4,4,2,2,,,,,,1,0,"Lin, Wen J","Easterwood, Shayne","Shashikanth Raj Urs, Karthik Urs Bangalore","Do, Hung P","Gadhvi, Jashkaran G","Xia, Jing"
CHEM,3361,0U1,3,4,4,1,3,1,3,,3,,1,,,0,"Candas, Mehmet","McDill, Parker M","Krishnamohan, Aishwarya","Song, Ming","Ray, Ashvini","Dey, Sanchareeka"
MATH,2451,0U1,,2,1,2,3,3,4,2,2,1,,,1,2,"Turi, Janos","Hervert Hernandez, Esau A","Albelo-Cortes, Josean",,,
PHYS,2125,1U2,5,14,1,1,,1,,,,,,,,1,"Sun, Kuei","Ali, Saif","Feizi, Wirya",,,
PHYS,2125,6U1,9,12,,2,,,,,,,,,,0,"Sun, Kuei","Sharon Felix, .","Dhale, Nikhil",,,
LIT,3327,051,5,9,2,2,2,3,,1,,,,,,0,"Ingrao, Peter J",,,,,
THEA,1310,051,,10,11,1,1,1,,,,,,,,0,"Hibbs, Shelby A",,,,,
NSC,4354,0U1,3,,7,2,5,6,1,,,,,,,0,"Sultana, Rukhsana",,,,,
CS,2305,0U1,3,7,3,1,5,1,1,1,,,,,2,0,"Feng, Ranran","Li, Xuelin",,,,
BIS,3320,0U1,3,9,4,3,2,,2,1,,,,,,0,"Wright, David A",,,,,
BUAN,6312,SW1,,4,2,4,4,7,2,,,,,,,1,"Blueshtein, Moran","Lee, Pil-Seng",,,,
FIN,6308,0W1,,10,2,3,5,1,1,2,,,,,,0,"Lewin, Peter","Zhao, Yabo",,,,
FIN,6316,SU1,,10,3,3,7,1,,,,,,,,0,"Springate, David J",,,,,
FIN,6360,SU1,,8,2,2,11,1,,,,,,,,0,"Day, Theodore",,,,,
MKT,6336,0W1,,8,8,6,,2,,,,,,,,0,"Rao, Ram C","Saremi, Ehsan",,,,
OB,6348,CW1,,22,,,,,,,,,,,1,1,"Plaisance Bryan, Suzette T",,,,,
OPRE,3333,5U1,7,1,3,,4,,1,7,,,,,1,0,"Ahadi, Khatereh","Chen, Yuhang",,,,
OPRE,6302,PU1,,20,,,4,,,,,,,,,0,"Joiner, James C",,,,,
BIOL,3101,0U3,5,4,2,4,1,2,1,2,,,2,,1,0,"Srikanth, Uma",,,,,
BIOL,3455,1U1,,1,2,2,3,1,2,6,3,,,,3,1,"Ramirez, Ruben D",,,,,
BIOL,3520,3U1,4,5,8,4,1,1,1,,,,,,,0,"Mehta, Iti",,,,,
CHEM,2123,1U2,17,4,3,,,,,,,,,,,0,"Abeykoon, Nimali C","Tajik Asl, Masoumeh","Villones, Rhiza Lyne",,,
MATH,1325,5U1,6,,1,3,2,1,1,1,1,1,2,2,2,1,"Dahal, Rabin","Iudaev, Sergei",,,,
ARHM,3342,091,,9,2,,4,3,,1,2,,1,,2,1,"Goode, Dianne H",,,,,
ATCM,3350,0U1,8,7,4,,3,1,,1,,,,,1,0,"Hewitt, Sharon",,,,,
COMD,7V68,0U1,,25,,,,,,,,,,,,0,"Sale, Felicity F",,,,,
CS,4347,0U1,4,7,3,2,2,1,1,4,,,,,1,0,"Cankaya, Ebru C","Zi, Yuxin",,,,
CS,6301,0U3,,22,3,,,,,,,,,,,0,"Thuraisingham, Bhavani","Chen, Simin",,,,
CS,6360,5U1,,6,5,8,2,3,,,,,,,1,0,"Davis, Chris I","Dakshit, Sagnik",,,,
ECS,3361,0U2,,12,4,5,,2,,,,,,,1,1,"Harrington, James","Johnson, Sara K",,,,
EE,3310,5U1,,6,3,3,2,6,1,2,1,,1,,,0,"Pourkamali, Siavash","Palit, Prithviraj","Sheikhlari, Sepehr",,,
PA,6369,5U1,,25,,,,,,,,,,,,0,"McCaskill, John R",,,,,
BCOM,4350,5E1,,14,6,1,1,,1,,,,1,,1,0,"Watson, John M","Shirvin, Mahdi",,,,
FIN,6301,XS1,,19,2,2,2,,,,,,,,,0,"Reichert, Carolyn A",,,,,
HMGT,6320,CH1,,16,2,3,4,,,,,,,,,0,"Fleming, Forney F",,,,,
IMS,6204,XS1,,15,7,1,1,1,,,,,,,,0,"Kiser, Stephen L",,,,,
MKT,6301,XS1,,24,,,1,,,,,,,,,0,"Albrecht, Maria",,,,,
BIOL,3102,0U1,3,3,2,4,,2,1,1,1,1,4,2,1,0,"Srikanth, Uma",,,,,
CHEM,2123,1U1,19,5,,,,,,,,,,,,1,"Abeykoon, Nimali C","Wang, Hanghang","Tian, Yafen",,,
ECON,2301,0U1,1,8,3,5,3,3,,,,,,,1,1,"Chen, Zhengyang",,,,,
ACCT,2302,5U1,1,2,2,1,2,5,3,1,2,2,1,2,1,1,"Hes, Christopher A",,,,,
ACCT,6301,CH1,,24,2,,,,,,,,,,,0,"Barden, John P",,,,,
IMS,6204,AW1,,12,,,12,,,,,,,,1,1,"Petrik, Peter","McCracken, John",,,,
ITSS,4360,5U1,,2,8,3,6,4,2,1,,,,,,0,"Thirumalai, Nambi","Luo, Ning",,,,
MECO,6303,5U1,,3,4,5,6,2,3,1,,,,,2,0,"Kiser, Stephen L",,,,,
MECO,6303,AW1,,17,3,3,,1,,,,,,,1,1,"Kiser, Stephen L",,,,,
MIS,6320,0W1,,6,7,7,2,1,3,,,,,,,0,"Cavusoglu, Huseyin","Tunc, Murat M",,,,
PHYS,2125,1U1,2,15,4,1,,,1,1,,1,,,1,0,"Sun, Kuei","Ferguson, Sarah W","Dhawan, Ruchika",,,
CRIM,3320,0U1,7,7,4,1,,4,,,,,,,1,2,"Huskey, Michael",,,,,
ATCM,3338,0U1,,4,8,2,3,2,1,1,3,1,,,1,1,"Chandler, Adam W",,,,,
COMD,5340,0U1,,27,,,,,,,,,,,,0,"Aldridge, Michelle A",,,,,
COMD,6320,0U1,,25,,,2,,,,,,,,,0,"Carter, Jessica A","Smith, Irma E",,,,
CS,2336,0U1,2,3,7,7,7,1,,,,,,,,0,"Khan, Ziaullah","Dong, Zheng",,,,
CS,6375,5U1,,15,4,3,2,1,,1,,,,,1,0,"Schweitzer, Haim","Wan, Guihong",,,,
MECH,4381,0U1,,9,5,6,6,1,,,,,,,,0,"Hart, Robert A","Upasham, Sayali S",,,,
BIS,3320,091,3,5,8,3,2,1,1,2,1,,,1,,0,"Hudson, Jennifer M",,,,,
FIN,6301,PU1,,15,9,,1,1,1,,,,,,,0,"Reichert, Carolyn A",,,,,
MKT,4330,0W1,4,6,4,,3,5,2,1,1,,,,,1,"Edsel, Alexander D","Subramanian, Thyagarajan",,,,
OPRE,6390,0W1,,19,,,7,,,,,,,,,1,"Thompson, Luell O",,,,,
BIOL,2111,0U2,,6,7,4,2,2,,1,1,1,1,2,,0,"Candas, Mehmet",,,,,
PHYS,2126,1U1,12,14,1,,,,,,,,,,,0,"Macalevey, Paul J","Stoikos, Evangelos","Fernando, Bharana A",,,
STAT,4351,0U1,3,3,4,3,6,1,,2,,,,,4,1,"Koshevnik, Yuly","Patwary, Mohammad S","Wu, Jiaju",,,
CS,4348,0U1,2,5,4,4,3,1,2,,1,1,1,2,1,1,"Christiansen, Michael G","Shahbazi, Nima",,,,
CS,6363,0U1,,17,2,2,4,2,1,,,,,,,0,"Chandrasekaran, Ramaswamy","Gour, Riti",,,,
SOC,1301,0W1,2,10,5,1,,2,2,,,,,1,4,1,"Simoni, Zachary",,,,,
AMS,2341,0H2,,4,7,5,7,2,1,,2,,,,,0,"Naqvi, Syed K",,,,,
ACCT,2301,5U1,1,2,4,1,4,1,6,3,3,,,,2,1,"Swaim, Stephanie R",,,,,
ACCT,6353,SW1,,8,18,,2,,,,,,,,,0,"Solcher, Steven J",,,,,
BIOL,2112,0U1,1,4,3,6,4,1,3,2,1,1,,2,,0,"Candas, Mehmet",,,,,
BIOL,3455,1U2,2,1,2,1,9,2,1,2,4,1,1,,2,0,"Ramirez, Ruben D",,,,,
CHEM,2125,1U2,8,17,1,1,,,,,,1,,,,0,"Tran, Daniel N","Tague, Daniel W","Wunch, Melissa A",,,
MATH,2414,0U1,3,2,1,5,2,5,2,1,4,1,,1,1,0,"Aman, Kelly",,,,,
ATCM,3301,5U1,1,10,5,2,1,3,,1,2,1,,1,2,0,"Rheams, David C",,,,,
PSY,4343,0U1,,2,11,4,4,4,1,,,,,,3,0,"Kinney, Robert S","Adelson, Megan J",,,,
CS,2305,5U1,6,7,4,1,3,1,1,,,,1,2,2,1,"Farage, Timothy P","Yu, Shimeng",,,,
AMS,3316,0W1,11,5,6,2,1,,,1,1,,,,2,0,"Winstead, Elizabeth L",,,,,
BIS,3190,0W1,10,8,2,,2,4,,1,,,1,,1,0,"Robinson, Katie L","Edwards, Christopher W",,,,
ACCT,4334,5U1,,,5,4,4,3,3,3,2,2,1,,,2,"Hes, Christopher A",,,,,
BUAN,6312,0W1,,2,8,9,5,1,3,1,,,,,,0,"Blueshtein, Moran","Lee, Pil-Seng",,,,
HMGT,6332,5U1,,18,5,1,3,2,,,,,,,,0,"Ramanathan, Kannan",,,,,
MIS,6380,0W1,,5,3,9,6,3,,1,,,,,1,1,"Bradbury, Judd D","Singh, Ayush K",,,,
OB,6352,CW1,,18,6,2,2,1,,,,,,,,0,"Plaisance Bryan, Suzette T",,,,,
OPRE,6302,CW1,,15,14,,,,,,,,,,,0,"Hassanzadeh, Nozar",,,,,
DANC,1310,0H1,,11,4,1,2,1,,1,4,1,,,2,3,"Saba, Monica",,,,,
ATCM,2335,5U1,,21,,2,1,,1,1,,,,,3,1,"Stewart, Michael C",,,,,
ATCM,3301,0U1,,4,3,11,8,3,,,,,,,1,0,"Imaoka, Laura",,,,,
NSC,4352,0U2,2,4,9,1,4,3,2,1,1,,,,2,1,"Raboune, Siham",,,,,
EE,3201,0U1,,9,10,4,3,1,1,,,1,,,,1,"Kiasaleh, Kamran",,,,,
ACCT,6301,0W1,,6,9,5,4,4,,1,,,,,,1,"Ali, Ashiq","Sandhu, Gurvinder",,,,
BCOM,3200,5U1,2,9,1,4,5,3,,4,,,1,,1,0,"Newcomb, Rebecca G",,,,,
BCOM,3310,0U3,2,11,6,3,5,,1,,1,,,,1,0,"Walton, Michaella",,,,,
BPS,6310,0W1,,23,4,1,1,,,,,,,,,1,"Kaplan, Marilyn R",,,,,
BUAN,6337,0W1,,3,6,6,5,4,4,2,,,,,,0,"Subramanian, Upender","Saremi, Ehsan",,,,
IMS,3310,5U1,1,10,1,1,5,1,4,3,,,2,,2,0,"Henderson, Tom",,,,,
MIS,6204,501,,24,5,,1,,,,,,,,,0,"Fuller, Tony F","Xie, Si",,,,
OB,6331,CW1,,29,,1,,,,,,,,,,0,"Ferrante, Anne M",,,,,
OB,6344,CW1,,21,2,4,,,,,,,,,2,1,"Norton, Larry",,,,,
ATCM,2303,0U1,12,8,6,4,,1,,,,,,,,0,"Camacho, Christopher J",,,,,
CS,1325,0U1,3,,5,3,5,8,2,1,2,,,,2,0,"Paulk, Mark C","Li, Changbin",,,,
CS,3360,5U1,6,1,3,4,3,2,4,,2,2,,1,2,1,"Arnold, Gordon L","Zhang, Chenxu",,,,
CS,3377,0W1,4,3,,1,8,2,4,4,2,1,,,1,1,"Min, Richard K","Zeng, Wenxi",,,,
ENGR,3341,0U1,1,5,3,4,1,1,3,2,5,,,4,1,1,"Fonseka, John",,,,,
SE,4381,0U1,1,5,6,6,8,2,,2,1,,,,,0,"Paulk, Mark C","Sarwat, Maliha",,,,
PSCI,4341,0U1,4,7,5,4,7,2,,1,1,,,,,0,"Kingsolver, Austin W",,,,,
ISIS,3335,091,6,7,6,3,5,2,1,,1,,,,,0,"Rosa, Jonathan",,,,,
ACCT,6338,0W1,,17,,3,9,,,2,,,,,,0,"Goodrich, Mary Beth W",,,,,
HUMA,1301,051,9,11,3,3,3,,,,,2,,,,1,"Amato, Lawrence A",,,,,
NSC,3361,0U2,7,1,3,1,3,2,5,2,2,,3,,3,0,"Taylor, Anna M","Zuppichini, Mark D",,,,
CS,4332,0U1,16,9,1,2,,2,1,,,,,,1,0,"McMahan, Timothy","Wang, Yeqi",,,,
PA,8330,HN1,,21,7,,1,,,2,,,,,,1,"Shute, William H","Chin, Michelle L",,,,
ACCT,6353,5U1,,17,2,4,2,3,2,,,,,,2,0,"Gamino, John P",,,,,
BCOM,3310,5U1,4,13,4,3,4,2,1,,,,,,,1,"Walton, Michaella",,,,,
BUAN,6356,5U2,,16,6,2,5,1,,,,,,,,2,"Parker, Jason A","Zhu, Wangsheng",,,,
BUAN,6398,5U2,,20,2,4,6,,,,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,
ENTP,3301,0U1,2,2,8,9,4,4,2,1,,,,,,0,"Nichols, Paul M",,,,,
ITSS,4351,5U1,,9,3,2,4,3,2,4,4,1,,,,0,"Shekhar, Gaurav","Singh, Ayush K",,,,
BIOL,2112,0U2,4,9,3,2,6,3,1,1,,,1,1,1,0,"Candas, Mehmet",,,,,
BIOL,4353,5U1,1,1,3,1,6,5,1,5,5,1,3,,,0,"Burr, John G",,,,,
PSY,3361,0U1,,2,5,4,4,6,3,4,,1,,1,2,1,"Meltzer, Mitchell A","Sudheesh, Athul",,,,
CS,4336,0U1,1,3,9,7,1,1,6,1,,,1,1,1,1,"Ozbirn, Greg A","Chappidi, Sruthi",,,,
CS,4384,0U1,1,4,1,5,2,3,1,3,3,,1,4,5,0,"Shields, Charles O","Gu, Shuyang",,,,
MECH,4340,0U1,,6,6,5,7,,6,1,2,,,,,0,"Park, Wooram","Yu, Haoliang",,,,
ACCT,4336,5U1,1,,3,3,2,2,2,1,4,7,,3,4,1,"Patino, Daniel I",,,,,
BPS,4305,5U1,15,7,5,1,2,1,,,,,2,,,0,"Carraher, Shawn M",,,,,
ENTP,6370,0W1,,9,3,5,12,1,,2,,,,,,1,"Kimzey, Jackie","Wang, Congying",,,,
MKT,6309,0W1,,7,14,10,2,,,,,,,,,0,"Li, Xiaolin","Kasaian, Keyvan",,,,
OB,6249,CW1,,25,,,7,,,,,,,,,1,"Hicks, Robert",,,,,
OB,6351,CW1,,21,7,3,,,,1,,,,,,1,"Hicks, Robert",,,,,
BIOL,3302,0U1,3,3,2,8,,2,2,2,2,1,4,3,1,0,"Srikanth, Uma","Bhat, Vandita D","Tandon, Neha Ramesh","Smith, Patrick R",,
MATH,2413,0U1,3,3,3,8,1,,2,4,,,1,,6,2,"Akbar, Mohammad M",,,,,
CS,3305,0U1,10,6,1,3,4,,,6,,,,3,,1,"Farage, Timothy P","Mousavi, Pooneh",,,,
CS,6366,0U1,,16,12,4,1,1,,,,,,,,0,"Zhang, Kang","Fan, Zhenbao",,,,
BUAN,6341,0U1,,8,21,3,2,,,,,,,,,0,"Sohaee, Nassim","Mehta, Sameer",,,,
FIN,3320,0U2,1,5,4,2,8,2,3,6,,,,,3,0,"Peabody, Stephen D",,,,,
IMS,3310,0U1,,7,2,4,10,1,2,5,2,,,,1,0,"Henderson, Tom",,,,,
OBHR,4352,5U1,3,9,4,8,3,3,1,,2,,1,,,0,"Ritchey, Kemberly A",,,,,
OPRE,3310,0U1,10,6,2,7,5,2,,1,,,,,,1,"Zhang, Wen",,,,,
BIOL,2111,0U1,3,10,8,6,4,,1,1,,,,,,1,"Candas, Mehmet",,,,,
CS,6385,0W2,,14,9,6,4,,,2,,,,,,0,"Gupta, Neeraj K","Li, Yi",,,,
EE,3301,0U1,4,8,2,2,6,1,2,2,,2,2,,4,0,"Tacca, Marco","Mitra, Arkadeep","Zhang, Tianliang","Gandluru, Veerabharathchandrareddy","Gharajeh, Abouzar",
ENGR,3300,0U2,,9,1,5,8,1,3,7,,,1,,,0,"Ali, Mohammed Z","Upadhyay, Bhaskar R",,,,
BLAW,2301,5U1,,4,4,6,3,7,2,3,3,,1,,2,0,"Betanzos, Christina L",,,,,
FIN,6350,0W1,,9,7,4,12,2,,,,,,,1,0,"Reichert, Carolyn A",,,,,
HMGT,6405,AH6,,30,2,,1,,,,,,,,2,0,"Kaiser, Robert C",,,,,
MKT,4334,5U1,4,12,4,5,3,2,,4,,1,,,,0,"Pacyna, Sandra",,,,,
MKT,6301,0W2,,8,3,4,14,6,,,,,,,,0,"Pahwa, Parneet","Roshangarzadeh, Reza",,,,
OB,6331,CW2,,34,,,,,,,,,,,,1,"Ferrante, Anne M",,,,,
OPRE,6301,5U1,,10,3,5,8,5,3,1,,,,,,0,"Brussolo, Monica E","Takasi, Venkanna Dora Goutham",,,,
CS,4349,0U1,3,4,2,2,11,3,1,5,2,1,1,1,,0,"Cankaya, Ebru C","Shah, Trusit Sandipbhai","Zi, Yuxin",,,
CS,6385,0W1,,19,9,5,3,,,,,,,,,0,"Farago, Andras","Moeini, Hessam",,,,
BPS,6310,MBP,,19,,10,7,,,,,,,,,0,"Chasteen, Larry H","Bai, Xiaoou","Balaji, Pavithra",,,
FIN,6301,CW1,,18,4,6,6,1,,1,,,,,,0,"Reichert, Carolyn A",,,,,
IMS,6204,CW1,,20,8,5,2,1,,,,,,,,0,"Woldu, Habte G","Pradeep, Poojitha",,,,
OPRE,6302,MBP,,23,8,4,1,,,,,,,,,0,"Subramoniam, Ramesh",,,,,
BIOL,3161,0U3,5,8,4,1,2,3,3,4,5,1,,,,0,"Candas, Mehmet","McDill, Parker M","Krishnamohan, Aishwarya","Ray, Ashvini","Dey, Sanchareeka","Song, Ming"
MATH,2414,0U2,2,2,3,5,2,9,4,1,1,1,1,,5,0,"Ahsan, Mohammad K",,,,,
EE,4389,0U1,,21,,,9,6,1,,,,,,,0,"Bhatia, Dinesh","Nourmohamadi, Hesam","Goswami, Pingakshya",,,
ACCT,3332,5U1,,3,,,4,,,12,,,4,,7,7,"Karnuta, Daniel","Tatiparti, Venu Madhav",,,,
ACCT,6335,5U1,,5,5,6,7,6,3,2,,,,,2,1,"Swaim, Stephanie R",,,,,
BCOM,3310,0U1,8,11,5,7,4,,2,,,,,,,0,"Fry, Jennifer L",,,,,
BIOL,3301,0U2,6,6,7,6,1,2,1,2,3,,2,,1,0,"Srikanth, Uma","Sankaranarayanan, Ishwarya","Nawas, Afshan Fathima","Shukla, Tarjani","Zhang, Bo","Jiang, Xianli"
CS,6364,0U1,,24,7,3,2,1,1,,,,,,,0,"Schweitzer, Haim","Zhang, Shuai",,,,
BCOM,3310,0U2,,9,17,1,7,2,,2,,,,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,
OBHR,3330,0U1,5,7,8,2,4,7,4,,,,1,,,0,"Ritchey, David B",,,,,
OPRE,6301,5U3,,18,,7,12,,,,,,,,,1,"Ahadi, Khatereh","Chen, Yuhang",,,,
COMD,7V89,0U1,,31,,2,4,,,,,,,,,0,"Walsh, Diane G","Scheppele, Meredith A",,,,
CS,6350,0U1,,20,14,5,,,,,,,,,,0,"Nagar, Anurag","Chung, Yu-Yen",,,,
AMS,3350,0W1,15,9,4,1,1,2,,,2,,,,4,1,"Winstead, Elizabeth L",,,,,
ACCT,6333,5U1,,20,,,10,,,8,,,,,1,0,"Zolton, Kathy","Chu, Yu Fang",,,,
FIN,3320,5U1,6,3,,5,6,7,3,3,3,1,1,,1,0,"Han, Munhee",,,,,
ITSS,3311,5U1,2,14,6,13,3,,1,,,,,,,0,"Hosseini, Leila",,,,,
ITSS,4300,5U1,,5,2,8,5,4,4,3,3,,3,,2,0,"Owens, Dawn M","Bhansali, Akanksha",,,,
OPRE,6302,0W1,,11,12,12,2,,,,,,,,,2,"Dawande, Milind","Takasi, Venkanna Dora Goutham",,,,
STAT,2332,0U1,8,5,4,5,3,1,4,2,3,2,,2,,0,"Whalen, Tristan G","Langford, John","Roy, Akash",,,
EE,3311,5U1,,5,3,7,8,6,7,2,,,,,1,1,"Sechen, Carl","Hu, Bo","Xu, Xiangyu",,,
ENGR,3300,0U1,4,10,3,2,10,3,,6,1,,,,1,0,"Ali, Mohammed Z","Marzban, Mohamed F",,,,
GOVT,2305,0U2,,9,5,6,3,7,4,,,1,,1,2,2,"Lux, Ryan J",,,,,
FIN,3330,0U1,3,13,4,6,11,,,1,,,,,,2,"Peabody, Stephen D",,,,,
ITSS,3312,5U1,5,8,7,6,4,5,4,,1,,,,,0,"Sun, Geng",,,,,
OBHR,3310,0U1,4,13,5,,8,3,1,4,,,1,,1,0,"Ritchey, David B",,,,,
OPRE,3360,0U2,5,5,6,4,6,,4,8,,,,,,2,"Ahadi, Khatereh","Chen, Yuhang",,,,
BCOM,4350,0U1,11,11,8,4,,3,,1,2,,1,,,0,"de los Santos, Veronica",,,,,
BCOM,4350,0U2,,21,15,2,2,1,,,,,,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,
FIN,3390,5U1,3,10,,3,6,5,4,,4,,,4,1,1,"El-Ashmawi, Amal H",,,,,
IMS,3310,0U2,,5,6,5,6,5,3,6,,1,1,,2,1,"Henderson, Tom",,,,,
OBHR,3310,5U1,1,7,19,6,4,,1,1,,,,,1,1,"Meda, Edward","Boncoeur, Olivier D",,,,
ECS,3361,5U1,,3,16,7,5,3,5,3,,,,,,0,"Ibrahim, Yaser M",,,,,
MECH,4380,0U1,1,8,6,5,10,3,6,2,1,,,,,0,"Fadda, Dani Z","Azarnoosh, Jamasp",,,,
GOVT,2305,0U1,13,8,6,5,2,4,,,3,1,,,,0,"Hoffman, Blake M",,,,,
BCOM,4350,5U1,25,5,5,1,4,,2,,,,,,,0,"de los Santos, Veronica",,,,,
MKT,6301,0W1,,13,5,6,10,8,,,,,,,,0,"Pahwa, Parneet","Roshangarzadeh, Reza",,,,
NSC,3361,0U1,6,6,10,,1,4,4,1,3,1,,2,5,0,"McWilliams, Steven P","Abdelkarim, Dema H",,,,
GOVT,2306,0U1,2,7,7,5,3,9,2,4,1,1,,,2,0,"Carr, Cory K",,,,,
ACCT,6373,5U1,,16,,5,21,,,1,,,,,,0,"Karnuta, Daniel","Tatiparti, Venu Madhav",,,,
IMS,6204,0W1,,13,14,12,1,2,,,,,,,,1,"Woldu, Habte G","Pradeep, Poojitha",,,,
BIOL,3161,0U2,3,14,6,3,4,3,5,3,1,,,,,1,"Candas, Mehmet","Krishnamohan, Aishwarya","Ray, Ashvini","McDill, Parker M","Dey, Sanchareeka","Song, Ming"
HLTH,3300,0U1,,9,11,7,3,7,,1,3,,3,,,0,"Byrnes, Kathleen A",,,,,
BCOM,3200,0U1,,35,1,5,1,,2,,,,,,,0,"Berardi, Caryn S",,,,,
BUAN,6337,5U1,,7,11,10,13,3,,,,,,,,0,"Chatterjee, Sourav","Kamatham, Sriharsha",,,,
BUAN,6340,5U1,,40,,,2,,,1,,,,,,1,"Parker, Jason A","Zhu, Wangsheng",,,,
BUAN,6346,5U1,,31,9,3,,,,,,,,,,1,"Perez, Jerry","Tang, Ping",,,,
MKT,6332,0W1,,12,11,13,6,2,,,,,,,,0,"Biswas, Abhijit","Kasaian, Keyvan",,,,
MATH,2420,0U1,16,5,4,1,4,2,1,2,,1,3,,4,1,"Ramakrishna, Viswanath","Thompson, Patrick A","Adabrah, Anani Komla",,,
HIST,2301,591,,12,,,12,,,10,,1,6,2,2,0,"Volanto, Keith J","Varghese, Shawn",,,,
PSY,3331,0U1,,12,2,2,6,4,2,5,2,,4,,6,0,"Huxtable-Jester, Karen J","Knoch, Desiree'",,,,
PSY,3360,5U1,4,2,2,5,6,3,6,3,,6,,,6,2,"Assmann, Peter","Gryder, Kieth",,,,
ACCT,6344,0W1,,15,12,8,5,3,1,,,,,,,1,"Gurun, Umit","Gencer, Nur Pinar",,,,
HMGT,6403,AS1,,43,,2,,,,,,,,,,0,"McCracken, John","Barden, John P",,,,
MECO,6303,0W2,,8,1,5,13,,6,12,,,,,,0,"Lewin, Peter","Zhao, Yabo",,,,
OPRE,6332,5U1,,23,9,8,1,2,2,,,,,,,0,"Ramanathan, Kannan","Li, Yining",,,,
HMGT,6404,AS1,,46,,,,,,,,,,,,0,"McCracken, John","Convery, Paul",,,,
BIOL,3161,0U1,1,11,5,5,7,6,3,4,,1,2,,1,0,"Candas, Mehmet","Dey, Sanchareeka","McDill, Parker M","Krishnamohan, Aishwarya","Ray, Ashvini","Song, Ming"
CS,3341,0U1,12,4,1,2,6,2,3,5,2,2,,3,5,0,"Whalen, Tristan G","Chen, Ying","Dey, Asim K",,,
ECS,3361,0U1,3,18,10,6,6,4,,,,,,,,0,"McCaskill, John R","Johnson, Sara K",,,,
OB,6307,0W1,,38,1,,7,,,1,,,,,,0,"Richard, Orlando","Boncoeur, Olivier D",,,,
ACCT,6202,0W2,,6,11,15,10,3,,1,,,,,,1,"Janakiraman, Surya","Kale, Devendra",,,,
AMS,4385,0W1,18,11,8,1,3,,1,2,,,,,2,2,"Winstead, Elizabeth L",,,,,
MKT,3300,0W1,,22,6,2,4,6,,7,1,,,,,0,"Pahwa, Parneet","Roshangarzadeh, Reza",,,,
OPRE,3360,5U1,5,7,5,7,2,4,4,3,4,,,1,3,3,"Naseri Taheri, Mohammad","Li, Yining",,,,
ISNS,2367,0W2,2,12,3,6,8,4,2,1,1,1,,1,5,2,"Pujana, Ignacio",,,,,
PHYS,2325,0U1,11,9,3,2,4,3,1,2,4,,4,1,2,2,"Ishak-Boushaki, Mustapha","Agashe, Anish N","Chinthak Murali, .",,,
CRIM,3301,0W1,17,21,4,1,4,,,1,,,1,,,0,"Shih, Meng Ru",,,,,
BPS,4305,0U1,17,7,10,3,5,1,1,1,4,,,,,0,"Carraher, Shawn M",,,,,
MKT,6352,0W1,,23,5,7,9,4,,1,,,,,,0,"Tirone, Guido",,,,,
MATH,2415,0U1,7,2,8,11,5,1,4,7,1,,,,2,1,"Eydelzon, Anatoly","Shen, Sijie","Soliman, Marwah M",,,
PHYS,1301,0U1,7,15,3,2,4,4,,4,2,1,2,,5,0,"Slinker, Jason D","Wettasinghe, Ashan P","Asaadzade, Asiye",,,
MIS,6360,0W1,,14,18,7,7,3,1,,,,,,,0,"Thouin, Mark",,,,,
PSY,3310,5U1,,10,8,9,11,4,3,1,2,,2,,1,0,"Bonner, Deborah L","Zhu, Yiyi",,,,
