Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W
"Pourkamali, Siavash","Qaradaghi, Vahid",,,,,EE,3310,5U1,4,6,7,4,,,,,1,,1,,1,,,,,,
"Pourkamali, Siavash","Shahshahani, Masoud",,,,,EE,3311,0U1,6,6,4,4,2,,1,,2,,1,,,,,,,,
"Ardestani Khoubrouy, Soudeh","Birjandtalab Golkhatm, Javad",,,,,EE,3302,0U1,3,3,5,3,6,3,2,2,2,,1,1,1,,,,,,
"Kiasaleh, Kamran",,,,,,EE,3301,0U1,,7,,1,2,4,5,3,4,,3,,4,,,,,,
"Tamil, Lakshman",,,,,,EEBM,7V87,0W1,,17,6,3,,,,,,,,,,,,,,,
"Sechen, Carl","Xu, Xiangyu","Hu, Bo",,,,EECT,7325,5U1,,9,8,5,,,,,,,,,,,,,,,
"Tinker, Mark T",,,,,,EEMF,6372,5U1,,9,4,5,2,,,,,,,,,,,,,,
"Tamil, Lakshman",,,,,,EEOP,6314,0H1,,10,2,4,,,,,,,,,,,,,,,1
"Henderson, Rashaunda M","Baral, Ashwin Bhobani",,,,,EERF,7V89,0W1,,15,1,,1,,,,,,,,,,,,,,1
"Ali, Mohammed Z","Akbar, Md Navid",,,,,ENGR,3300,0U2,3,8,3,2,2,2,,3,,,,1,,,,,,,
"Skinner, Neal G","Tao, Fei",,,,,ENGR,2300,0U1,1,5,2,7,5,4,3,,2,1,,,2,,,,,,
"Ali, Mohammed Z","Akbar, Md Navid","Shankar, Nikhil",,,,ENGR,3300,0U1,1,15,,5,5,2,1,8,,,,,,,,,,,
"Fonseka, John",,,,,,ENGR,3341,0U1,3,1,3,1,5,3,5,4,4,,2,5,7,,,,,,
"Guengerich, Steven","Kim, Dong Shin",,,,,ENTP,3301,0U1,,,2,5,2,3,1,,,,,,,,,,,,
"Edsel, Alexander D","Surolia, Prakhar",,,,,ENTP,4335,0W1,,1,2,2,1,1,4,,2,,,,,,,,,,
"Pedigo, Madison F",,,,,,ENTP,6370,5U1,,11,,,8,,,,,,,,,,,,,,
"Bochsler, Daniel C",,,,,,ENTP,6375,0W1,,21,8,1,2,3,,,,,,,1,,,,,,1
"Hubbard, Sean P",,,,,,EPPS,2302,5U1,3,1,2,1,,2,,,,,,,4,,,,,,
"Richardson, Debra L",,,,,,FIN,3370,0U1,,3,,,5,,,1,,,1,,,,,,,,
"Lynch, Julie","DeCourcy, George A",,,,,FIN,3305,5U1,1,3,,2,2,1,1,1,,,,,,,,,,,
"Xiao, Serena W",,,,,,FIN,4300,0U1,3,3,2,1,4,1,,,1,,,,1,,,,,,
"Springate, David J",,,,,,FIN,6311,SU1,,6,4,2,2,2,,,,,,,,,,,,,
"Day, Theodore",,,,,,FIN,6360,SU1,,4,3,2,5,2,,,,,,,,,,,,,
"Reichert, Carolyn A",,,,,,FIN,6301,XS1,,7,5,2,1,,1,,,,,,,,,,,1,
"Lynch, Julie","Guttery, Randall",,,,,FIN,3300,0U1,,1,3,,7,,,5,,,1,,,,,,,,
"Reichert, Carolyn A",,,,,,FIN,6301,PU1,,9,3,4,1,,,,,,,,,,,,,,
"Kummer, Adnan",,,,,,FIN,6366,GW1,,15,3,,,,,,,,,,,,,,,,
"Baranchuk, Nina",,,,,,FIN,6350,5U1,,9,3,1,3,1,,1,,,,,,,,,,,1
"Smith, Kenneth L",,,,,,FIN,3350,5U1,,8,,,4,,2,2,,,2,,2,,,,,,
"Pedigo, Madison F",,,,,,FIN,3360,0U1,,4,3,1,5,4,,1,,,1,1,,,,,,,
"Guttery, Randall",,,,,,FIN,6321,5U1,,4,1,,10,1,,4,,,,,,,,,,,
"Ghai, Rajesh",,,,,,FIN,6360,5U1,,11,,,5,4,,,,,,,,,,,,,
"Khanapure, Revansiddha B",,,,,,FIN,6301,5U1,,3,4,7,3,2,,,,,,,,,,,,,3
"Manzi, Jeff","Han, Munhee",,,,,FIN,6314,0W1,,8,2,2,11,1,,1,,,,,,,,,,,
"Manzi, Jeff","Han, Munhee",,,,,FIN,3320,0U2,2,3,3,3,8,3,1,3,1,,1,,,,,,,,
"Peabody, Stephen D","Sharma, Varun",,,,,FIN,3320,0U4,,3,1,2,4,3,2,3,4,2,2,3,1,,,,,,
"El-Ashmawi, Amal H",,,,,,FIN,3390,5U1,4,,6,4,3,1,1,3,1,,3,5,1,,,,,,1
"Manzi, Jeff","Han, Munhee",,,,,FIN,3320,0U1,,7,3,1,10,4,1,3,,1,2,,,,,,,,2
"Ma, Liping","Sharma, Varun",,,,,FIN,6306,5U1,,15,5,6,3,6,1,,,,,,,,,,,,1
"Fahimi, Mohammad Mahdi",,,,,,FIN,3320,5U1,3,6,4,6,4,6,4,2,1,1,,,,,,,,,
"Lewin, Peter","Han, Munhee",,,,,FIN,6308,0W1,,14,6,3,4,9,,2,,,,,,,,,,,
"Peabody, Stephen D","Sharma, Varun",,,,,FIN,3320,0U3,1,5,7,10,3,6,3,2,,1,,,1,,,,,1,
"Mjigal, Tahar",,,,,,FIN,3330,5U1,6,11,23,2,,,,,,,,,,,,,,,
"Noland, Jeff","Han, Munhee",,,,,FIN,6352,5U2,,14,10,13,7,10,,,,,,,,,,,,,
"El-Ashmawi, Amal H",,,,,,FIN,6301,0W1,,47,,,6,,,2,,,,,,,,,,,2
"Vakulenko, Irina",,,,,,GEOG,3372,051,1,2,2,3,4,2,3,3,,,,,2,,,,,1,
"Geissman, John W",,,,,,GEOS,3300,0S1,,2,2,4,2,1,,,,,,,,,,,,,
"Griffin, William R",,,,,,GEOS,1303,051,,,,2,4,1,2,2,2,1,,,,,,,,,1
"Chun, Yongwan",,,,,,GISC,6387,5U1,,5,7,5,2,,,,,,,,,,,,,1,1
"Culp, Justin G",,,,,,GOVT,2305,0U1,,12,,1,8,,,6,,,2,,,,,,,,1
"Lux, Ryan J",,,,,,GOVT,2306,092,,3,7,5,4,8,4,,,1,,1,5,,,,,,1
"Ewing, Donna M",,,,,,HDCD,6370,0U1,,7,1,1,1,,,1,,,,,,,,,,,
"Schulze, Jeffrey",,,,,,HIST,3396,051,,3,4,2,,3,2,,2,,,1,1,,,,,,
"Dennis, Patrick W",,,,,,HIST,3328,091,,2,3,5,3,5,4,1,2,,,,4,,,,,,1
"Volanto, Keith J","Ye, Huiping",,,,,HIST,2301,591,,17,,,16,,2,4,,,3,,5,,,,,1,
"Baetge, Claire",,,,,,HLTH,1301,0W1,,14,7,,4,1,,,1,,,,2,,,,,,
"Byrnes, Kathleen A",,,,,,HLTH,3300,0U1,,3,9,9,5,7,5,1,1,1,,1,1,,,,,,
"Malaise, Michael",,,,,,HMGT,6331,5U1,,9,,3,,,,,,,,,,,,,,,
"Jacob, Stephen",,,,,,HMGT,6330,CH1,,13,1,1,1,,,,,,,,,,,,,,
"Ramanathan, Kannan",,,,,,HMGT,6332,5U1,,11,5,4,3,,,,,,,,,,,,,,
"Fleming, Forney F",,,,,,HMGT,6320,CH1,,26,1,1,1,,,,,,,,,,,,,,
"Convery, Paul","Deegan, Michael","McCracken, John",,,,HMGT,6408,AS1,,46,1,,,,,,,,,,,,,,,,
"Amato, Lawrence A","Ott, Lynette",,,,,HUMA,1301,051,10,10,7,3,3,1,3,1,,,,1,4,,,,,,1
"Brewer, Kenneth L",,,,,,HUSL,6305,551,,14,,,,,,,,,,,,,,,,,
"Siklar, Kurt",,,,,,IMS,6360,0W1,,8,3,1,3,,1,,,,,,,,,,,,
"Kiser, Stephen L",,,,,,IMS,6204,XS1,,6,10,,,,,,,,,,,,,,,1,
"Kiser, Stephen L",,,,,,IMS,6204,GH1,,7,11,,,,,,,,,,,,,,,,
"Peinhardt, Clint W",,,,,,IMS,6213,GW1,,2,2,3,7,3,,1,,,,,,,,,,,
"Katz, Lothar",,,,,,IMS,6253,GH1,,3,3,5,7,,,,,,,,,,,,,,
"Petrik, Peter","McCracken, John",,,,,IMS,6204,AW1,,11,,,9,,,,,,,,3,,,,,,2
"Henderson, Tom",,,,,,IMS,3310,0U2,,14,1,5,6,,1,4,1,,1,,1,,,,,,
"Henderson, Tom",,,,,,IMS,3310,5U1,,8,4,3,6,1,1,8,,,3,,2,,,,,,
"Woldu, Habte G","Kim, Kyun",,,,,IMS,6204,0W1,,11,15,8,7,1,,,,,,,,,,,,,3
"Li, Xiujuan",,,,,,IMS,3310,0U1,2,5,14,13,7,3,,,,,1,,,,,,,,
"Rosa, Jonathan",,,,,,ISIS,3335,091,7,2,4,4,2,1,1,,,1,,,4,,,,,,
"Pujana, Ignacio",,,,,,ISNS,2367,0W2,13,11,3,2,2,1,1,,1,,1,1,5,,,,,,
"Pujana, Ignacio",,,,,,ISNS,2367,0W1,28,29,13,7,7,4,1,1,,1,,2,3,,,,,,1
"Pujana, Ignacio",,,,,,ISNS,2359,0W1,63,9,4,5,2,4,3,1,1,1,1,3,8,,,,,,
"Thompson, Luell O","Sun, Geng",,,,,ITSS,4340,0U1,,3,4,2,6,,,,,,,,1,,,,,,
"Shekhar, Gaurav","Pakala, Tharun Reddy",,,,,ITSS,4351,5U1,,1,2,5,6,,2,,,,,,,,,,,,
"Islam, Naser","Sun, Geng",,,,,ITSS,4330,5U1,1,4,2,6,9,,1,1,,,,,,,,,,,
"Owens, Dawn M","Pakala, Tharun Reddy",,,,,ITSS,4300,5U1,,3,3,8,4,4,1,4,1,,,,1,,,,,,
"Yang, Mingwen",,,,,,ITSS,3312,5U1,10,14,3,2,,,,,,,,,,,,,,,
"Arora, Vivek","Hosseini, Leila",,,,,ITSS,3390,5U1,6,9,6,5,3,,,,,,,,1,,,,,,1
"Samuel, Jayarajan",,,,,,ITSS,3300,5U1,,13,12,7,8,,1,1,1,,1,,1,,,,,,
"Akar, Ezgi","Ozdemir, Dicle Yagmur",,,,,ITSS,3300,0U1,,3,9,9,7,3,4,1,4,1,1,1,2,,,,,,2
"Kim, Yeongin",,,,,,ITSS,3311,5U1,1,21,10,11,,,2,,,,,,1,,,,,,
"Gonzalez, Cristina M",,,,,,LANG,2V42,051,,15,,,,,,,,,,,,,,,,,
"Hunt, Shamim",,,,,,LIT,2331,591,3,2,4,1,,,,1,1,,,,2,,,,,,
"Ingrao, Peter J",,,,,,LIT,3327,051,5,6,6,4,1,1,2,1,1,,1,,,,,,,,
"Bruce, Norris I",,,,,,MAS,6V05,0U2,,4,4,3,,,,,,,,,,,,,,,
"Cirilo, Jason M",,,,,,MAS,6102,0U1,,,,,,,,,,,,,,,,,20,,1
"Nguyen, Mylinh T","Kotinkaduwe Rankothgedara, Lak Nilusha K",,,,,MATH,1314,0S1,2,2,1,1,1,,,1,,,,,,,,,,,1
"Akbar, Mohammad M","Thiam, Abdoulaye",,,,,MATH,2312,0S1,3,4,,1,,1,,,1,,,,,,,,,,
"Ramakrishna, Viswanath",,,,,,MATH,2413,3S1,,,,,,,,,,,,,,,,,,,
"Eydelzon, Anatoly",,,,,,MATH,2419,8U2,,,,,,,,,,,,,,,,,,,
"McCary, Brady C",,,,,,MATH,1326,5U1,,3,,,,1,,1,1,,1,,3,,,,,,1
"Ramakrishna, Viswanath","Adabrah, Anani Komla",,,,,MATH,2413,0S1,10,1,,,,,,,,,,,,,,,,,
"Mussa, Derege","Zhou, Qinyi",,,,,MATH,1306,0U1,1,,2,1,4,1,,2,,,,1,1,,,,,,
"Aman, Kelly",,,,,,MATH,2414,8U2,,,,,,,,,,,,,,,,,,,
"Eydelzon, Anatoly",,,,,,MATH,2451,8U2,,,,,,,,,,,,,,,,,,,
"Nguyen, Mylinh T","Jayathilaka, Herath M",,,,,MATH,1314,0U1,3,,,1,,2,2,1,,,1,,3,,,,,,
"Eydelzon, Anatoly",,,,,,MATH,2419,8U1,,,,,,,,,,,,,,,,,,,
"Aman, Kelly",,,,,,MATH,2414,8U1,,,,,,,,,,,,,,,,,,,
"Dahal, Rabin",,,,,,MATH,2415,8U1,,,,,,,,,,,,,,,,,,,
"Eydelzon, Anatoly",,,,,,MATH,2451,8U1,,,,,,,,,,,,,,,,,,,
"Dahal, Rabin",,,,,,MATH,2415,8U2,,,,,,,,,,,,,,,,,,,
"McCary, Brady C",,,,,,MATH,1326,0U2,2,2,2,,2,2,1,2,1,1,,,3,,,,,,1
"Akbar, Mohammad M",,,,,,MATH,2413,3U1,,,,,,,,,,,,,,,,,,,
"Ahsan, Mohammad K",,,,,,MATH,2417,3U1,,,,,,,,,,,,,,,,,,,
"Dahal, Rabin",,,,,,MATH,2418,8U2,,,,,,,,,,,,,,,,,,,
"Ramakrishna, Viswanath",,,,,,MATH,2420,8U2,,,,,,,,,,,,,,,,,,,
"Li, Changsong",,,,,,MATH,1325,5U1,3,5,5,,,4,2,,,,,1,2,,,,,,
"Aman, Kelly","Eze, Izuchukwu A","Rakotomalala, Diarisoa Mihaja Andriamanisa","Chowdhury, Md Mujibur Rahman",,,MATH,2414,0U2,1,2,2,3,4,5,1,1,1,,,,2,,,,,,
"Ahsan, Mohammad K","Helal, Md Abu",,,,,MATH,2417,0U1,5,,2,2,1,,,2,2,,2,2,5,,,,,,
"Ramakrishna, Viswanath",,,,,,MATH,2420,8U1,,,,,,,,,,,,,,,,,,,
"Dahal, Rabin",,,,,,MATH,2418,8U1,,,,,,,,,,,,,,,,,,,
"Eydelzon, Anatoly","Khan, Samreen S","Khan, Md Arafat H","Mamun, Abdullah A",,,MATH,2419,0U1,,,3,1,2,5,4,1,7,,,,4,,,,,,
"Akbar, Mohammad M","Akhavan Varnousfadera, Mohammadmehdi","Wadippuli Achchige, Lakmi Niwanthi",,,,MATH,2413,0U1,1,3,4,2,,7,,3,3,,1,,6,,,,,,
"Eydelzon, Anatoly","Gudoshnikov, Ivan","Helal, Abdullah Al",,,,MATH,2451,0U1,2,6,5,1,3,2,2,4,6,,,,1,,,,,,
"Aman, Kelly",,,,,,MATH,2414,8U3,,,,,,,,,,,,,,,,,,,
"Dahal, Rabin","Popa, Jonathan M","Lama, Sonam",,,,MATH,2415,0U1,3,4,4,2,6,5,5,3,1,1,1,1,2,,,,,,
"Aman, Kelly","Eze, Izuchukwu A","Rakotomalala, Diarisoa Mihaja Andriamanisa","Chowdhury, Md Mujibur Rahman",,,MATH,2414,0U1,1,6,3,4,6,5,1,6,2,1,1,2,5,,,,,,
"Li, Changsong",,,,,,MATH,1326,0U1,4,2,4,4,2,3,,6,2,2,2,3,7,,,,,,1
"Ramakrishna, Viswanath","Shinglot, Vrushaly K","Iudaev, Sergei",,,,MATH,2420,0U1,7,4,5,8,4,1,1,3,2,4,1,,7,,,,,1,
"Dahal, Rabin","Acharya, Subas","Gelir, Fatih",,,,MATH,2418,0U1,10,4,9,1,4,7,1,,3,2,6,1,2,,,,,,
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3105,0U1,1,3,5,1,1,5,3,,,,,,1,,,,,,
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3305,0U1,,,2,4,4,2,3,3,,1,,1,,,,,,,
"Hart, Robert A",,,,,,MECH,4382,0U1,,15,4,1,,,,,,,,,,,,,,,
"Thamban, P.L.Stephan",,,,,,MECH,2310,0U1,,4,2,2,3,3,2,2,,1,,,,,,,,,
"Hart, Robert A",,,,,,MECH,4382,0U2,,9,5,2,4,2,,,,,,,,,,,,,
"Hart, Robert A","Gravell, Jamie D","Upasham, Sayali S",,,,MECH,4381,0U1,,6,9,5,3,,1,,,,,,,,,,,,
"Park, Wooram","Sunny, Sumair F",,,,,MECH,4340,0U1,1,8,7,5,8,4,2,2,3,,,,,,,,,,
"Fadda, Dani Z","Balachandran, Balasubramaniam",,,,,MECH,3320,0U1,2,13,7,8,5,5,4,4,1,,,1,,,,,,1,
"Kiser, Stephen L",,,,,,MECO,6303,AW1,,10,2,,,,,,,,,,1,,,,,,1
"Lewin, Peter","Han, Munhee",,,,,MECO,6303,0W2,,17,12,6,12,,1,1,,,,,,,,,,,
"Lewin, Peter","Han, Munhee",,,,,MECO,6303,0W1,,28,9,7,9,2,,,,,,,,,,,,,1
"Kiser, Stephen L","Sharma, Varun",,,,,MECO,6303,5U1,,14,17,7,8,4,3,1,,,,,1,,,,,,1
"Parker, Jason A","Zhang, Haozhao",,,,,MIS,6356,5U2,,15,,2,,,1,,,,,,,,,,,,
"Saeed, Kashif","Zhang, Haozhao",,,,,MIS,6345,0W1,,8,8,3,3,,,,,,,,,,,,,,
"Thompson, Luell O",,,,,,MIS,6319,0W1,,8,,,14,,,1,,,,,,,,,,,
"Thomas, Sunela","Hosseini, Leila",,,,,MIS,6323,5U1,,11,,,8,,,2,,,,,2,,,,,,
"Kirksey, Kirk",,,,,,MIS,6204,CH1,,25,,,,,,,,,,,,,,,,,
"Narayan, Ravishankar L","Ozdemir, Dicle Yagmur",,,,,MIS,6364,0W1,,12,9,5,3,,1,,,,,,,,,,,,1
"Bradbury, Judd D","Sharma, Aman",,,,,MIS,6380,0W2,,8,10,4,8,1,1,1,,,,,,,,,,,
"Bradbury, Judd D","Sharma, Aman",,,,,MIS,6380,0W1,,9,7,7,2,6,5,,,,,,,,,,,,
"Hefley, William E","Ozdemir, Dicle Yagmur",,,,,MIS,6204,0W1,,17,,5,9,,2,3,,,,,4,,,,,,2
"Islam, Naser","Sun, Geng",,,,,MIS,6309,5U1,,18,,11,10,2,,,,,,,2,,,,,,1
"Ryu, Young","Pakala, Tharun Reddy",,,,,MIS,6326,0W1,,18,3,3,15,3,,,,,,,1,,,,,,1
"Thouin, Mark",,,,,,MIS,6360,0W1,,19,12,13,3,,,1,,,,,,,,,,,
"Raghunathan, Srinivasan","Hosseini, Leila",,,,,MIS,6308,0W1,,10,16,13,12,,,,,,,,1,,,,,1,
"Raghunathan, Srinivasan","Hosseini, Leila",,,,,MIS,6308,0W2,,9,22,15,7,,,,,,,,,,,,,,
"Wu, Fang","Zihagh, Fereshteh",,,,,MKT,4380,0W1,,4,,2,5,,1,,,,,,,,,,,,
"Rajaratnam, Daniel",,,,,,MKT,6301,5U2,,3,,6,4,,,,,,,,,,,,,,
"Grigsby, Mike",,,,,,MKT,6337,5U1,,2,,2,9,,,,,,,,,,,,,,
"Amirpour, Semiramis",,,,,,MKT,3330,0U1,3,2,1,2,1,1,,,1,,1,,3,,,,,,
"Hudelot, Loretta F",,,,,,MKT,3340,5U1,,6,,3,6,,,,,,,,,,,,,1,
"Albrecht, Maria",,,,,,MKT,6301,XS1,,15,,,1,,,,,,,,,,,,,1,
"Pacyna, Sandra",,,,,,MKT,4334,5U1,1,2,5,2,5,,2,,,,,,,,,,,,
"Rao, Ram C","Bhave, Ashutosh C",,,,,MKT,6336,0W1,,5,5,4,4,2,,,,,,,,,,,,,
"Rajaratnam, Daniel",,,,,,MKT,6339,0W1,,1,,7,16,,,1,,,,,,,,,,,
"Tirone, Guido",,,,,,MKT,6352,5U1,,10,2,5,6,2,,,,,,,,,,,,,2
"Edsel, Alexander D","Surolia, Prakhar",,,,,MKT,4330,0W1,4,5,2,1,3,5,3,1,3,,,,1,,,,,1,
"Gafford, Jerome M",,,,,,MKT,3300,0U1,2,7,4,7,3,4,,1,2,,2,,,,,,,,
"Dickinson, Keith",,,,,,MKT,3300,5U1,10,10,,,5,,,4,,,1,,3,,,,,,
"Biswas, Abhijit","Jameei Osgouei, Ata",,,,,MKT,6332,0W1,,14,8,9,8,2,3,,,,,,,,,,,,
"Pahwa, Parneet",,,,,,MKT,6301,0W1,,15,5,9,14,3,,1,,,,,,,,,,,
"Pahwa, Parneet",,,,,,MKT,3300,0W1,,20,6,7,15,,,,,,,,1,,,,,,
"Pahwa, Parneet",,,,,,MKT,6301,0W2,,17,8,7,13,,2,2,,,,,,,,,,,
"Edsel, Alexander D",,,,,,MKT,6321,0W1,,14,7,10,16,,2,1,,,,,,,,,,,
"Medrick, Mary A",,,,,,MUSI,3322,051,3,7,2,3,1,2,,1,,,,,,,,,,,
"McWilliams, Steven P","Phensy, Aarron J","Inyang, Kufreobong E",,,,NSC,4353,1U1,,3,3,1,2,1,2,1,1,,,,,,,,,,
"Sultana, Rukhsana","Wilhelm, Rachel","dos Santos, Natalia Lucia","Szabo-Pardi, Thomas A","Garner, Katherine M",,NSC,4353,1U2,,4,6,2,3,,,,,,,,,,,,,,
"Sultana, Rukhsana",,,,,,NSC,4352,0U1,2,4,1,3,1,1,1,,2,1,,,2,,,,,,
"Sultana, Rukhsana",,,,,,NSC,4354,0U1,1,2,8,6,2,1,4,3,2,,1,,1,,,,,,
"McWilliams, Steven P","Lackovic, Jacob",,,,,NSC,3361,0U1,3,5,11,3,5,6,5,5,3,2,3,2,2,,,,,,
"Hicks, Robert",,,,,,OB,6351,CW1,,5,14,2,1,1,,,,,,,,,,,,2,
"Hicks, Robert",,,,,,OB,6249,CW1,,24,,,1,,,,,,,,,,,,,,
"Rockett, Tracey L",,,,,,OB,6331,CW1,,18,3,3,,,,,,,,,1,,,,,,
"Plaisance Bryan, Suzette T",,,,,,OB,6V99,CW2,,28,1,,,,,,,,,,1,,,,,,1
"Kidwell, Virginie",,,,,,OB,6301,5U2,,40,,,,,,,,,,,,,,,,,
"Hasenhuttl, Maria","Jung, Young-Hoon",,,,,OB,6301,0W2,,32,,,6,,,2,,,,,1,,,,,,
"Krapu, Thomas M",,,,,,OB,6352,CW1,,32,5,2,1,1,,,,,,,1,,,,,1,
"Hasenhuttl, Maria","Jung, Young-Hoon",,,,,OB,6301,0W1,,40,,,3,,,,,,,,,,,,,,
"Kidwell, Virginie",,,,,,OB,6301,5U1,,43,,,,1,,1,,,,,,,,,,,
"Richard, Orlando","Kemp, Ayenda",,,,,OB,6307,0W1,,44,2,,1,,,,,,,,,,,,,,3
"Ritchey, David B",,,,,,OBHR,4350,5U1,4,12,4,4,3,4,2,,,,,,,,,,,,
"Nguyen, Huy",,,,,,OBHR,3310,5U1,2,7,9,1,12,1,1,2,,,,,3,,,,,,
"Ritchey, David B",,,,,,OBHR,3310,0U1,6,8,9,7,10,1,1,3,2,1,,1,,,,,,,
"Ramanathan, Kannan",,,,,,OPRE,6354,5U1,,7,1,1,2,,2,,,,,,,,,,,,
"Szot, James","Hefley, William E","Hicks, Jeffrey N",,,,OPRE,6376,PS1,,5,4,1,2,,,,,,,,1,,,,,,
"Rajamani, Divakar",,,,,,OPRE,6342,PU1,,8,3,2,,1,,,,,,,,,,,,,
"Thompson, Luell O",,,,,,OPRE,6390,0W1,,8,,,5,,,1,,,,,,,,,,,
"Kim, Dohyeong",,,,,,OPRE,6301,CH1,,11,1,2,1,1,,,,,,,,,,,,,
"Joiner, James C",,,,,,OPRE,6302,PU1,,14,1,,1,,,,,,,,,,,,,,
"Parks, David",,,,,,OPRE,3310,0U2,,1,3,,4,,,7,,,1,,,,,,,1,
"Sethi, Awanti","Manchiraju, Chandrasekhar Seetharama",,,,,OPRE,6303,0W1,,10,,2,1,,2,,,,,,2,,,,,,
"Cavusoglu, Huseyin","Pakala, Tharun Reddy",,,,,OPRE,6393,0W1,,6,3,3,2,,2,1,,,,,,,,,,,
"Alimirzaei, Athena","Armaghan, Milad",,,,,OPRE,6398,5U1,,21,3,2,2,,,,,,,,,,,,,,
"Cao, Ying",,,,,,OPRE,3310,5U1,16,8,2,7,1,,1,,,,,,,,,,,,
"Ramanathan, Kannan",,,,,,OPRE,6332,5U2,,21,7,4,,1,2,,,,,,1,,,,,1,1
"Sethi, Awanti","Manchiraju, Chandrasekhar Seetharama",,,,,OPRE,6301,5U2,,15,5,5,4,,5,1,,,,,3,,,,,1,2
"Leach, Sonia E","Chen, Jiayu",,,,,OPRE,6302,MBP,,24,4,10,4,1,,,,,,,,,,,,,
"Brussolo, Monica E",,,,,,OPRE,6301,5U1,,18,1,5,5,,1,5,,,,,4,,,,,,5
"Leach, Sonia E","Chen, Jiayu",,,,,OPRE,6301,0W1,,12,12,9,4,3,2,2,,,,,1,,,,,,
"Ramanathan, Kannan",,,,,,OPRE,6332,5U1,,25,9,5,4,1,1,,,,,,1,,,,,,1
"Brussolo, Monica E","Shi, Lingling",,,,,OPRE,3333,0U1,5,5,6,5,3,7,1,2,1,3,,,7,,,,,1,
"ye, Shengqi","Shi, Lingling",,,,,OPRE,6302,0W1,,23,9,8,5,2,2,2,,,,,,,,,,,1
"Leach, Sonia E","Chen, Jiayu",,,,,OPRE,6302,5U1,,19,8,5,7,3,6,2,,,,,3,,,,,,2
"Naseri Taheri, Mohammad","Lee, Chungseung",,,,,OPRE,3360,5U1,4,5,10,11,5,6,4,1,8,,,,,,,,,,
"Naseri Taheri, Mohammad","Lee, Chungseung",,,,,OPRE,3333,5U1,3,6,9,10,6,6,4,4,3,,,,2,,,,,,3
"Alimirzaei, Athena","Armaghan, Milad",,,,,OPRE,3360,0U1,11,7,,9,15,,10,3,,1,1,,2,,,,,,
"Shan, Xi",,,,,,OPRE,3310,0U1,16,22,12,12,11,,,9,,,,,,,,,,,
"Beauchamp, Joe P",,,,,,PA,6318,0W1,,11,1,1,,1,,,,,,,,,,,,,
"Cohen, Galia",,,,,,PA,6345,5U1,,8,6,1,,,,,,,,,,,,,,,
"Harrington, James",,,,,,PA,6315,5U1,,23,5,1,,,,,,,,,1,,,,,,
"Macalevey, Paul J","Fernando, Bharana A","Hussain, Shadhin","Parajuli, Santosh",,,PHYS,2126,1U2,2,6,4,,,,,,,,1,,,,,,,,
"Malko, Anton V","Proctor, Matthew S",,,,,PHYS,2325,0U1,,3,3,3,1,1,,2,1,,,,1,,,,,,
"Sun, Kuei","Mahmud, Mohammad M","Zhou, Xiaohe",,,,PHYS,2125,1U2,10,10,,,,,,,,,,,,,,,,,
"Ishak-Boushaki, Mustapha","Gu, Wenyao",,,,,PHYS,2325,5U1,5,5,4,3,3,,1,,1,,,,,,,,,,
"Macalevey, Paul J","Fernando, Bharana A","Kakani, Vivek M","Parajuli, Santosh",,,PHYS,2126,1U1,10,11,1,1,,,,,,,,,,,,,,,
"Sun, Kuei","Agashe, Anish N","Javed, Umar",,,,PHYS,2125,1U1,4,19,,1,1,1,1,,,,,,3,,,,,,
"Slinker, Jason D",,,,,,PHYS,1301,0U1,10,10,3,,3,2,3,2,,2,1,,6,,,,,,
"Gartstein, Yuri","Pedersen, Eske M","Bhattacharjee, Koustubh",,,,PHYS,2326,0U1,2,9,9,4,7,6,2,6,2,1,1,,,,,,,,
"Das, Soham",,,,,,PSCI,4396,0U1,5,3,4,3,1,,1,,,,,1,,,,,,,
"Kapolowicz, Michelle R","Gonen, Chen",,,,,PSY,3393,5U1,4,2,4,3,,1,,,,,,,,,,,,,1
"Huxtable-Jester, Karen J","Austin, Kathryn A",,,,,PSY,3339,0U1,,4,,1,3,1,2,,1,,1,,2,,,,,,
"Hahn, Amanda C","Debrabander, Kilee M",,,,,PSY,3393,0U1,5,3,2,1,2,,,2,,,,,2,,,,,,
"Kapolowicz, Michelle R","Gunal, Mehmet",,,,,PSY,3393,5U2,2,9,2,,3,1,,,,,,,,,,,,,
"Pacheco, Daniel F","Carson, Kevin J",,,,,PSY,2317,0U1,,,7,3,4,3,1,1,2,,,,,,,,,,
"Raman, Rachna","Adelson, Megan J",,,,,PSY,3392,0U1,4,2,3,1,3,4,3,4,2,1,,,1,,,,,,
"Barfoot, John W","Peskova, Olga",,,,,PSY,3342,0U1,1,6,4,8,5,2,1,1,2,,,,,,,,,,1
"Assmann, Peter","Gryder, Kieth",,,,,PSY,3360,5U1,3,1,5,3,8,6,2,3,3,1,1,,1,,,,,,1
"Meltzer, Mitchell A","Wu, Sining",,,,,PSY,3361,0U1,,13,6,8,4,1,5,2,2,2,3,1,,,,,,,
"Sands, Kaitlin R","Terry, Courtney",,,,,PSY,3310,0U1,,4,8,7,11,6,4,5,2,2,,,3,,,,,,
