Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W
"Mcvay, Michael",,,,,,MUSI,2328,001,2,6,,1,,1,,2,,,,,4,,,,,,1
"Bovda, Alisa Y",,,,,,RHET,1302,028,,7,3,3,,1,,,1,,,,4,,,,,,0
"Tehan, Terin J",,,,,,RHET,1302,029,,14,1,2,,,,,1,,1,,,,,,,,0
"Crawford, Rachel",,,,,,RHET,1302,030,1,6,,3,,,,,,,,,3,,,,,,1
"Kirk, Kristina E",,,,,,RHET,1302,031,6,6,,,1,,,1,1,,,,2,,,,,,0
"Ali, Shazia",,,,,,RHET,1302,032,5,9,4,1,,,,,,,,,,,,,,,0
"Ott, Lynette",,,,,,RHET,1302,033,,4,4,1,2,2,,1,,1,,,3,,,,,,0
"Keeth, Sara L",,,,,,RHET,1302,0H1,5,2,1,2,3,3,,,1,,,1,1,,,,,,0
"Hamilton, Cristen",,,,,,RHET,1302,501,,6,2,4,3,1,,1,1,,,,,,,,,,0
"Hamilton, Cristen",,,,,,RHET,1302,502,,3,4,6,5,1,,,,,,,,,,,,,0
"Durant, Stephanie D",,,,,,ARTS,3379,001,2,7,5,2,2,,,,,,1,,,,,,,,0
"Palmer, Marcy A",,,,,,ARTS,3379,002,,1,9,2,3,,1,1,,,,,2,,,,,,0
"Shi, Shuai",,,,,,CHIN,1311,002,4,3,1,5,1,,,,,,,,1,,1,,,,0
"Zisman, Noah I",,,,,,CRWT,4354,001,8,1,,1,1,,,,1,,,,,,,,,,0
"Hanlon, Michele J",,,,,,DANC,2321,001,16,6,,2,,,,,,,,,,,,,,,0
"Gu, Ming D","Tang, Le",,,,,HUMA,1301,009,4,8,6,11,10,2,9,6,,1,1,,8,,,,,,3
"Ingrao, Peter J",,,,,,LIT,3326,001,7,2,5,1,,,,1,,,,,,,,,,,0
"Widomski, Chris",,,,,,MUSI,1306,002,5,11,11,4,2,1,,5,2,2,,,3,,,,,,1
"Medrick, Mary A",,,,,,MUSI,2317,002,1,13,3,,,,,,,,,,1,,,,,,0
"Evans, Kathryn C",,,,,,MUSI,4385,001,,11,3,,3,,,,,,,,2,,,,,,0
"Durbin, Kelly",,,,,,MUSI,4386,001,3,10,,,,,,,,,,,,,,,,,0
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,001,6,1,3,10,7,7,9,5,2,2,,,12,,,,,,4
"Camacho-Guardado, Lorena",,,,,,SPAN,2311,001,2,7,8,2,,1,1,,1,,,,,,,,,,1
"Hodan, Daniel M",,,,,,MUSI,2315,501,,6,3,,1,,,,,,,,,,,,,,0
"Leek, Patricia A",,,,,,LIT,3315,002,,13,1,2,1,,1,1,,,,,,,,,,,0
"Metz, Greg L",,,,,,ARTS,3378,001,,5,2,,3,1,,3,,,,,,,,,,1,0
"Carter, Rebecca S",,,,,,ARTS,3381,001,1,7,4,1,,3,,,,,,,,,,,,,0
"Madriguera, Enric F",,,,,,MUSI,4316,001,,8,5,,,,,,,,,,,,,,,,0
"Durbin, Kelly",,,,,,MUSI,3325,001,1,2,5,1,1,,,,,,,,,,,,,,0
"Camacho-Guardado, Lorena",,,,,,SPAN,2312,001,4,2,9,1,1,,1,,,,,,,,1,,,,1
"Leek, Patricia A",,,,,,LIT,3315,003,,12,7,1,2,1,,,,,,,,,,,,,0
"Keeth, Sara L",,,,,,RHET,1302,0H2,3,3,5,3,1,,,,,,,,2,,,,,,1
"Keeth, Sara L",,,,,,RHET,1302,0H3,2,5,1,2,4,2,1,1,,,,,,,,,,1,0
"Manes, Christopher L",,,,,,RHET,1302,503,1,1,3,3,3,3,1,,1,,,,1,,,,,,2
"Ali, Shazia",,,,,,RHET,1302,504,1,11,2,2,2,,,,,1,,,,,,,,,0
"Durant, Stephanie D",,,,,,ARTS,3371,002,1,4,6,3,2,1,,,,,,,,,,,,,0
"Petty, John E","Cochran, Tyler",,,,,FILM,2332,001,1,11,12,9,7,11,14,2,5,2,2,1,10,,,,,,0
"Burnett, Lora D","Dunbar, Amanda R",,,,,HIST,1302,008,19,41,14,6,7,2,1,,,,,,,,,,,,0
"Burnett, Lora D","Varghese, Shawn",,,,,HIST,1302,009,24,45,5,,11,1,,1,,,,,1,,,,,,0
"Pfister, Debra H",,,,,,HIST,4344,001,3,10,18,2,3,1,1,,3,,,,1,,,,,1,2
"McLean, Adrienne L",,,,,,HUAS,7360,001,,6,1,,,,,,,,,,,,,,,,0
"Ingrao, Peter J","Thomas, Kathryn E",,,,,HUMA,1301,008,30,6,9,6,14,3,,,,,,,1,,,,,,1
"McLean, Adrienne L",,,,,,FILM,3321,001,8,6,4,13,4,7,2,,,,,,1,,,,,,0
"Palant, Jonathan",,,,,,MUSI,1306,004,,14,15,6,4,,,4,1,,,,2,,,,,,1
"Starnaman, Sabrina",,,,,,ARHM,3342,501,8,4,,2,,,,,3,,,,5,,,,,1,5
"Palmer, Marcy A",,,,,,ARTS,3372,002,,2,5,2,2,3,3,,,,1,,,,,,,,1
"Conrad, Sharron W",,,,,,HIST,1301,002,,15,2,7,7,5,2,1,2,,3,,2,,,,,,2
"Pfister, Debra H",,,,,,HIST,4344,501,15,8,7,4,,2,,,1,,,,3,,,,,,0
"Roemer, Nils H",,,,,,HUHI,6320,001,,15,1,1,,,,,,,,,,,,,,1,1
"Kroska, Nami",,,,,,JAPN,2312,001,2,3,7,2,3,1,1,,1,,,,1,,,,,,0
"Al-Habashneh, Eman Bahjat",,,,,,LIT,2331,003,,3,6,2,1,4,1,2,,,,,4,,,,,,1
"Biswas, Madhavi",,,,,,LIT,2331,002,,11,5,6,,,,,,,,,1,,,,,,0
"Austin-Bolt, Caroline M",,,,,,LIT,2341,501,,4,3,2,2,,,1,,,,1,1,,,,,,0
"Starnaman, Sabrina","Alhashmi, Rawad Y",,,,,LIT,3317,501,15,12,14,20,14,4,4,2,,,1,,3,,,,,,1
"Hatfield, Charles D",,,,,,LIT,3339,001,2,5,16,8,,,,,,,,,1,,,,,1,1
"Baker, Barbara L",,,,,,COMM,1311,001,1,,1,3,5,5,4,3,,,1,,,,,,,,1
"Baker, Barbara L",,,,,,COMM,1311,002,,1,5,2,5,4,1,2,1,,,,1,,,,,,2
"Totusek, Patricia F",,,,,,COMM,1311,003,7,7,2,3,4,1,,,,,,,,,,,,,0
"Arnold, Bob",,,,,,COMM,1311,004,2,5,2,1,1,4,1,3,1,,,,2,,,,,,1
"Arnold, Bob",,,,,,COMM,1311,005,,7,5,2,5,1,,2,,,,,1,,,,,,0
"Totusek, Patricia F",,,,,,COMM,1311,006,4,5,6,4,1,,2,,,,,,,,,,,,1
"Totusek, Patricia F",,,,,,COMM,1311,007,4,6,6,4,2,,,1,,,,,,,,,,,0
"Juarez, Veronica",,,,,,COMM,1311,008,4,8,1,4,1,2,,2,,,,,2,,,,,,0
"Williams, Alecia N",,,,,,COMM,1311,501,1,2,2,3,7,,,1,,,,2,2,,,,,,1
"Stewart, Derek A",,,,,,COMM,1311,009,11,8,2,1,1,,,,,,,,,,,,,,1
"Hanson, Jocyln Y",,,,,,COMM,1311,010,12,2,4,1,2,,,1,,,,,1,,,,,,1
"Hanson, Jocyln Y",,,,,,COMM,1311,011,18,2,2,1,,,,,,,,,,,,,,,1
"Templeton, Allison A",,,,,,COMM,1311,012,2,2,4,1,4,1,2,2,1,1,1,1,2,,,,,,0
"Moss, Daniel J",,,,,,COMM,1311,020,2,2,3,1,2,2,2,,,,2,,3,,,,,,1
"Juarez, Veronica",,,,,,COMM,1311,015,,5,1,2,1,1,,1,1,,,,2,,,,,,1
"Krishnaswamy, Nandini",,,,,,COMM,1311,016,4,6,2,3,1,2,2,1,,,,,,,,,,,2
"Baynham, Karen M",,,,,,COMM,1311,503,4,2,2,1,4,2,,,,1,,,2,,,,,,1
"Saba, Monica",,,,,,DANC,1310,0H1,2,22,4,1,1,2,,,,,,,,,,,,,0
"Cohen, Milton",,,,,,HUSL,6304,001,,2,,2,2,,,,,,,,1,,,,,,0
"Templeton, Allison A",,,,,,COMM,1311,013,2,7,3,1,8,1,,,,,,,1,,,,,,1
"Vincent, Shelby D",,,,,,SPAN,1311,002,,5,6,4,3,1,,1,,1,,,1,,,,,,1
"Wright, Ben","Jacobs, Janet K",,,,,HIST,1301,003,,20,19,12,12,5,3,2,1,,1,2,9,,,,,,2
"Frierson, Malcom","Goldmann, Kerry",,,,,HIST,1302,007,2,9,21,12,11,9,5,4,6,2,1,1,4,,,,,,0
"Salisbury, Linda J",,,,,,MUSI,1306,003,6,33,,4,4,1,,,,,,,1,,,,,,0
"Stewart, Derek A",,,,,,COMM,1311,014,6,2,8,2,4,1,,,,,,,1,,,,,,0
"Goode, Dianne H","Delin, Jacquelyn M",,,,,AHST,1303,002,5,17,6,8,9,6,4,6,5,4,6,1,8,,,,,,5
"Goode, Dianne H",,,,,,AHST,3316,001,12,8,3,4,4,4,3,2,,,1,,5,,,,,,1
"Goode, Dianne H",,,,,,AP,3340,001,,5,2,5,,1,2,2,1,1,,1,,,,,,,0
"Gu, Ming D",,,,,,ARHM,3342,001,,5,2,7,4,,2,1,,,,,1,,,,,,0
"Lacy, Mary E",,,,,,ARTS,3367,001,,11,,,7,,,,,,,,,,,,,,1
"Metz, Greg L",,,,,,ARTS,4310,501,,8,2,,4,1,,,,,,,,,,,,,0
"Baynham, Karen M",,,,,,COMM,1311,0W1,7,6,2,2,2,1,1,,,,1,,1,,,,,,0
"Templeton, Allison A",,,,,,COMM,1311,0W2,,8,4,1,2,2,2,1,,,,,3,,,,,,0
"Templeton, Allison A",,,,,,COMM,1311,0W3,,5,3,2,4,1,1,2,,,,,2,,,,,,1
"Tanner, Lari J",,,,,,COMM,1311,0W4,4,5,4,4,4,,,1,,,,,1,,,,,,0
"Honea, Emily",,,,,,COMM,1311,0W5,2,11,2,1,2,,2,,,,,,3,,,,,,0
"Honea, Emily",,,,,,COMM,1311,0W6,1,2,6,1,2,2,1,1,,,1,1,4,,,,,,0
"Gregory, Mona Y",,,,,,COMM,1311,0W7,2,5,,2,1,,,,2,,,1,2,,,,,,0
"Martinez, Manuel L",,,,,,CRWT,3307,501,2,14,2,,,,,,,,,,,,,,,,0
"Berthold, Barbara",,,,,,GERM,2312,001,4,4,2,,,,,,,,,,,,,,,,0
"Michaelson, Patricia",,,,,,LIT,3319,001,,12,6,4,2,,,,1,,1,,3,,,,,,1
"Gerard, Lori A",,,,,,MUSI,2322,001,4,3,2,4,3,4,2,1,1,,,,1,,,,,2,2
"Mcvay, Michael",,,,,,MUSI,3328,001,4,4,1,2,1,,1,,,,,,,,,,,,0
"Gonzalez, Cristina M",,,,,,SPAN,2341,001,6,7,2,,,,,,,,,,,,1,,,1,0
"Vazzi, Lisa",,,,,,COMM,1311,017,9,4,5,,1,,,,,,,,2,,,,,,0
"Carlson, Eric B",,,,,,COMM,1311,0W9,,9,2,4,2,,2,,,,,,1,,,,,1,0
"Cotter, Sean J",,,,,,LIT,3310,001,,5,2,9,5,5,1,1,1,,,,1,,,,,,3
"Lambert, Thomas M",,,,,,LIT,3330,001,6,4,5,5,,1,1,,,,,,1,,,,,,1
"Riley, Kristin N",,,,,,RHET,1302,021,7,5,2,,,1,1,1,,,,1,1,,,,,,0
"Smith, Erin",,,,,,HUSL,7360,501,,3,3,2,1,,,,,,,,,,,,,3,0
"Belli, Melia",,,,,,ARTS,1301,HN1,5,15,1,2,,,,,,,,,,,,,,1,0
"Pettengill, Ryan S","Mei, Kehan",,,,,HIST,1302,501,9,43,7,5,14,,1,6,,1,1,1,1,,,,,,1
"Mortensen, Joan","Harrison, Macy T",,,,,HUMA,1301,010,,7,6,3,12,5,3,8,7,,4,,14,,,,,,1
"Mortensen, Joan",,,,,,HUMA,1301,501,,4,3,3,,2,2,3,2,,1,,4,,,,,,0
"Brewer, Kenneth L",,,,,,LIT,3300,501,2,14,6,7,2,2,1,1,,1,,1,,,,,,,0
"Johnson, Melissa A",,,,,,DANC,1310,001,5,34,3,2,1,1,,3,,,,,,,,,,,0
"Warren, Shilyh J",,,,,,FILM,3325,001,4,3,,2,2,,,,,,,,,,,,,,0
"Schlobohm, Maribeth L",,,,,,COMM,4340,001,,8,2,,,,,1,,,,,,,,,,,0
"King, Carie S",,,,,,COMM,4360,001,3,5,1,,4,,1,,,,1,,1,,,,,,0
"Patterson, David",,,,,,HUHI,7315,501,,8,1,1,,,,,,,,,,,,,,,0
"Anjum, Zafar",,,,,,HUMA,3351,001,9,17,,2,,,,,,,,,,,,,,,1
"Hatfield, Charles D",,,,,,HUSL,6380,501,,12,,,,,,,,,,,,,,,,,0
"Towner, Theresa",,,,,,LIT,4329,001,,21,4,,,,,,,,,,,,,,,,0
"Ming, Adron",,,,,,MUSI,4118,501,,30,,,,,,,,,,,,,,,,,0
"Hustis, Gregory J",,,,,,MUSI,4120,501,,22,,,,,,,,,,,1,,,,,,0
"Salisbury, Linda J",,,,,,MUSI,4V13,001,2,9,,,1,,,,,,,,,,,,,,0
"Stone, Winston",,,,,,MUSI,4V13,002,5,6,,,,,,,,,,,,,,,,,0
"Amato, Lawrence A",,,,,,PHIL,2317,501,4,8,1,,1,,2,,,1,,1,1,,,,,,0
"Hernandez-Katz, Melissa M",,,,,,COMM,4350,002,,6,9,7,1,3,,2,,1,,,,,,,,,0
"Tanner, Lari J",,,,,,COMM,1311,018,16,3,,1,,1,,,1,,,,1,,,,,,0
"Vazzi, Lisa",,,,,,COMM,1311,5W2,14,2,,1,2,,,1,,,,,3,,,,,,0
"Gossin, Pamela",,,,,,ARHM,3342,002,2,7,6,9,5,1,,4,,1,1,2,3,,,,,,1
"Palant, Jonathan",,,,,,MUSI,2127,001,,10,,,,,,,,,,,,,,,,,0
"Parsoneault, Catherine",,,,,,MUSI,2317,003,6,5,,2,4,,,,,,,,,,,,,,2
"Owens, Misty",,,,,,DANC,1310,0H2,4,13,5,2,2,1,,1,1,,,,,,,,,,0
"Watkins, Latoya S",,,,,,HUAS,6354,001,,8,2,,,2,,,,,,,,,,,,,0
"Grohman, Magdalena G",,,,,,ARHM,2340,001,4,6,,18,9,,3,4,,,1,,1,,,,,,1
"Polite, Giraud",,,,,,ARTS,3372,501,9,4,,1,1,1,1,,,,1,,1,,,,,,0
"Barnes, Ashley",,,,,,HUSL,6350,001,,10,3,1,,1,1,,,,,,,,,,,,1
"Pettengill, Ryan S","Mei, Kehan","Hanna, John M",,,,HIST,1302,502,5,37,9,7,18,,4,6,,1,,,1,,,,,,0
"Moss, Daniel J",,,,,,COMM,1311,019,4,1,4,2,1,3,2,1,,1,1,1,,,,,,,1
"Camacho-Guardado, Lorena",,,,,,SPAN,3365,001,11,7,3,1,,1,,,,,,,1,,,,,,0
"Shi, Carle",,,,,,ARTS,3341,001,,17,,,1,,,,,,,,,,,,,,0
"Curry, Val",,,,,,ARTS,3340,001,6,3,1,2,2,,,,,,,,,,,,,,0
"Allred, Michael K",,,,,,JAPN,1312,002,6,10,2,2,1,,,1,2,1,,1,,,,,,,2
"Starnaman, Sabrina",,,,,,ARHM,2342,001,17,3,,3,4,4,2,2,,,,,3,,,,,,1
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,002,2,3,3,11,8,13,6,3,1,3,,,11,,,,,,2
"Foust, Kristan N",,,,,,HIST,1302,011,25,,,10,1,,3,4,,,,,4,,,,,,1
"Durbin, Kelly",,,,,,MUSI,2319,002,1,3,2,3,,1,,,,,,,2,,,,,,1
"Farmer, J Michael",,,,,,HIST,4358,001,,,4,3,2,2,3,1,1,,1,,2,,,,,,0
"Metz, Greg L",,,,,,HUAS,6313,501,,4,1,1,3,,,,,,,,,,,,,,0
"Rypma, Bart P","Turner, Monroe P",,,,,ACN,6310,001,,6,,,,,,,,,,,,,,,,,0
"Moller, Aage R",,,,,,ACN,6373,001,,35,7,2,,,,,,,,,,,,,,,0
"Kennedy, Kristen M","Miranda, Giuseppe G",,,,,ACN,6338,001,,9,,,19,,,11,,,,,,,,,,,1
"Assmann, Peter",,,,,,AUD,6306,001,,3,8,,,,,,,,,,,,,,1,,0
"Roeser, Ross J","Clark, Jackie L",,,,,AUD,6311,001,,11,,,3,,,,,,,,,,,,,,0
"Warner-Czyz, Andrea D","Wiseman, Kathryn","Evans, Christine S",,,,AUD,6318,001,,8,6,,,,,,,,,,,,,,,,0
"Lobarinas, Edward",,,,,,AUD,7321,001,,9,3,1,1,,,,,,,,,,,,,,0
"Martin, Jeffrey S",,,,,,AUD,7353,001,,12,,,3,,,,,,,,,,,,,,0
"Roark, Dana A","Nguyen, Linda",,,,,CGS,3361,501,6,4,,4,3,,,1,,,,,,,,,,,0
"Maguire, Mandy","Yuan, Haiying",,,,,CLDP,3303,001,,18,,6,6,,4,6,,3,2,,2,,,,,,0
"Santrock, John W",,,,,,CLDP,3338,001,1,3,3,4,2,1,2,1,2,,,,1,,,,,,2
"Huxtable-Jester, Karen J","Smith, Evan",,,,,CLDP,3339,001,,4,2,2,3,5,4,5,2,1,1,,3,,,,,,0
"Barfoot, John W","Peskova, Olga",,,,,CLDP,3342,501,2,15,7,10,3,2,3,3,,,,,1,,,,,,0
"Mills, Candice M","Sands, Kaitlin R",,,,,CLDP,3362,001,,13,1,1,19,,3,6,,,1,,,,,,,,1
"Mathew, Betty S","Evans, Delaney L",,,,,COMD,5344,001,,3,4,1,,,,,,,,,,,,,,,0
"Lougeay, Janice",,,,,,COMD,6222,001,,113,,,,,,,,,,,,,,,,,0
"Smith, Irma E","Dean, Lucinda L",,,,,COMD,6320,001,,29,,,1,,,,,,,,,,,,,,0
"Kenedi, Helen","Sale, Felicity F",,,,,COMD,6377,001,,27,,,4,,,,,,,,,,,,,,0
"Dean, Lucinda L","Sale, Felicity F",,,,,COMD,6378,001,,92,,,3,,,,,,,,,,,,,,0
"Kenedi, Helen",,,,,,COMD,7207,001,,32,,,1,,,,,,,,,,,,15,,0
"Rich, Judith B",,,,,,COMD,7301,501,,46,,,,,,,,,,,,,,,,,0
"Thibodeau, Linda K",,,,,,COMD,7325,0W1,,5,,,,,,1,,,,,,,,,,,0
"Rollins, Pamela R","Poudel, Sonali","Nauta, Megan B",,,,COMD,7336,001,,35,3,2,,,,,,,,,,,,,,,0
"Kennedy, Kristen M","Miranda, Giuseppe G",,,,,HCS,6338,001,,4,,,8,,,1,,,,,,,,,,,0
"Miller, Van S","dos Santos, Natalia Lucia",,,,,NSC,3361,001,16,29,20,17,22,22,39,35,34,,27,,19,,,,,,15
"Shareef, Safiullah M","Abdelkarim, Dema H",,,,,NSC,3361,501,63,15,15,14,19,12,3,9,2,2,2,3,,,,,,4,3
"Kroener, Sven","Childs, Jessica E",,,,,NSC,4352,001,27,24,33,23,18,5,9,12,9,6,2,4,3,,,,,,3
"McWilliams, Steven P","Garner, Katherine M",,,,,NSC,4353,101,1,1,5,,5,2,,,,,,,1,,,,,,0
"Sultana, Rukhsana","Inyang, Kufreobong E",,,,,NSC,4353,102,,4,6,3,2,,,1,,,,,,,,,,,0
"Sultana, Rukhsana","Taylor, Mackenzie B",,,,,NSC,4356,001,,50,,,36,,,16,,,1,,1,,,,,,1
"Thompson, Lucien","Desolis, Christopher A",,,,,NSC,4363,001,14,15,4,1,9,1,5,2,1,4,3,,1,,,,,,2
"Juhn, Nancy H","Carson, Kevin J","Pongpipat, Ekarin E",,,,PSY,2317,001,,5,8,7,9,2,5,7,2,2,5,1,8,,,,,,2
"Juhn, Nancy H","Pongpipat, Ekarin E","Carson, Kevin J",,,,PSY,2317,002,,11,6,8,4,4,9,5,5,,2,1,15,,,,,,2
"Meltzer, Mitchell A","White, Kathryn A",,,,,PSY,2317,501,,6,8,2,1,6,4,3,,,1,2,1,,,,,,2
"Huxtable-Jester, Karen J","Smith, Olivia",,,,,PSY,3331,002,,37,11,3,13,6,5,3,3,3,2,,10,,,,,,0
"Santrock, John W",,,,,,PSY,3338,001,,5,4,7,,2,1,1,,,1,,1,,,,,,3
"Huxtable-Jester, Karen J","Smith, Evan",,,,,PSY,3339,001,,5,8,1,5,7,2,6,4,2,3,,11,,,,,,6
"Barfoot, John W","Peskova, Olga",,,,,PSY,3342,501,5,7,9,6,5,2,2,3,1,1,1,,,,,,,,0
"Assmann, Peter","Montazeri, Vahid",,,,,PSY,3360,001,6,8,19,23,19,20,8,6,3,2,3,,6,,,,,1,4
"Roark, Dana A","Nguyen, Linda",,,,,PSY,3361,501,13,39,,7,22,4,3,8,2,2,4,,2,,,,,1,1
"Grant, Meridith G","Zhao, Yuguang",,,,,PSY,3392,001,9,17,12,9,20,11,3,8,3,,,,2,,,,,,1
"Raman, Rachna","Adelson, Megan J",,,,,PSY,3393,501,7,6,,1,2,1,1,1,1,,,,1,,,,,,1
"Drew, Linda M","Kmiecik, Matthew J",,,,,PSY,3393,002,1,4,8,4,1,1,1,1,,,,,,,,,,,0
"Santrock, John W","Ralph, Yvonne K",,,,,PSY,2314,001,6,22,14,3,9,9,12,6,4,1,6,2,4,,,,,,3
"Small, Trillion N","Debrabander, Kilee M",,,,,PSY,4343,501,,61,,,50,,1,4,3,1,1,1,3,,,,,,2
"Hafer, Donald G",,,,,,PSY,4373,501,10,14,8,2,12,2,5,2,6,3,,1,1,,,,,,2
"Grohman, Magdalena G",,,,,,PSY,3355,001,1,3,,9,4,,,1,,,,,1,,,,,2,1
"Mills, Candice M","Sands, Kaitlin R",,,,,PSY,3362,001,,4,2,1,7,,1,7,1,,2,,,,,,,,1
"Aldridge, Michelle A",,,,,,SPAU,3301,001,33,10,2,,,1,,1,,,,,1,,,,,,0
"Maguire, Mandy","Yuan, Haiying",,,,,SPAU,3303,001,5,12,,2,13,,5,6,,2,1,,1,,,,,,0
"Walsh, Diane G","Rajaram, Melissa C",,,,,SPAU,3304,001,19,25,16,12,11,13,11,9,3,4,2,,2,,,,,,1
"Aldridge, Michelle A",,,,,,SPAU,3340,001,48,64,3,5,3,1,,,,,,,2,,,,,,0
"Martin, Jeffrey S","Grinn, Sarah",,,,,SPAU,3341,001,,7,1,1,2,5,,2,1,1,1,1,2,,,,,,1
"Mathew, Betty S","Evans, Delaney L",,,,,SPAU,3344,001,25,14,12,4,5,5,3,2,4,,,1,1,,,,,,0
"Walsh, Diane G","Pak, Cecilia L",,,,,SPAU,3345,001,15,15,7,14,8,8,5,9,4,3,4,,,,,,,,6
"Kaplan, Karen",,,,,,SPAU,4342,001,,5,,2,7,3,,,,,,,,,,,,,1
"Katz, William","Doli, Evdoxia",,,,,SPAU,3343,001,5,11,7,4,4,4,2,5,,1,,3,6,,,,,,2
"Juhn, Nancy H","Meldrum, Shelia","O'Connell, Margaret A",,,,ACN,6313,001,,4,3,4,,,,,,,,,,,,,,,0
"Cokely, Carol G",,,,,,AUD,7182,001,,11,,,,,,,,,,,,,,,,,0
"McWilliams, Steven P","Szabo-Pardi, Thomas A",,,,,NSC,4353,103,1,4,7,1,2,,1,,,,,,,,,,,,0
"Miller, Van S","Phensy, Aarron J",,,,,NSC,4366,001,2,11,18,16,20,12,10,7,6,,11,,7,,1,,,,2
"Juhn, Nancy H","Meldrum, Shelia","O'Connell, Margaret A",,,,PSYC,6313,001,,3,2,1,,2,,,,,,,,,,,,,1
"Ewing, Donna M",,,,,,HDCD,6316,001,,7,4,3,,,,,,,,,,,,,,,1
"Holub, Shayla C",,,,,,HDCD,6320,001,,4,,3,4,,,,,,,,,,,,,,1
"Touchstone, Emily W","Shin, Sujin",,,,,CLDP,3305,001,,41,,,28,,,2,,,,,,,,,,,0
"Touchstone, Emily W","Boone, Melissa N",,,,,SPAU,4308,001,,57,,,15,,,4,,,1,,,,,,,,2
"Touchstone, Emily W","Boone, Melissa N",,,,,CLDP,4308,001,,11,,,3,,,1,,,,,1,,,,,,0
"Barfoot, John W","Peskova, Olga",,,,,SPAU,3342,501,2,3,6,4,2,,1,1,,1,,,1,,,,,,0
"Price, Theodore J","Wangzhou, Andi","Dussor, Gregory O","Chavez, Marcos G",,,NSC,4358,001,43,74,38,8,5,3,1,1,2,,,,,,,,,,0
"Basak, Chandramallika","Himes, Lyndahl M",,,,,PSY,3393,001,3,6,,1,8,,,1,,,,,1,,,,,,0
"Ulatowska, Hanna K",,,,,,COMD,7306,501,,10,,,1,,,,,,,,,,,,,,0
"Sasson, Noah J","Wu, Sining",,,,,PSY,2301,002,,39,22,13,14,9,10,2,7,4,2,4,2,,,,,,1
"Maguire, Mandy",,,,,,COMD,6307,001,,9,,,,,,,,,,,,,,,,,0
"Sultana, Rukhsana","Wilhelm, Rachel",,,,,NSC,4353,104,1,7,5,,2,1,,,,,,,,,,,,,0
"Walsh, Diane G","Pak, Cecilia L",,,,,NSC,3345,001,3,6,2,3,9,1,3,2,,,,,,,,,,,2
"Ulatowska, Hanna K",,,,,,PSY,4393,001,,2,1,1,7,3,,,,,,,,,,,,1,0
"Brody, Salena M",,,,,,PSY,4324,501,1,9,7,4,1,2,1,,1,1,,,,,1,,,,1
"Grant, Meridith G","Yu, Ju-Chi",,,,,PSY,3392,002,6,11,12,7,16,7,5,6,6,2,4,2,2,,,,,,3
"Kilgard, Michael",,,,,,NSC,4371,001,4,10,2,2,4,1,,1,1,,,,4,,,,,,2
"Ploski, Jonathan E",,,,,,NSC,4362,001,7,10,6,1,1,1,1,1,1,,,,1,,,,,,0
"Pinkham, Amy E","Terry, Courtney",,,,,PSY,4343,001,1,28,20,24,24,15,15,9,14,7,5,5,7,,1,,,,5
"Kaplan, Karen",,,,,,SPAU,4367,001,,18,1,,4,,,,,,,,,,,,,1,2
"Gentsch, Joanna K",,,,,,PSY,2301,HN1,11,14,,,,,,,,,,,,,,,,,0
"Shirvani, Forouz","Rakic, Jelena",,,,,PSY,3393,003,,8,,,13,,,,,,,,,,,,,,0
"Basak, Chandramallika",,,,,,ACN,6333,001,,9,,,2,,,1,,,,,,,,,,,2
"Compton, Kristi L",,,,,,PSY,4372,001,30,11,2,1,2,1,,,,,,,,,,,,,0
"Roeser, Ross J",,,,,,AUD,6113,001,,,,,,,,,,,,,,,,,25,,0
"Tillman, Gail D",,,,,,PSY,3393,502,,15,,,3,,,1,,,,,1,,,,,1,0
"Miller, Van S",,,,,,NSC,4367,001,1,5,2,2,3,1,1,3,5,,5,,3,,,,,,2
"Moller, Aage R",,,,,,HCS,7372,002,,13,6,,,,,,,,,,,,,,,1,0
"Rypma, Bart P","Turner, Monroe P",,,,,HCS,8V50,001,,,,,,,,,,,,,,,,,8,,1
"O'Toole, Alice J",,,,,,CGS,2301,HN1,7,14,2,1,,1,,,,,,,,,,,,,0
"Alford, Jennifer A",,,,,,AUD,7351,501,,11,3,1,,,,,,,,,,,,,,,0
"Orrick, Erika D",,,,,,ACN,6342,0W1,,19,1,1,,,,,,,,,,,,,,,1
"Lobarinas, Edward","Clark, Jackie L",,,,,AUD,6V20,101,,14,,,,,,,,,,,,,,,,,0
"Martin, Jeffrey S","Gohmert, Andrea K",,,,,AUD,6V20,102,,16,,,,,,,,,,,,,,,,,0
"Kane, Heidi S","Parsons, Julie A",,,,,PSY,3331,001,12,10,8,7,9,9,11,4,5,3,3,4,8,,,,,,3
"Carter, Jessica A","Pourchot Neale, Hannah D",,,,,COMD,7221,001,,46,,,2,,,,,,,,,,,,,,0
"Ackerman, Robert A","Corretti, Conrad",,,,,HCS,6313,002,,15,,2,2,,,,,,,,,,,,,,0
"LaDow, Eva S",,,,,,NSC,3361,HN1,4,12,8,1,,,,,,,,,,,,,,,0
"Rojas-Villarreal, Raul",,,,,,COMD,7V56,001,,41,,,,,,,,,,,,,,,2,,0
"Dollaghan, Christine",,,,,,COMD,7392,001,,12,,,2,,,,,,,,,,,,2,,0
