Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W
"Auciello, Orlando H",,,,,,BMEN,6V87,001,,1,8,5,2,,,,,,,,,,,,,,0
"Schmidtke, David W",,,,,,BMEN,6345,001,,12,1,,3,,,,,,,,,,,,,,0
"Favors, Crystal N",,,,,,ECS,1100,001,27,5,4,1,1,,1,,,,,,10,,,,,,0
"Freeman, Brenda","Alexander, Sky A",,,,,ECS,1100,002,25,7,2,7,2,,6,2,,2,1,,4,,,,,,1
"Favors, Crystal N",,,,,,ECS,1100,004,26,8,6,2,1,,,3,1,,,,3,,,,,,1
"Lewis, Racine N",,,,,,ECS,1100,003,42,8,3,1,,,,,,,1,1,3,,,,,,1
"Freeman, Brenda",,,,,,ECS,1100,005,25,6,3,4,4,1,2,1,1,1,1,,1,,,,,,0
"Croasdale Woudwyk, Andrea",,,,,,ECS,1100,006,27,5,3,3,,,1,,1,,,,,,,,,,0
"Brown, Joshua","Alexander, Sky A",,,,,ECS,1100,008,26,6,9,3,1,,,,,,,,,,,,,,1
"Williams, Jaleah",,,,,,ECS,1100,009,9,16,,3,1,3,4,,2,,1,1,2,,,,,,2
"Marroquin, Irene",,,,,,ECS,1100,010,8,5,7,6,4,4,1,1,1,2,,3,7,,,,,,0
"Stewart, Mary A",,,,,,ECS,1100,011,31,2,2,3,1,3,,2,,2,,1,2,,,,,,1
"Marroquin, Irene",,,,,,ECS,1100,012,18,1,4,4,1,3,,1,1,2,,,2,,,,,,0
"Favors, Crystal N",,,,,,ECS,1100,013,16,4,4,1,3,3,2,2,1,,,,3,,,,,,0
"Payne, Laura E",,,,,,ECS,1100,014,14,15,1,1,3,,,2,2,,2,,,,,,,,0
"Wilson, Shirley S",,,,,,ECS,1100,015,37,5,6,2,1,2,2,2,1,1,,,1,,,,,,0
"Brown, Joshua","Wilson, Shirley S",,,,,ECS,1100,017,18,2,5,2,2,6,1,1,2,,,,5,,,,,,0
"Williams, Jaleah",,,,,,ECS,1100,018,29,18,,7,2,2,,1,1,,,,,,,,,,0
"Payne, Laura E",,,,,,ECS,1100,501,26,8,7,1,2,2,,,,,,,,,,,,,1
"Marroquin, Irene",,,,,,ECS,1100,502,12,10,9,4,3,2,1,,,,2,2,4,,,,,,0
"Minden, Alixandre R","Eslamijam, Mona",,,,,SYSM,6301,001,,5,9,8,2,2,1,,,,,,,,,,,,0
"Glauser, Janece B",,,,,,ECS,3390,0H7,,12,3,1,2,,,1,,,,,,,,,,,0
"Crowder, Wade A",,,,,,ECS,3390,502,2,6,5,4,1,,,,,,,,1,,,,,,0
"Willson, James K","Liu, Jie",,,,,CS,4349,HON,1,7,3,5,3,3,,,,,,,1,,,,,,1
"Farago, Andras","Karki, Dipendra",,,,,CS,4390,002,,17,9,17,11,,,3,,,,,,,,,,,0
"Lee, Jung S","Wang, Zhengyang",,,,,ENGR,3300,503,,7,1,1,5,,2,3,5,2,6,,1,,,,,,0
"Saquib, Mohammad",,,,,,ENGR,3341,004,1,12,6,5,11,1,2,5,1,,,,4,,,,,,1
"McMahan, Ryan P","Hu, Xinyu",,,,,CS,6334,001,,24,4,1,,,,,,,,,,,,,,,0
"Khan, Latifur R","Gao, Yang",,,,,CS,6350,001,,20,24,31,18,,,,,,,,,,,,,,1
"Yuruk, Nurcan","Dakle, Parag Pravin",,,,,CS,6314,001,,41,14,9,1,,,,,,,,,,,,,,0
"Yuruk, Nurcan","Dakle, Parag Pravin","Li, Yi",,,,CS,6314,002,,24,19,12,4,,,,,,,,,,,,,,0
"Balakrishna, Mithun","Chen, Yuqiao",,,,,CS,6314,501,,20,13,8,3,4,2,,,,,,,,,,,,0
"Ates, Keven L",,,,,,CS,6315,501,,38,,,7,,,,,,,,,,,,,,1
"Semper, William J","Tong, Guangmo","Taghavi Nasrabadi, Afshin",,,,CS,6313,001,,35,13,27,3,5,,,,,,,,,,,,,0
"Farago, Andras","Karki, Dipendra",,,,,CE,4390,002,,4,3,1,3,1,1,,,,,,,,,,,,0
"Lin, Zhiqiang","Wang, Xiaoyu",,,,,CS,6332,501,,15,,1,,,,,,,,,1,,,,,,0
"Kehtarnavaz, Nasser","Karadagur Ananda Reddy, Chandan","Dawar, Neha",,,,EE,3102,104,8,1,,1,1,1,1,,,,,,1,,,,,,0
"Prabhakaran, Balakrishnan",,,,,,CS,6331,001,,8,12,10,1,,1,,,,,,1,,,,,,0
"Guo, Xiaohu","Ni, Saifeng",,,,,CS,6323,001,,10,5,2,,3,1,1,,,,,,,,,,,0
"Kehtarnavaz, Nasser","Ganguly, Anshuman","Dawar, Neha",,,,EE,3102,105,4,4,,1,,1,,,1,,,,,,,,,,1
"Fishwick, Paul",,,,,,CS,6328,001,,17,1,,,,,,,,,,,,,,,,0
"Semper, William J",,,,,,CS,1336,015,,19,6,6,10,11,6,12,2,,,,1,,,,,,2
"Wang, Jun","Jahanandish, Mohammadhassan",,,,,BMEN,3325,001,2,6,3,1,7,3,2,,,,,,,,,,,,0
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,105,7,9,3,1,,,,,,,,,,,,,,,0
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,106,5,2,1,1,2,2,,,,,,,,,,,,,4
"Prakash, Ravi","Samiei, Aliehsan",,,,,CS,4348,HON,3,6,4,4,2,1,,,,,,,1,,,,,,0
"Christiansen, Michael G",,,,,,CS,1200,004,2,11,14,4,6,1,2,,,,,1,,,,,,,0
"Christiansen, Michael G",,,,,,CS,1200,003,3,9,18,5,5,,1,1,,,,,,,,,,,0
"McMahan, Timothy",,,,,,CS,1200,001,5,13,11,4,1,1,,,,,,,1,,,,,,0
"Cole, John",,,,,,CS,1200,006,,18,,,8,,,,,,,,2,,,,,,0
"Christiansen, Michael G",,,,,,CS,1200,005,3,12,11,6,2,,1,1,,,,,,,,,,,0
"Cole, John",,,,,,CS,1200,007,1,15,,,6,1,,,,,,,1,,,,,,1
"Christiansen, Michael G",,,,,,CS,1200,002,3,23,10,2,1,1,1,,,,,,,,,,,,0
"Arnold, Gordon L",,,,,,CS,1200,008,4,6,10,12,3,3,,1,2,,,,1,,,,,,0
"Arnold, Gordon L",,,,,,CS,1200,009,8,8,5,4,1,3,4,2,,,,,1,,,,,,1
"Page, Ivor",,,,,,CS,1200,HON,17,9,1,2,,,,,,,,,,,,,,,0
"Culver, Timothy L","Kadiyala, Krishna P",,,,,CS,6301,501,,37,9,1,,,,,,,,,,,,,,,0
"Brandenburg, Jonathan C",,,,,,CS,1336,502,5,7,9,3,7,5,1,6,2,,4,,1,,,,,,2
"Anderson, William C","Wang, Chao",,,,,MECH,3315,001,1,11,24,21,11,3,1,,1,,,,1,,,,,,1
"Ardestani Khoubrouy, Soudeh","Sanchez, Camilo A",,,,,BMEN,4110,105,9,3,2,1,1,1,1,,,,,,,,,,,,0
"Ardestani Khoubrouy, Soudeh","Park, Jinkyu",,,,,EE,3302,502,5,4,,5,1,5,2,4,4,1,3,,2,,,,,,2
"Ardestani Khoubrouy, Soudeh","Park, Jinkyu",,,,,CE,3302,502,,2,1,2,3,3,1,2,4,,,,3,,,,,,0
"Gogate, Vibhav G","Roy, Chiradeep",,,,,CS,4365,001,11,14,7,5,8,6,4,4,1,1,1,1,3,,,,,,4
"Arnold, Gordon L",,,,,,CS,1200,010,2,4,8,2,10,2,1,3,1,,,,2,,,,,,0
"Ouyang, Hui","Aliakbari Miyanmahaleh, Mohammad",,,,,MECH,3310,001,4,4,11,13,9,5,7,2,1,,,,,,,,,,0
"Vogel, Don G",,,,,,CS,1136,112,30,6,,1,3,4,,,,,,,1,,,,,,2
"Vogel, Don G",,,,,,CS,1136,115,39,5,5,4,6,3,3,2,1,,3,,2,,,,,,2
"Nagar, Anurag","Wang, Wubing",,,,,CS,6350,002,,17,11,11,2,,,,,,,,,,,,,,0
"Nagar, Anurag","Wang, Zhuoyi",,,,,CS,6375,501,,22,22,18,3,,,,,,,,,,,,,,0
"Glauser, Janece B",,,,,,ECS,3390,0H8,,9,5,2,3,,,,,,,,,,,,,,0
"Cole, John",,,,,,CS,1200,011,,24,2,,11,,,2,,,,,2,,,,,,0
"Oladimeji, Ebenezer A",,,,,,CS,1337,503,2,12,5,2,7,3,,3,1,,,,1,,,,,,0
"Paulk, Mark C",,,,,,CS,1336,503,12,11,4,9,10,7,2,4,,2,1,2,5,,,,,,4
"Willson, James K",,,,,,CS,2305,003,2,11,4,2,4,3,1,3,1,2,4,,3,,,,,,2
"Debroy, Vidroha",,,,,,CS,2336,503,3,15,12,6,8,3,4,1,,2,2,,2,,,,,,0
"Ardestani Khoubrouy, Soudeh","Lee, Chong Jin N",,,,,BMEN,1100,107,2,2,6,2,2,,1,,,,,,,,,,,,0
"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,,BMEN,4388,003,,3,3,3,1,,,,,,,,,,,,,,0
"Thompson, Laurie A",,,,,,CS,1336,006,,6,7,9,10,2,2,1,3,1,1,1,5,,,,,,2
"Libby, Lee L",,,,,,ECS,3390,5H1,,3,5,3,4,2,,,2,,,,,,,,,,0
"Vogel, Don G",,,,,,CS,1136,114,26,5,3,2,8,3,1,2,,,2,,8,,,,,,2
"Minden, Alixandre R",,,,,,SYSM,6304,001,,12,6,4,2,,1,,,,,,,,,,,,0
"Wallace, Robert M",,,,,,MSEN,6319,001,,5,2,3,3,4,2,1,,,,,,,,,,,0
"Payne, Laura E",,,,,,ECS,1100,019,13,15,2,5,1,3,1,,,4,,1,4,,,,,,0
"Freeman, Brenda",,,,,,ECS,1100,020,19,8,11,2,1,1,,,1,,1,,5,,,,,,0
"Choudhary, Pankaj K","Kotinkaduwe Rankothgedara, Lak Nilusha K",,,,,CS,6313,002,,6,5,7,8,1,3,,,,,,1,,,,,,1
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3105,103,,3,4,1,4,7,,2,5,,,,1,,,,,,0
"Qian, Dong","Wang, Yang",,,,,MECH,6351,001,,29,7,1,1,,,,,,,,,,,,,,0
"Wilt, James C",,,,,,ECS,3361,004,,6,29,15,20,18,5,3,3,,,,,,,,,,0
"Lu, Hongbing","Chen, Huiluo",,,,,MECH,2120,105,2,6,7,,1,1,,2,1,1,,,,,,,,,0
"Wilt, James C",,,,,,MECH,2310,501,,,3,1,8,2,5,3,7,3,2,,4,,,,,,2
"Coleman, Amanda R",,,,,,ECS,3390,5H5,,10,3,,1,3,1,1,,,,,,,,,,,0
"Hu, Yang","Ganguly, Anshuman",,,,,EE,3102,106,,8,,,3,,,,,,,,,,,,,,1
"Tamil, Lakshman",,,,,,ENGR,2300,005,10,10,11,6,2,1,1,,,,,,2,,,,,,0
"Saad, Ricardo E","Metwaly Saad, Hussein M",,,,,ENGR,3300,005,8,2,6,2,2,4,3,3,4,,4,3,4,,,,,,0
"Saad, Ricardo E","Metwaly Saad, Hussein M",,,,,ENGR,3300,006,8,2,3,3,1,7,2,,4,,1,3,5,,,,,,2
"Overzet, Lawrence","Wang, Zhengyang",,,,,EE,4391,001,1,7,,2,6,,1,1,,,,,4,,,,,,0
"Bhatia, Dinesh","Goswami, Pingakshya",,,,,EEDG,6370,501,,7,5,8,9,6,,1,,,,,,,,,,,0
"Heins, Matthew S","Yao, Haohan",,,,,EERF,7V89,501,,10,5,2,4,,,,,,,,,,,,,,0
"Ali, Mohammed Z","Akbar, Md Navid",,,,,ENGR,3341,006,4,19,1,7,6,,1,8,,,,,,,,,,,0
"Minden, Alixandre R","Eslamijam, Mona",,,,,SYSM,6326,001,,3,1,2,,,,,,,,,,,,,,,0
"Vidyasagar, Mathukumalli",,,,,,EECS,6323,001,,5,5,1,,,,1,,,,,,,,,,,0
"Cole, John","Crain, Jon A",,,,,CS,6326,001,,11,4,,17,4,,1,,,,,1,,,,,,0
"Sarac, Kamil","Yousefpour, Ashkan",,,,,CS,6349,001,,10,6,7,4,,,1,,,,,,,,,,,0
"Sarac, Kamil","Ozarslan, Omer F",,,,,CS,6390,001,,12,7,7,4,,,1,,,,,,,,,,,0
"Marcus, Andrian","Chaparro Arenas, Oscar Javier",,,,,CS,6356,001,,3,9,,,,,,,,,,,,,,,,0
"Du, Ding Z","Tong, Guangmo",,,,,CS,6382,001,,9,1,3,1,,,,,,,,,,,,,,0
"McMahan, Timothy",,,,,,CS,1200,013,14,8,7,2,2,,,1,,,,,3,,,,,,0
"Doore, Karen L",,,,,,CS,1334,002,2,14,7,7,23,2,1,2,1,,1,,1,,,,,,3
"Doore, Karen L",,,,,,CS,1335,003,3,22,10,5,14,1,,3,,1,,,3,,,,,,0
"Thompson, Laurie A",,,,,,CS,1336,014,2,7,8,4,7,3,3,3,2,2,3,4,12,,,,,,2
"Thompson, Laurie A",,,,,,CS,1336,009,1,3,2,2,10,9,1,3,1,2,2,2,9,,,,,,4
"Brandenburg, Jonathan C",,,,,,CS,1336,002,6,9,5,7,6,6,2,3,4,,3,,,,,,,,3
"Brandenburg, Jonathan C",,,,,,CS,1336,001,8,9,2,6,9,4,2,5,4,,1,,4,,,,,,1
"Oladimeji, Ebenezer A",,,,,,CS,1337,505,2,11,2,3,7,3,1,3,,,,,2,,,,,,2
"Perkins, Stephen J",,,,,,CS,1337,504,2,8,3,1,2,6,4,1,1,2,2,,5,,,,,,2
"Sudborough, Ivan H",,,,,,CS,2305,HN1,3,8,4,2,4,2,1,1,1,,1,,1,,,,,,1
"Fadda, Dani Z",,,,,,MECH,1208,001,,11,13,6,9,4,3,,,,,,2,,,,,,0
"Ali, Tariq M","Honari, Arvin",,,,,BMEN,3120,106,,6,1,3,1,,,1,,,,,,,,,,,0
"Smith, Jason W",,,,,,CS,2336,004,8,9,5,6,11,1,3,3,2,1,3,,10,,,,,,6
"Jue, Jason",,,,,,CS,3305,001,3,12,13,8,9,8,7,6,1,,2,,2,,,,,,6
"Mazidi, Karen J","Torabi, Behnam",,,,,CS,3340,502,6,14,17,14,10,4,2,1,,,1,,2,,,,,,0
"Khan, Ziaullah","Shams, Shahab","Kadiyala, Krishna P","Chaparro Arenas, Oscar Javier",,,CS,3345,501,10,6,4,7,11,3,4,4,,,,,,,,,,,2
"Khan, Ziaullah","Shams, Shahab","Kadiyala, Krishna P","Chaparro Arenas, Oscar Javier",,,CE,3345,501,1,1,1,1,4,,1,1,,,1,,,,,,,,0
"Khan, Ziaullah","Shams, Shahab","Kadiyala, Krishna P","Chaparro Arenas, Oscar Javier",,,SE,3345,501,1,1,1,3,1,2,1,2,,,,,,,,,,,0
"Wei, Shiyi","Florez Fandino, Juan Manuel",,,,,CS,3354,004,3,6,5,2,6,1,2,2,,1,,,,,,,,,1
"Paulk, Mark C","Florez Fandino, Juan Manuel",,,,,CS,3354,501,,6,8,2,8,2,1,1,2,,,,,,,,,,1
"Wei, Shiyi","Florez Fandino, Juan Manuel",,,,,CE,3354,004,1,2,,1,3,1,2,,,1,,,,,,,,,0
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,601,4,8,2,2,1,1,2,,,,,,,,,,,,0
"Brandenburg, Jonathan C","Wang, Wubing",,,,,CS,3377,002,5,6,6,4,3,5,2,4,,,2,,2,,,,,,1
"Becker, Eric W","Shamsuddin, Rittika",,,,,CS,4341,502,11,17,4,8,4,3,,7,,,,,1,,,,,,4
"Khan, Ziaullah","Ghosh, Smita",,,,,CS,4347,501,29,9,4,9,4,3,2,3,,,,,,,,,,,0
"Khan, Ziaullah","Ghosh, Smita",,,,,SE,4347,501,6,1,1,1,2,1,,,,,,,,,,,,,0
"Goodrum, Richard A","Yousefpour, Ashkan","Solanki, Nidhiben M",,,,CS,4348,002,,16,,,20,,,20,,,6,,5,,,,,,0
"Leonardi, Stefano","Solano Cordoba, Miguel S",,,,,MECH,4320,001,7,3,2,2,3,1,1,2,1,,,1,3,,,,,,0
"Howell, Michael J",,,,,,CS,2335,502,,9,14,20,11,4,6,1,,1,1,3,,,,,,,4
"Becker, Eric W",,,,,,CS,5303,001,,25,9,4,,2,,2,,,,,,,,,,,0
"Haas, Zygmunt J",,,,,,CS,6301,007,,4,3,2,,1,1,,,,,,,,,,,,0
"Bereg, Sergey","Li, Xinyi",,,,,CS,6363,003,,29,17,10,,,,,,,,,,,,,,,0
"Gupta, Gopal","Shakerin, Farhad",,,,,CS,7301,002,,16,4,3,3,,,,,,,,2,,,,,,1
"Gupta, Gopal","Shakerin, Farhad",,,,,SE,7301,002,,5,,,,,,,,,,,1,,,,,,0
"Varner, Victor","Peak, Kara",,,,,BMEN,3399,001,8,11,,4,7,2,2,2,,,3,,,,,,,,0
"Levene, Stephen","Jang, Jaein",,,,,BMEN,3315,001,,3,1,2,3,6,8,2,1,,,,2,,,,,,3
"Foland, Steven J","Usoro, Joshua",,,,,BMEN,4320,001,,2,1,4,1,1,2,1,,,,,2,,,,,,0
"Cole, John",,,,,,CS,1200,015,,25,,,10,1,,,,,,,,,,,,,0
"Ammanamanchi, Manasvini","Hayenga, Heather N","Hays, Seth A",,,,BMEN,3330,501,4,2,3,1,,,2,,1,,,,,,,,,,0
"Vogel, Don G",,,,,,CS,1136,118,29,3,2,3,4,4,1,2,2,,2,,6,,,,,,3
"Vogel, Don G",,,,,,CS,1136,116,29,8,,1,1,,1,1,,,,,4,,,,,,2
"Vogel, Don G",,,,,,CS,1136,117,23,4,5,2,6,,2,,1,,,,4,,,,,,0
"Becker, Eric W",,,,,,CS,3162,051,21,7,6,2,2,,,,,,,,,,,,,,1
"Debroy, Vidroha",,,,,,SE,3162,551,14,3,1,,1,1,1,,,,,,,,,,,,0
"Bennett, Terrell R",,,,,,ECSC,2100,001,,20,3,5,2,,1,,,,,,,,,,,,1
"Lewis, Racine N",,,,,,ECS,1100,021,23,10,9,4,,,,1,,,,,2,,,,,,0
"Brown, Joshua",,,,,,ECS,1100,022,23,3,6,2,3,2,,1,1,,,1,4,,,,,,1
"Choi, Wonjae","LeClear, Johnathon D",,,,,MECH,7392,501,,14,11,1,2,3,,,,,,,,,,,,,0
"Ardestani Khoubrouy, Soudeh","Shihabeddin, Tarik",,,,,BMEN,1100,108,5,6,,2,1,,1,,,,,,,,,,,,1
"Meyer, Clark A","Qin, Zhiyang",,,,,BMEN,1100,109,1,6,5,2,1,,,,1,,,,,,,,,,0
"Meyer, Clark A","Bellary, Aditi",,,,,BMEN,1100,110,6,4,2,,1,,,,,,,,,,,,,,0
"Ali, Tariq M","Chakraborty, Somdutta",,,,,BMEN,3120,107,3,3,3,3,3,1,,1,,,,,,,,,,,0
"Winter, Patrick M","Chung, Yu-Yen","Kazemimoghadam, Mahdieh","Chakraborty, Somdutta","Honari, Arvin",,BMEN,3120,109,,4,5,1,2,,,,,,,,,,,,,,0
"Ardestani Khoubrouy, Soudeh","Suhas Bharadwaj, FNU",,,,,BMEN,4110,106,1,1,2,2,5,5,,,1,,2,,,,,,,,0
"Meyer, Clark A","Li, Shichang","Bellary, Aditi",,,,BMEN,1208,001,4,,5,4,2,1,,,,,,,2,,,,,,0
"Pacheco, Joe","Polk, Todd W","Upasham, Sayali S",,,,BMEN,4388,004,1,2,2,3,2,,,,,,,,,,,,,,0
"Pacheco, Joe","Polk, Todd W","Upasham, Sayali S",,,,BMEN,4388,005,1,3,4,1,,1,,,,,,,,,,,,,0
"Qin, Zhenpeng",,,,,,MECH,6374,001,,10,3,2,5,,3,,,,,,1,,,,,,0
"Nguyen, Nhut","Vellingiri, Shanthi",,,,,CS,4393,001,,16,7,8,,9,4,4,,,,,3,,,,,,1
"Cogan, Stuart","Gerami Fard, Negar",,,,,BMEN,3315,501,1,20,3,4,10,3,2,3,,,,,,,,,,,0
"Doore, Karen L",,,,,,CS,1134,101,12,5,1,2,3,1,,1,,1,,,5,,,,,,2
"Li, Yaoyu","Wu, Zhongyou","Xiao, Yan",,,,MECH,4110,104,,6,6,6,1,3,,,,,,,,,,,,,0
"Hassanipour, Fatemeh","Jiang, Lin","Wang, Xiaomeng",,,,MECH,3120,104,9,7,1,1,,,,,,,,,,,,,,,0
"Feng, Ranran","Patel, Vatsalkumar R","Li, Changbin",,,,CS,3360,002,5,2,4,9,5,4,1,1,3,3,2,5,2,,,,,,1
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,107,10,4,1,1,1,,1,,,,,,,,,,,,2
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,108,11,2,4,,1,1,1,,,,,,,,,,,,0
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,109,4,7,3,1,1,1,1,,,,1,,,,,,,,0
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,110,1,6,5,2,1,1,,,1,,,,,,,,,,0
"Winter, Patrick M","Usoro, Joshua",,,,,BMEN,3380,001,3,5,4,4,,1,,1,,,,,,,,,,,1
"Romero-Ortega, Mario I",,,,,,BMEN,6393,001,,5,2,1,1,,1,,,,,,,,,,,,1
"Summers, Tyler H","Hashemi, Navid",,,,,MECH,4310,002,3,8,5,6,13,4,3,4,1,2,7,,3,,,,,,1
"Myers, Kathleen","Quayum, Ayon",,,,,ENGR,3341,001,6,13,3,7,4,1,2,4,,,,2,2,,,,,,0
"Ali, Mohammed Z","Akbar, Md Navid",,,,,ENGR,3341,002,1,19,,6,9,1,,8,,,,,,,,,,,0
"Swartz, William P","Birjandtalab Golkhatm, Javad","Wang, Xianan",,,,EEDG,6302,304,,5,6,4,2,1,,2,,,,,,,,,,,0
"Vogel, Don G",,,,,,CS,2336,002,5,23,1,9,10,2,1,2,,,3,,2,,,,,,0
"Mazidi, Karen J","Ochei, Dennis",,,,,CS,3340,003,8,15,15,3,7,6,2,1,1,1,,1,3,,,,,,0
"Meyer, Clark A","Li, Shichang","Bellary, Aditi",,,,BMEN,1208,002,4,3,2,1,3,3,,1,,,,,,,,,,,1
"McMahan, Timothy",,,,,,CS,1200,016,9,12,5,3,1,2,,2,2,,,,5,,,,,,0
"Hart, Robert A","Gravell, Jamie D","Salazar, Joshua E","Hilkert, James M",,,MECH,4381,001,,4,4,5,4,1,,,,,,,,,,,,,0
"Hart, Robert A","Gravell, Jamie D","Salazar, Joshua E","Fadda, Dani Z","Hilkert, James M",,MECH,4381,002,,3,6,6,2,,,,,,,,,,,,,,0
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D","Fadda, Dani Z",,,MECH,4381,003,,1,6,5,4,,1,,,,,,,,,,,,0
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D","Griffith, Daniel T",,,MECH,4381,004,,3,4,5,4,,,1,,,,,,,,,,,0
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D","Griffith, Daniel T",,,MECH,4381,005,,8,3,4,,1,1,,,,,,,,,,,,0
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D",,,,MECH,4381,006,,7,4,2,2,2,,,,,,,,,,,,,0
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D",,,,MECH,4381,007,,7,5,1,3,1,1,,,,,,,,,,,,0
"Skinner, Neal G",,,,,,EE,4388,503,,6,4,2,2,,1,,,,,,,,,,,,0
"Skinner, Neal G",,,,,,CE,4388,503,,3,5,1,1,,1,,,,,,,,,,,,0
"Perkins, Stephen J",,,,,,CS,1200,501,1,5,5,6,4,1,,1,1,,,,,,,,,,1
"Bray, Timothy M","Shih, Meng Ru","Shuraydi, Amny",,,,CRIM,1301,001,,2,8,7,5,4,7,2,,4,2,3,3,,,,,,2
"Boots, Denise P","Shuraydi, Amny",,,,,CRIM,1307,001,1,29,14,14,15,7,2,1,2,,2,1,1,,,,,,1
"Connell, Nadine","Han, Sungil",,,,,CRIM,3303,001,,3,12,12,7,6,4,3,,1,,,2,,,,,,0
"Polk, Elmer O","Derlic, Dragana",,,,,CRIM,3319,0W1,30,27,7,1,5,3,,2,2,,,,1,,,,,,1
"Vieraitis, Lynne M",,,,,,CRIM,4322,0H1,,3,2,4,1,1,2,1,,,1,,2,,,,,,0
"Ketsler, Luba",,,,,,ECON,2301,001,2,16,7,6,26,7,9,22,7,4,5,1,9,,,,,,3
"Valcarcel, Victor J",,,,,,ECON,2301,002,,57,1,10,39,,,5,1,,3,,10,,,,,,2
"McElroy, Susan","Zhang, Licheng",,,,,ECON,2302,001,13,18,20,6,18,4,1,2,8,,6,,4,,,,,,3
"Zhang, Zeyu",,,,,,ECON,3310,001,2,8,3,3,5,5,1,3,,,,,1,,,,,,3
"Valcarcel, Victor J",,,,,,ECON,3311,001,3,3,,1,8,1,,10,2,,3,,,,,,,,6
"Dumas, Lloyd",,,,,,ECON,3311,501,,6,4,3,4,3,,3,,,,,1,,,,,,1
"Ketsler, Luba",,,,,,ECON,3330,001,3,9,8,11,22,4,3,1,,,3,,3,,,,,,0
"O'Brien, Daniel M",,,,,,ECON,4351,001,13,11,5,4,3,,,,,,,,,,,,,,0
"McCaskill, John R","Suh, Ji Won",,,,,PA,3310,001,,6,,1,1,1,,,1,,,,,,,,,,0
"Arguelles, Ariel",,,,,,PA,3333,001,5,5,6,3,1,2,,1,,,,,1,,,,,,0
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,3377,001,,2,1,2,4,1,1,,,,,,1,,,,,,0
"McCaskill, John R",,,,,,PA,6311,501,,10,,1,,,,,,,,,1,,,,,,1
"Kiel, Lowell D",,,,,,PA,6313,0W1,,10,2,2,8,,,,,,,,1,,,,,,1
"Cohen, Galia",,,,,,PA,6345,501,,4,5,2,1,1,,,,,,,,,,,,,0
"Cohen, Galia",,,,,,SOC,1301,001,13,13,21,10,12,14,11,4,5,5,4,1,3,,,,,,3
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,1301,0W1,2,20,14,4,7,7,1,,,,3,,4,,,,,,0
"Sutton, Kara L",,,,,,SOC,4302,001,21,17,2,2,1,1,,2,2,,,,1,,,,,,1
"Polk, Elmer O","Derlic, Dragana",,,,,CRIM,2316,001,32,10,6,1,,3,,,1,,1,,1,,,,,,1
"Worrall, John L","Narvey, Chelsey",,,,,CRIM,3300,0W1,,26,13,6,15,5,,6,2,,,1,7,,,,,,2
"Okeem, Chidike I",,,,,,CRIM,3301,001,,9,2,1,,1,,,,,,1,2,,,,,,1
"Huskey, Michael",,,,,,CRIM,3302,001,2,7,5,5,1,1,1,1,,,,1,,,,,,,0
"Martin, Kelli D",,,,,,CRIM,4311,0W1,,20,,,8,,,3,,,1,,2,,,,,,1
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,2303,001,7,7,5,3,2,1,1,1,,1,,,4,,,,,,0
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,3357,001,6,8,4,6,4,4,6,1,,,1,,,,,,,,2
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,3370,001,,1,3,2,1,3,3,2,1,,,,1,,,,,,1
"Chun, Yongwan","Hu, Lan",,,,,GISC,6381,501,,11,,6,3,,,2,,,,,,,,,,,0
"Champagne, Anthony",,,,,,PSCI,3322,001,15,38,,,25,,,11,,,12,1,9,,,,,,5
"D'Orazio, Vito","Bi, Jingnan",,,,,PSCI,3328,001,,10,10,17,8,7,12,6,1,,1,,3,,,,,,0
"Brandt, Patrick",,,,,,PSCI,6350,001,,4,7,1,,2,,,,,,,1,,,,,,4
"Tiefelsdorf, Michael","Pu, Xiaojun",,,,,GISC,6301,501,,2,5,5,2,3,1,4,,,,,,,,,,,0
"Chastain, Bryan J","Yu, Xiaohe",,,,,GISC,6317,501,,8,4,5,3,2,,4,,,,,1,,,,,,1
